pair,contrast,method,cv_scheme,n_valid_folds,n_groups,n_documents,n_pos,n_neg,auroc_oof,note
EGFR/HER2,D_vs_A,rank_vina,document_connected_GroupKFold,5,28,156,28,38,0.6664,same folds for all methods; no regrouping after seeing AUROC
EGFR/HER2,D_vs_A,ECFP4_logistic,document_connected_GroupKFold,5,28,156,28,38,0.6269,same folds for all methods; no regrouping after seeing AUROC
EGFR/HER2,D_vs_A,physchem_logistic,document_connected_GroupKFold,5,28,156,28,38,0.7256,same folds for all methods; no regrouping after seeing AUROC
EGFR/HER2,D_vs_A,docking_logistic,document_connected_GroupKFold,5,28,156,28,38,0.5818,same folds for all methods; no regrouping after seeing AUROC
EGFR/HER2,D_vs_B,rank_vina,document_connected_GroupKFold,5,23,113,28,32,0.4297,same folds for all methods; no regrouping after seeing AUROC
EGFR/HER2,D_vs_B,ECFP4_logistic,document_connected_GroupKFold,5,23,113,28,32,0.6228,same folds for all methods; no regrouping after seeing AUROC
EGFR/HER2,D_vs_B,physchem_logistic,document_connected_GroupKFold,5,23,113,28,32,0.3359,same folds for all methods; no regrouping after seeing AUROC
EGFR/HER2,D_vs_B,docking_logistic,document_connected_GroupKFold,5,23,113,28,32,0.4688,same folds for all methods; no regrouping after seeing AUROC
AChE/BChE,D_vs_A,rank_vina,document_connected_GroupKFold,5,39,97,27,25,0.6504,same folds for all methods; no regrouping after seeing AUROC
AChE/BChE,D_vs_A,ECFP4_logistic,document_connected_GroupKFold,5,39,97,27,25,0.8474,same folds for all methods; no regrouping after seeing AUROC
AChE/BChE,D_vs_A,physchem_logistic,document_connected_GroupKFold,5,39,97,27,25,0.5956,same folds for all methods; no regrouping after seeing AUROC
AChE/BChE,D_vs_A,docking_logistic,document_connected_GroupKFold,5,39,97,27,25,0.6148,same folds for all methods; no regrouping after seeing AUROC
AChE/BChE,D_vs_B,rank_vina,document_connected_GroupKFold,5,41,95,27,28,0.6058,same folds for all methods; no regrouping after seeing AUROC
AChE/BChE,D_vs_B,ECFP4_logistic,document_connected_GroupKFold,5,41,95,27,28,0.7672,same folds for all methods; no regrouping after seeing AUROC
AChE/BChE,D_vs_B,physchem_logistic,document_connected_GroupKFold,5,41,95,27,28,0.7262,same folds for all methods; no regrouping after seeing AUROC
AChE/BChE,D_vs_B,docking_logistic,document_connected_GroupKFold,5,41,95,27,28,0.5397,same folds for all methods; no regrouping after seeing AUROC
PIK3CA/PIK3CB,D_vs_A,rank_vina,document_connected_GroupKFold,5,33,43,28,27,0.6905,same folds for all methods; no regrouping after seeing AUROC
PIK3CA/PIK3CB,D_vs_A,ECFP4_logistic,document_connected_GroupKFold,5,33,43,28,27,0.6521,same folds for all methods; no regrouping after seeing AUROC
PIK3CA/PIK3CB,D_vs_A,physchem_logistic,document_connected_GroupKFold,5,33,43,28,27,0.4974,same folds for all methods; no regrouping after seeing AUROC
PIK3CA/PIK3CB,D_vs_A,docking_logistic,document_connected_GroupKFold,5,33,43,28,27,0.5357,same folds for all methods; no regrouping after seeing AUROC
PIK3CA/PIK3CB,D_vs_B,rank_vina,document_connected_GroupKFold,5,30,38,28,28,0.5,same folds for all methods; no regrouping after seeing AUROC
PIK3CA/PIK3CB,D_vs_B,ECFP4_logistic,document_connected_GroupKFold,5,30,38,28,28,0.8342,same folds for all methods; no regrouping after seeing AUROC
PIK3CA/PIK3CB,D_vs_B,physchem_logistic,document_connected_GroupKFold,5,30,38,28,28,0.7551,same folds for all methods; no regrouping after seeing AUROC
PIK3CA/PIK3CB,D_vs_B,docking_logistic,document_connected_GroupKFold,5,30,38,28,28,0.3367,same folds for all methods; no regrouping after seeing AUROC
PIK3CA/mTOR,D_vs_A,rank_vina,document_connected_GroupKFold,3,8,138,18,14,0.7778,same folds for all methods; no regrouping after seeing AUROC
PIK3CA/mTOR,D_vs_A,ECFP4_logistic,document_connected_GroupKFold,3,8,138,18,14,0.5139,same folds for all methods; no regrouping after seeing AUROC
PIK3CA/mTOR,D_vs_A,physchem_logistic,document_connected_GroupKFold,3,8,138,18,14,0.5208,same folds for all methods; no regrouping after seeing AUROC
PIK3CA/mTOR,D_vs_A,docking_logistic,document_connected_GroupKFold,3,8,138,18,14,0.5903,same folds for all methods; no regrouping after seeing AUROC
