document_chembl_id,year,source
CHEMBL1125266,1991,ChEMBL document.year API; cached lookup committed for reproducibility
CHEMBL1126897,1993,ChEMBL document.year API; cached lookup committed for reproducibility
CHEMBL1128536,1995,ChEMBL document.year API; cached lookup committed for reproducibility
CHEMBL1129072,1996,ChEMBL document.year API; cached lookup committed for reproducibility
CHEMBL1129291,1996,ChEMBL document.year API; cached lookup committed for reproducibility
CHEMBL1129564,1996,ChEMBL document.year API; cached lookup committed for reproducibility
CHEMBL1130217,1997,ChEMBL document.year API; cached lookup committed for reproducibility
CHEMBL1130392,1997,ChEMBL document.year API; cached lookup committed for reproducibility
CHEMBL1131001,1998,ChEMBL document.year API; cached lookup committed for reproducibility
CHEMBL1131301,1998,ChEMBL document.year API; cached lookup committed for reproducibility
CHEMBL1132213,1999,ChEMBL document.year API; cached lookup committed for reproducibility
CHEMBL1132590,1999,ChEMBL document.year API; cached lookup committed for reproducibility
CHEMBL1132637,1999,ChEMBL document.year API; cached lookup committed for reproducibility
CHEMBL1133502,2000,ChEMBL document.year API; cached lookup committed for reproducibility
CHEMBL1134270,2001,ChEMBL document.year API; cached lookup committed for reproducibility
CHEMBL1134331,2001,ChEMBL document.year API; cached lookup committed for reproducibility
CHEMBL1134561,2001,ChEMBL document.year API; cached lookup committed for reproducibility
CHEMBL1134674,2001,ChEMBL document.year API; cached lookup committed for reproducibility
CHEMBL1134843,2001,ChEMBL document.year API; cached lookup committed for reproducibility
CHEMBL1134862,2002,ChEMBL document.year API; cached lookup committed for reproducibility
CHEMBL1135324,2002,ChEMBL document.year API; cached lookup committed for reproducibility
CHEMBL1135547,2002,ChEMBL document.year API; cached lookup committed for reproducibility
CHEMBL1135689,2002,ChEMBL document.year API; cached lookup committed for reproducibility
CHEMBL1135763,2002,ChEMBL document.year API; cached lookup committed for reproducibility
CHEMBL1135889,2002,ChEMBL document.year API; cached lookup committed for reproducibility
CHEMBL1136484,2003,ChEMBL document.year API; cached lookup committed for reproducibility
CHEMBL1136802,2003,ChEMBL document.year API; cached lookup committed for reproducibility
CHEMBL1137325,2006,ChEMBL document.year API; cached lookup committed for reproducibility
CHEMBL1137822,2004,ChEMBL document.year API; cached lookup committed for reproducibility
CHEMBL1138126,2006,ChEMBL document.year API; cached lookup committed for reproducibility
CHEMBL1138205,2006,ChEMBL document.year API; cached lookup committed for reproducibility
CHEMBL1139130,2007,ChEMBL document.year API; cached lookup committed for reproducibility
CHEMBL1139297,2009,ChEMBL document.year API; cached lookup committed for reproducibility
CHEMBL1139709,2006,ChEMBL document.year API; cached lookup committed for reproducibility
CHEMBL1140078,2008,ChEMBL document.year API; cached lookup committed for reproducibility
CHEMBL1140398,2005,ChEMBL document.year API; cached lookup committed for reproducibility
CHEMBL1140495,2007,ChEMBL document.year API; cached lookup committed for reproducibility
CHEMBL1140899,2009,ChEMBL document.year API; cached lookup committed for reproducibility
CHEMBL1141048,2005,ChEMBL document.year API; cached lookup committed for reproducibility
CHEMBL1141279,2007,ChEMBL document.year API; cached lookup committed for reproducibility
CHEMBL1141539,2008,ChEMBL document.year API; cached lookup committed for reproducibility
CHEMBL1141561,2008,ChEMBL document.year API; cached lookup committed for reproducibility
CHEMBL1141589,2008,ChEMBL document.year API; cached lookup committed for reproducibility
CHEMBL1142630,2000,ChEMBL document.year API; cached lookup committed for reproducibility
CHEMBL1142663,2005,ChEMBL document.year API; cached lookup committed for reproducibility
CHEMBL1143160,2008,ChEMBL document.year API; cached lookup committed for reproducibility
CHEMBL1143164,2008,ChEMBL document.year API; cached lookup committed for reproducibility
CHEMBL1144455,2005,ChEMBL document.year API; cached lookup committed for reproducibility
CHEMBL1144481,2007,ChEMBL document.year API; cached lookup committed for reproducibility
CHEMBL1145020,2003,ChEMBL document.year API; cached lookup committed for reproducibility
CHEMBL1145585,2008,ChEMBL document.year API; cached lookup committed for reproducibility
CHEMBL1145898,2003,ChEMBL document.year API; cached lookup committed for reproducibility
CHEMBL1146079,2006,ChEMBL document.year API; cached lookup committed for reproducibility
CHEMBL1146616,2003,ChEMBL document.year API; cached lookup committed for reproducibility
CHEMBL1146682,2004,ChEMBL document.year API; cached lookup committed for reproducibility
CHEMBL1147004,2006,ChEMBL document.year API; cached lookup committed for reproducibility
