pair,layer,n_ligands,n_dual,n_A_only,n_B_only,n_neither
EGFR/HER2,native_paired_theta6,468,371,30,54,13
EGFR/HER2,drop_shared_literature,380,303,16,51,10
EGFR/HER2,drop_shared_structure,346,284,11,44,7
EGFR/HER2,drop_neighbors_lt_0.70,216,180,10,20,6
EGFR/HER2,lt_0.70_plus_0.50_0.70_sensitivity,327,269,11,40,7
AChE/BChE,native_paired_theta6,318,159,46,37,76
AChE/BChE,drop_shared_literature,225,93,32,27,73
AChE/BChE,drop_shared_structure,170,62,19,23,66
AChE/BChE,drop_neighbors_lt_0.70,85,4,8,14,59
AChE/BChE,lt_0.70_plus_0.50_0.70_sensitivity,136,39,13,20,64
PIK3CA/mTOR,native_paired_theta6,1193,1000,115,30,48
PIK3CA/mTOR,drop_shared_literature,1192,999,115,30,48
PIK3CA/mTOR,drop_shared_structure,958,888,41,16,13
PIK3CA/mTOR,drop_neighbors_lt_0.70,98,91,4,1,2
PIK3CA/mTOR,lt_0.70_plus_0.50_0.70_sensitivity,659,621,25,6,7
F2/F10,native_paired_theta6,451,158,29,143,121
F2/F10,drop_shared_literature,262,95,22,51,94
F2/F10,drop_shared_structure,152,60,15,17,60
F2/F10,drop_neighbors_lt_0.70,134,46,15,16,57
F2/F10,lt_0.70_plus_0.50_0.70_sensitivity,137,46,15,17,59
JAK1/TYK2,native_paired_theta6,2594,2037,181,340,36
JAK1/TYK2,drop_shared_literature,2594,2037,181,340,36
JAK1/TYK2,drop_shared_structure,503,384,9,105,5
JAK1/TYK2,drop_neighbors_lt_0.70,438,323,7,103,5
JAK1/TYK2,lt_0.70_plus_0.50_0.70_sensitivity,490,371,9,105,5
JAK1/JAK2,native_paired_theta6,7748,6820,427,188,313
JAK1/JAK2,drop_shared_literature,7748,6820,427,188,313
JAK1/JAK2,drop_shared_structure,1209,1010,75,14,110
JAK1/JAK2,drop_neighbors_lt_0.70,1091,928,40,14,109
JAK1/JAK2,lt_0.70_plus_0.50_0.70_sensitivity,1204,1005,75,14,110
PPARG/PPARA,native_paired_theta6,69,13,15,7,34
PPARG/PPARA,drop_shared_literature,6,2,0,2,2
PPARG/PPARA,drop_shared_structure,1,0,0,1,0
PPARG/PPARA,drop_neighbors_lt_0.70,1,0,0,1,0
PPARG/PPARA,lt_0.70_plus_0.50_0.70_sensitivity,1,0,0,1,0
PPARA/PPARD,native_paired_theta6,59,10,1,47,1
PPARA/PPARD,drop_shared_literature,29,7,1,20,1
PPARA/PPARD,drop_shared_structure,1,0,1,0,0
PPARA/PPARD,drop_neighbors_lt_0.70,1,0,1,0,0
PPARA/PPARD,lt_0.70_plus_0.50_0.70_sensitivity,1,0,1,0,0
