pair,inchikey,class,strict_class,pA,pB,smiles,scaffold,source_key,pmids,dois,patents,monomerids,chembl_ids,max_ecfp4_to_development,chem_stratum,gate
AChE/BChE,ZUCMSNAIYTWNMO-UHFFFAOYSA-N,neither,gray,5.9208,5.2441,Nc1c2c(nc3cc(F)ccc13)-c1ccccc1C2,c1ccc2c(c1)Cc1cc3ccccc3nc1-2,pmid:10732965,10732965,10.1016/s0968-0896(99)00306-5,,9075,,0.3103,<0.50,insufficient
AChE/BChE,UOXICDLLJJDAID-UHFFFAOYSA-N,neither,gray,5.7959,5.5229,COc1cccc2c1Cc1c-2nc2ccccc2c1N,c1ccc2c(c1)Cc1cc3ccccc3nc1-2,pmid:10732965,10732965,10.1016/s0968-0896(99)00306-5,,9076,,0.3208,<0.50,insufficient
AChE/BChE,ICVJPRLSCKHIAR-UHFFFAOYSA-N,A_only,gray,6.3665,5.1487,Nc1c2c(nc3ccccc13)-c1ccc(F)cc1C2,c1ccc2c(c1)Cc1cc3ccccc3nc1-2,pmid:10732965,10732965,10.1016/s0968-0896(99)00306-5,,9077,,0.3269,<0.50,insufficient
AChE/BChE,OGGXCRITTGXQJB-UHFFFAOYSA-N,B_only,gray,5.1368,6.301,c1ccc(CNc2c3c(nc4ccccc24)-c2ccccc2C3)cc1,c1ccc(CNc2c3c(nc4ccccc24)-c2ccccc2C3)cc1,pmid:10732965,10732965,10.1016/s0968-0896(99)00306-5,,9078,,0.4286,<0.50,insufficient
AChE/BChE,XDJMSAGMRHXWGV-UHFFFAOYSA-N,neither,gray,5.8861,5.7959,CNc1c2c(nc3ccccc13)-c1ccccc1C2,c1ccc2c(c1)Cc1cc3ccccc3nc1-2,pmid:10732965,10732965,10.1016/s0968-0896(99)00306-5,,9079,,0.2982,<0.50,insufficient
AChE/BChE,YNUALVMKORREBG-UHFFFAOYSA-N,B_only,gray,5.9626,6.4828,Nc1c2c(nc3cc(Cl)ccc13)CC(CNC(=O)CCCCC1CCSS1)CC2,O=C(CCCCC1CCSS1)NCC1CCc2cc3ccccc3nc2C1,pmid:15658850,15658850,10.1021/jm049112h,,10513,,0.3093,<0.50,insufficient
AChE/BChE,VQEZQHKNDTXZIP-FZXKJZBHSA-N,dual,dual,7.7825,7.6819,C/C=C1\C2C=C(C)CC1(N)CC(NCCCCCCCNc1c3c(nc4ccccc14)CCCC3)C2(C)C,C=C1C2C=CCC1CC(NCCCCCCCNc1c3c(nc4ccccc14)CCCC3)C2,pmid:16722663,16722663,10.1021/jm060257t,,10593,,0.4556,<0.50,insufficient
AChE/BChE,CNCWLWGSZNPHQK-YHWPHTBVSA-N,dual,dual,7.8041,7.5114,C/C=C1\C2C=C(C)CC1(N)CC(NCCCCCCCNc1c3c(nc4ccccc14)CCCC3)C2,C=C1C2C=CCC1CC(NCCCCCCCNc1c3c(nc4ccccc14)CCCC3)C2,pmid:16722663,16722663,10.1021/jm060257t,,10594,,0.4607,<0.50,insufficient
AChE/BChE,GXLCMIZDIFTAHJ-AIFPUMKXSA-N,dual,dual,8.1938,7.71,C/C=C1\C2C=C(C)CC1(C(=O)OC)CC(NCCCCCCCNc1c3c(nc4ccccc14)CCCC3)C2,C=C1C2C=CCC1CC(NCCCCCCCNc1c3c(nc4ccccc14)CCCC3)C2,pmid:16722663,16722663,10.1021/jm060257t,,10595,,0.4651,<0.50,insufficient
AChE/BChE,LDYLCLZQCXSJGH-UHFFFAOYSA-N,dual,dual,8.5243,6.8097,CNC(=O)Oc1cccc(CN(C)CCCOc2ccc3c(c2)OC(=Cc2cc(OC)c(OC)c(OC)c2)C3=O)c1,O=C1C(=Cc2ccccc2)Oc2cc(OCCCNCc3ccccc3)ccc21,pmid:15974596,15974596,10.1021/jm049515h,,10694,,0.4943,<0.50,insufficient
AChE/BChE,VNNYYOOOBVNSEE-NVMPUMLXSA-N,neither,neither,4.3045,5.3325,CN(CCCCCCCOc1ccc2c(c1)O/C(=C\c1cccc3ccccc13)C2=O)Cc1cccc(O)c1,O=C1C(=Cc2cccc3ccccc23)Oc2cc(OCCCCCCCNCc3ccccc3)ccc21,pmid:15974596,15974596,10.1021/jm049515h,,10707,,0.4474,<0.50,insufficient
