pair,inchikey,class,strict_class,pA,pB,smiles,scaffold,source_key,pmids,dois,patents,monomerids,chembl_ids,max_ecfp4_to_development,chem_stratum,gate
JAK1/JAK2,PIJFKYPWDFYYCA-UHFFFAOYSA-N,dual,dual,6.8508,7.6383,CCc1ccc(Cl)cc1-c1[nH]c(-c2cc(N)ncn2)cc1C#N,c1ccc(-c2ccc(-c3ccncn3)[nH]2)cc1,pat:US9688661,,,US9688661,173933,,0.3514,<0.50,insufficient
JAK1/JAK2,XMVJNAGLHNAYFM-UHFFFAOYSA-N,dual,dual,7.7212,8.2218,CCc1ccc(C(F)(F)F)cc1-c1cc(-c2ncnc3[nH]ccc23)[nH]c1C(N)=O,c1ccc(-c2c[nH]c(-c3ncnc4[nH]ccc34)c2)cc1,pat:US9688661,,,US9688661,173971,,0.3038,<0.50,insufficient
JAK1/JAK2,JTSNOEPPKSJTRM-UHFFFAOYSA-N,dual,dual,7.3268,8.443,Cc1ccc(Cl)cc1-c1[nH]c(-c2ncnc3[nH]ccc23)cc1C(N)=O,c1ccc(-c2ccc(-c3ncnc4[nH]ccc34)[nH]2)cc1,pat:US9688661,,,US9688661,173985;173986,,0.3514,<0.50,insufficient
JAK1/JAK2,JGAJIFPYCFEXCC-UHFFFAOYSA-N,dual,dual,8.0969,9.0,CCc1ccc(Cl)cc1-c1[nH]c(-c2cc(N)ncn2)cc1C(N)=O,c1ccc(-c2ccc(-c3ccncn3)[nH]2)cc1,pat:US9688661,,,US9688661,173987,,0.4706,<0.50,insufficient
JAK1/JAK2,MKQFWNKDBIRKBB-UHFFFAOYSA-N,dual,dual,8.1549,9.0,CCc1ccc(Cl)cc1-c1[nH]c(-c2ncnc3[nH]ccc23)cc1C(N)=O,c1ccc(-c2ccc(-c3ncnc4[nH]ccc34)[nH]2)cc1,pat:US9688661,,,US9688661,173996,,0.4366,<0.50,insufficient
JAK1/JAK2,VXKNGQTXNFKVEX-UHFFFAOYSA-N,dual,dual,6.7773,7.9208,NC(=O)c1cc(-c2cc(N)ncn2)[nH]c1-c1cc(C(F)(F)F)ccc1Cl,c1ccc(-c2ccc(-c3ccncn3)[nH]2)cc1,pat:US9688661,,,US9688661,173997,,0.2625,<0.50,insufficient
JAK1/JAK2,CTIWZQQLUVHPMM-UHFFFAOYSA-N,dual,dual,6.983,7.7212,CNc1cc(-c2cc(C(N)=O)c(-c3cc(C(F)(F)F)ccc3Cl)[nH]2)ncn1,c1ccc(-c2ccc(-c3ccncn3)[nH]2)cc1,pat:US9688661,,,US9688661,173999,,0.4,<0.50,insufficient
JAK1/JAK2,WBDBHDDZPYVBEA-UHFFFAOYSA-N,dual,dual,6.8539,7.7212,NC(=O)c1cc(-c2ncnc3[nH]ccc23)[nH]c1-c1cc(C(F)(F)F)ccc1Cl,c1ccc(-c2ccc(-c3ncnc4[nH]ccc34)[nH]2)cc1,pat:US9688661,,,US9688661,174001,,0.2895,<0.50,insufficient
JAK1/JAK2,KQXFSYYJWUNORW-UHFFFAOYSA-N,dual,dual,6.9666,7.9586,Cc1ccc(C(F)(F)F)cc1-c1[nH]c(-c2cc(N)ncn2)cc1C(N)=O,c1ccc(-c2ccc(-c3ccncn3)[nH]2)cc1,pat:US9688661,,,US9688661,174002,,0.2625,<0.50,insufficient
JAK1/JAK2,ARPAPRSMYXHOTK-UHFFFAOYSA-N,dual,dual,7.3188,7.6778,CNc1cc(-c2cc(C(N)=O)c(-c3cc(C(F)(F)F)ccc3C)[nH]2)ncn1,c1ccc(-c2ccc(-c3ccncn3)[nH]2)cc1,pat:US9688661,,,US9688661,174003,,0.3733,<0.50,insufficient
JAK1/JAK2,GUSLOEWIZUYDTG-UHFFFAOYSA-N,dual,dual,7.5686,8.0969,Cc1ccc(C(F)(F)F)cc1-c1[nH]c(-c2ncnc3[nH]ccc23)cc1C(N)=O,c1ccc(-c2ccc(-c3ncnc4[nH]ccc34)[nH]2)cc1,pat:US9688661,,,US9688661,174004,,0.2987,<0.50,insufficient
JAK1/JAK2,LWBXZXZAHVCFLN-UHFFFAOYSA-N,dual,dual,7.4815,8.3979,CCc1ccc(C(F)(F)F)cc1-c1[nH]c(-c2cc(N)ncn2)cc1C(N)=O,c1ccc(-c2ccc(-c3ccncn3)[nH]2)cc1,pat:US9688661,,,US9688661,174006,,0.3377,<0.50,insufficient
JAK1/JAK2,RJOWGBLWKKDTDG-UHFFFAOYSA-N,dual,dual,7.8539,8.3979,CCc1ccc(C(F)(F)F)cc1-c1[nH]c(-c2cc(NC)ncn2)cc1C(N)=O,c1ccc(-c2ccc(-c3ccncn3)[nH]2)cc1,pat:US9688661,,,US9688661,174007,,0.4722,<0.50,insufficient
JAK1/JAK2,MHMDWDJIIHJUDF-UHFFFAOYSA-N,dual,dual,7.7212,8.699,CCc1ccc(C(F)(F)F)cc1-c1[nH]c(-c2ncnc3[nH]ccc23)cc1C(N)=O,c1ccc(-c2ccc(-c3ncnc4[nH]ccc34)[nH]2)cc1,pat:US9688661,,,US9688661,174008,,0.3125,<0.50,insufficient
JAK1/JAK2,PLNSGFBFTSVJBD-UHFFFAOYSA-N,dual,dual,8.0969,8.2218,Cc1ccc(Cl)cc1N1CN(c2ncnc3c2NCC3)C=C1C(N)=O,C1=CN(c2ncnc3c2NCC3)CN1c1ccccc1,pat:US9688661,,,US9688661,174014,,0.2588,<0.50,insufficient
JAK1/JAK2,YWNLDGJBACGKFP-UHFFFAOYSA-N,dual,dual,8.0969,8.301,CCc1ccc(Cl)cc1N1CN(c2ncnc3c2NCC3)C=C1C(N)=O,C1=CN(c2ncnc3c2NCC3)CN1c1ccccc1,pat:US9688661,,,US9688661,174020,,0.3171,<0.50,insufficient
JAK1/JAK2,ARGPPWNXCPDCQA-UHFFFAOYSA-N,dual,dual,6.6737,7.7447,NC(=O)C1=CN(c2ncnc3c2CN=C3)CN1c1cc(C(F)(F)F)ccc1Cl,C1=CN(c2ncnc3c2CN=C3)CN1c1ccccc1,pat:US9688661,,,US9688661,174025,,0.2151,<0.50,insufficient
JAK1/JAK2,IVFATVRABARRFI-YPMHNXCESA-N,dual,dual,7.3099,6.975,C[C@@H]1CCN(C(=O)OC(C)(C)C)C[C@@H]1c1nnn2cnc3[nH]ccc3c12,c1cc2c(ncn3nnc(C4CCCNC4)c23)[nH]1,pat:US9556187,,,US9556187,198203,,0.375,<0.50,insufficient
JAK1/JAK2,IVFATVRABARRFI-DGCLKSJQSA-N,dual,gray,7.1488,6.4269,C[C@@H]1CCN(C(=O)OC(C)(C)C)C[C@H]1c1nnn2cnc3[nH]ccc3c12,c1cc2c(ncn3nnc(C4CCCNC4)c23)[nH]1,pat:US9556187,,,US9556187,198205,,0.375,<0.50,insufficient
