pair,inchikey,class,strict_class,pA,pB,smiles,scaffold,source_key,pmids,dois,patents,monomerids,chembl_ids,max_ecfp4_to_development,chem_stratum,gate
JAK1/TYK2,DPFSOTYRUFYURL-LKSINWNRSA-N,dual,dual,8.2147,6.7545,C[C@@H]1CCC(C(=O)CC#N)CC1N(C)c1ncnc2[nH]ccc12,c1nc(NC2CCCCC2)c2cc[nH]c2n1,pmid:21439476,21439476,10.1016/j.chembiol.2011.01.012,,81442,,0.4474,<0.50,insufficient
JAK1/TYK2,LEVQVJSXOOHXKL-UHFFFAOYSA-N,dual,dual,7.4815,7.6383,Cc1ccc(Cl)cc1-c1cc(-c2ncnc3[nH]ccc23)[nH]c1C(N)=O,c1ccc(-c2c[nH]c(-c3ncnc4[nH]ccc34)c2)cc1,pat:US9688661,,,US9688661,173968,,0.3056,<0.50,insufficient
JAK1/TYK2,PEZCZVVGBCSRDD-UHFFFAOYSA-N,dual,dual,7.7447,8.0458,CCc1ccc(Cl)cc1-c1cc(-c2ncnc3[nH]ccc23)[nH]c1C(N)=O,c1ccc(-c2c[nH]c(-c3ncnc4[nH]ccc34)c2)cc1,pat:US9688661,,,US9688661,173970,,0.2973,<0.50,insufficient
JAK1/TYK2,XMVJNAGLHNAYFM-UHFFFAOYSA-N,dual,dual,7.7212,7.4949,CCc1ccc(C(F)(F)F)cc1-c1cc(-c2ncnc3[nH]ccc23)[nH]c1C(N)=O,c1ccc(-c2c[nH]c(-c3ncnc4[nH]ccc34)c2)cc1,pat:US9688661,,,US9688661,173971,,0.3095,<0.50,insufficient
JAK1/TYK2,LTPXTDBFKQWZGD-UHFFFAOYSA-N,dual,dual,7.6905,7.3326,CNc1cc(-c2cc(C(N)=O)c(-c3cc(Cl)ccc3C)[nH]2)ncn1,c1ccc(-c2ccc(-c3ccncn3)[nH]2)cc1,pat:US9688661,,,US9688661,173984,,0.25,<0.50,insufficient
JAK1/TYK2,JTSNOEPPKSJTRM-UHFFFAOYSA-N,dual,dual,7.3268,7.7237,Cc1ccc(Cl)cc1-c1[nH]c(-c2ncnc3[nH]ccc23)cc1C(N)=O,c1ccc(-c2ccc(-c3ncnc4[nH]ccc34)[nH]2)cc1,pat:US9688661,,,US9688661,173985;173986,,0.3099,<0.50,insufficient
JAK1/TYK2,JGAJIFPYCFEXCC-UHFFFAOYSA-N,dual,dual,8.0969,8.0,CCc1ccc(Cl)cc1-c1[nH]c(-c2cc(N)ncn2)cc1C(N)=O,c1ccc(-c2ccc(-c3ccncn3)[nH]2)cc1,pat:US9688661,,,US9688661,173987,,0.25,<0.50,insufficient
JAK1/TYK2,MKQFWNKDBIRKBB-UHFFFAOYSA-N,dual,dual,8.1549,8.5229,CCc1ccc(Cl)cc1-c1[nH]c(-c2ncnc3[nH]ccc23)cc1C(N)=O,c1ccc(-c2ccc(-c3ncnc4[nH]ccc34)[nH]2)cc1,pat:US9688661,,,US9688661,173996,,0.3014,<0.50,insufficient
JAK1/TYK2,GUSLOEWIZUYDTG-UHFFFAOYSA-N,dual,dual,7.5686,7.1367,Cc1ccc(C(F)(F)F)cc1-c1[nH]c(-c2ncnc3[nH]ccc23)cc1C(N)=O,c1ccc(-c2ccc(-c3ncnc4[nH]ccc34)[nH]2)cc1,pat:US9688661,,,US9688661,174004,,0.2973,<0.50,insufficient
JAK1/TYK2,LWBXZXZAHVCFLN-UHFFFAOYSA-N,dual,dual,7.4815,7.2676,CCc1ccc(C(F)(F)F)cc1-c1[nH]c(-c2cc(N)ncn2)cc1C(N)=O,c1ccc(-c2ccc(-c3ccncn3)[nH]2)cc1,pat:US9688661,,,US9688661,174006,,0.2468,<0.50,insufficient
JAK1/TYK2,RJOWGBLWKKDTDG-UHFFFAOYSA-N,dual,dual,7.8539,7.3372,CCc1ccc(C(F)(F)F)cc1-c1[nH]c(-c2cc(NC)ncn2)cc1C(N)=O,c1ccc(-c2ccc(-c3ccncn3)[nH]2)cc1,pat:US9688661,,,US9688661,174007,,0.2375,<0.50,insufficient
