pair,inchikey,class,strict_class,pA,pB,smiles,scaffold,source_key,pmids,dois,patents,monomerids,chembl_ids,max_ecfp4_to_development,chem_stratum,gate
PIK3CA/PIK3CB,WRDUSFKPZVPYTB-UHFFFAOYSA-N,dual,dual,8.5528,6.7696,Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)c1nc(-c2cnc3ccc(Cl)cn23)cs1,O=S(=O)(c1ccccc1)c1nc(-c2cnc3ccccn23)cs1,pmid:17049248,17049248,10.1016/j.bmc.2006.09.047,,25056,,0.2889,<0.50,insufficient
PIK3CA/PIK3CB,IFJYYBZHFXCMOD-UHFFFAOYSA-N,B_only,gray,5.9066,6.6556,Cc1ccccc1-n1c(Cn2nc(-c3cc(O)cc(F)c3)c3c(N)cccc32)nc2cccc(C)c2c1=O,O=c1c2ccccc2nc(Cn2nc(-c3ccccc3)c3ccccc32)n1-c1ccccc1,pmid:20189103,20189103,10.1016/j.chembiol.2010.01.010,,81369,,0.2917,<0.50,insufficient
PIK3CA/PIK3CB,XOKZXNOZHXOLDH-UHFFFAOYSA-N,B_only,gray,5.0501,6.1568,Cc1ccccc1-n1c(Cn2nc(-c3ccc(O)c(F)c3)c3c(N)cccc32)nc2cccc(C)c2c1=O,O=c1c2ccccc2nc(Cn2nc(-c3ccccc3)c3ccccc32)n1-c1ccccc1,pmid:20189103,20189103,10.1016/j.chembiol.2010.01.010,,81370,,0.281,<0.50,insufficient
PIK3CA/PIK3CB,MJQGMYGGZLZWDH-UHFFFAOYSA-N,neither,gray,5.1739,5.6198,Cc1ccccc1-n1c(Cn2nc(-c3ccc(F)c(O)c3)c3c(N)cccc32)nc2cccc(C)c2c1=O,O=c1c2ccccc2nc(Cn2nc(-c3ccccc3)c3ccccc32)n1-c1ccccc1,pmid:20189103,20189103,10.1016/j.chembiol.2010.01.010,,81371,,0.3059,<0.50,insufficient
PIK3CA/PIK3CB,PBLFNMOKPUCOQY-UHFFFAOYSA-N,B_only,gray,4.0706,6.1308,Cc1ccccc1-n1c(Cn2nc(C#CCO)c3c(N)cccc32)nc2cccc(C)c2c1=O,O=c1c2ccccc2nc(Cn2ncc3ccccc32)n1-c1ccccc1,pmid:20189103,20189103,10.1016/j.chembiol.2010.01.010,,81373,,0.2605,<0.50,insufficient
PIK3CA/PIK3CB,ZJAVHOMVDCMAMF-UHFFFAOYSA-N,dual,gray,7.9586,6.4559,COc1ccc2c(c1OC)N=C(NC(=O)c1cccnc1)N1CCN=C21,O=C(NC1=Nc2ccccc2C2=NCCN12)c1cccnc1,pmid:20189103,20189103,10.1016/j.chembiol.2010.01.010,,81368,,0.2211,<0.50,insufficient
PIK3CA/PIK3CB,RPUUWLBKYKOVQB-IBGZPJMESA-N,neither,gray,5.699,5.699,CC(C)C#Cc1cccc2cc([C@H](C)NC(=O)c3c(N)nn4cccnc34)n(-c3ccccc3)c(=O)c12,O=C(NCc1cc2ccccc2c(=O)n1-c1ccccc1)c1cnn2cccnc12,pat:US10329299,,,US10329299;US10675286;US11541059;US9775844,339972,,0.2475,<0.50,insufficient
PIK3CA/PIK3CB,ZRIUHXJPMOQJOP-FQEVSTJZSA-N,neither,gray,5.699,5.699,COc1ccc(C#Cc2cccc3cc([C@H](C)NC(=O)c4c(N)nn5cccnc45)n(-c4ccccc4)c(=O)c23)cn1,O=C(NCc1cc2cccc(C#Cc3cccnc3)c2c(=O)n1-c1ccccc1)c1cnn2cccnc12,pat:US10329299,,,US10329299;US10675286;US11541059;US9775844,340014,,0.2364,<0.50,insufficient
PIK3CA/PIK3CB,LVBNAHNGTGJMPZ-IBGZPJMESA-N,neither,gray,5.699,5.699,C[C@H](NC(=O)c1c(N)nn2cccnc12)c1cc2cccc(C#Cc3cncn3C)c2c(=O)n1-c1ccccc1,O=C(NCc1cc2cccc(C#Cc3cnc[nH]3)c2c(=O)n1-c1ccccc1)c1cnn2cccnc12,pat:US10329299,,,US10329299;US10675286;US11541059;US9775844,340015,,0.2315,<0.50,insufficient
PIK3CA/PIK3CB,OEMZEJDPCSZFKB-SFHVURJKSA-N,neither,gray,5.699,5.699,C[C@H](NC(=O)c1c(N)nn2cccnc12)c1cc2cccc(C#CC(C)(C)N)c2c(=O)n1-c1ccccc1,O=C(NCc1cc2ccccc2c(=O)n1-c1ccccc1)c1cnn2cccnc12,pat:US10329299,,,US10329299;US10675286;US11541059;US9775844,340016,,0.2404,<0.50,insufficient
