pair,inchikey,class,strict_class,pA,pB,smiles,scaffold,source_key,pmids,dois,patents,monomerids,chembl_ids,max_ecfp4_to_development,chem_stratum,gate
PIK3CA/mTOR,NTFJEPLWCCMZBK-UHFFFAOYSA-N,dual,dual,7.585,7.6198,CCc1ncnc(-c2ccc(C(C)(C)C#N)cc2)c1C#Cc1ccc(N)nc1,C(#Cc1cncnc1-c1ccccc1)c1cccnc1,pat:US8633183,,,US8633183,115575,,0.4675,<0.50,insufficient
PIK3CA/mTOR,KZIMQQPJGWOZSS-UHFFFAOYSA-N,dual,dual,7.6198,7.6198,Cc1ncnc(-c2ccc(C(C)(C)C#N)cc2)c1C#Cc1ccc(N)nc1,C(#Cc1cncnc1-c1ccccc1)c1cccnc1,pat:US8633183,,,US8633183,115576,,0.4658,<0.50,insufficient
PIK3CA/mTOR,ZSIMXZKGXNIYSB-UHFFFAOYSA-N,dual,dual,6.5952,8.2218,Cc1ncnc(-c2ccc(F)c(C(=O)N(C)C)c2)c1C#Cc1ccc(N)nc1,C(#Cc1cncnc1-c1ccccc1)c1cccnc1,pat:US8633183,,,US8633183,115583,,0.4615,<0.50,insufficient
PIK3CA/mTOR,MDZQDTZKPGHJRF-UHFFFAOYSA-N,dual,gray,6.3969,7.7696,Cc1ncnc(-c2cccc(C(=O)N(C)C)c2)c1C#Cc1ccc(N)nc1,C(#Cc1cncnc1-c1ccccc1)c1cccnc1,pat:US8633183,,,US8633183,115584,,0.4737,<0.50,insufficient
PIK3CA/mTOR,XIYLXGUWKRQALC-UHFFFAOYSA-N,dual,dual,7.0044,7.1612,CCc1ncnc(-c2ccc(S(C)(=O)=O)cc2)c1C#Cc1ccc(C)nc1,C(#Cc1cncnc1-c1ccccc1)c1cccnc1,pat:US8633183,,,US8633183,115592,,0.4603,<0.50,insufficient
PIK3CA/mTOR,IKXDAOOCMWHQNH-UHFFFAOYSA-N,dual,dual,6.8633,7.5376,CCc1ncnc(-c2ccc(C(=O)N(C)C)cc2)c1C#Cc1ccc(C)nc1,C(#Cc1cncnc1-c1ccccc1)c1cccnc1,pat:US8633183,,,US8633183,115593,,0.4615,<0.50,insufficient
PIK3CA/mTOR,KPJFTLPJNGGGAU-UHFFFAOYSA-N,dual,dual,7.2366,7.3979,Cc1cc(-c2ncnc(C)c2C#Cc2ccc(N)nc2)ccn1,C(#Cc1cncnc1-c1ccncc1)c1cccnc1,pat:US8633183,,,US8633183,115595,,0.4507,<0.50,insufficient
PIK3CA/mTOR,HONRWORJJSIFBP-UHFFFAOYSA-N,dual,dual,7.0044,7.3565,Cc1ncnc(-c2ccc(C(F)(F)F)nc2)c1C#Cc1ccc(N)nc1,C(#Cc1cncnc1-c1cccnc1)c1cccnc1,pat:US8633183,,,US8633183,115596,,0.4521,<0.50,insufficient
PIK3CA/mTOR,QWDMEZXGUVFKIJ-UHFFFAOYSA-N,dual,dual,7.5229,7.1192,Cc1ncnc(-c2cnc3ccccc3c2)c1C#Cc1ccc(N)nc1,C(#Cc1cncnc1-c1cnc2ccccc2c1)c1cccnc1,pat:US8633183,,,US8633183,115597,,0.4267,<0.50,insufficient
PIK3CA/mTOR,NRXOOSPAKAQFAI-UHFFFAOYSA-N,dual,dual,7.1079,7.2007,COc1ccc(-c2ncnc(C)c2C#Cc2ccc(N)nc2)cn1,C(#Cc1cncnc1-c1cccnc1)c1cccnc1,pat:US8633183,,,US8633183,115598,,0.4583,<0.50,insufficient
PIK3CA/mTOR,QTMNAWOUZWEJCO-UHFFFAOYSA-N,dual,dual,7.2291,7.4685,Cc1ccc(-c2ncnc(C)c2C#Cc2ccc(N)nc2)cn1,C(#Cc1cncnc1-c1cccnc1)c1cccnc1,pat:US8633183,,,US8633183,115599,,0.4853,<0.50,insufficient
PIK3CA/mTOR,GTOSONUHQUALSF-UHFFFAOYSA-N,dual,dual,7.2366,7.301,CCc1ncnc(-c2ccc(C(F)(F)F)nc2)c1C#Cc1ccc(N)nc1,C(#Cc1cncnc1-c1cccnc1)c1cccnc1,pat:US8633183,,,US8633183,115603,,0.4872,<0.50,insufficient
PIK3CA/mTOR,XLXZVGQNDZBHPJ-UHFFFAOYSA-N,dual,dual,7.6198,7.4685,CCc1ncnc(-c2cnc3ccccc3c2)c1C#Cc1ccc(N)nc1,C(#Cc1cncnc1-c1cnc2ccccc2c1)c1cccnc1,pat:US8633183,,,US8633183,115604,,0.481,<0.50,insufficient
PIK3CA/mTOR,UGRYTNHMXIKZQP-UHFFFAOYSA-N,dual,dual,7.3979,7.2924,CCc1ncnc(-c2ccc(OC)nc2)c1C#Cc1ccc(N)nc1,C(#Cc1cncnc1-c1cccnc1)c1cccnc1,pat:US8633183,,,US8633183,115605,,0.4848,<0.50,insufficient
PIK3CA/mTOR,BWHMPFNABWMVCV-UHFFFAOYSA-N,dual,dual,7.2147,7.4685,CCc1ncnc(-c2ccnc(OC)c2)c1C#Cc1ccc(N)nc1,C(#Cc1cncnc1-c1ccncc1)c1cccnc1,pat:US8633183,,,US8633183,115608,,0.4868,<0.50,insufficient
PIK3CA/mTOR,HITSXFZCQCJNJN-UHFFFAOYSA-N,dual,dual,6.5114,7.0862,CCN(CC)C(=O)c1cccc(-c2ncnc(C)c2C#Cc2ccc(N)nc2)c1,C(#Cc1cncnc1-c1ccccc1)c1cccnc1,pat:US8633183,,,US8633183,115611,,0.4557,<0.50,insufficient
PIK3CA/mTOR,RBSJKRGQWCFSJB-UHFFFAOYSA-N,dual,dual,7.1675,7.6198,Cc1ncnc(-c2cc(Cl)cc(C(=O)N(C)C)c2)c1C#Cc1ccc(N)nc1,C(#Cc1cncnc1-c1ccccc1)c1cccnc1,pat:US8633183,,,US8633183,115613,,0.4615,<0.50,insufficient
PIK3CA/mTOR,JJBNQGZCKOIENK-UHFFFAOYSA-N,dual,dual,6.7352,7.4949,CNC(=O)c1cc(-c2ncnc(C)c2C#Cc2ccc(N)nc2)ccc1F,C(#Cc1cncnc1-c1ccccc1)c1cccnc1,pat:US8633183,,,US8633183,115618,,0.4615,<0.50,insufficient
PIK3CA/mTOR,IMWDNDGMPMCVGY-UHFFFAOYSA-N,dual,dual,7.1871,7.9208,CON(C)C(=O)c1ccc(-c2ncnc(C)c2C#Cc2ccc(N)nc2)cc1F,C(#Cc1cncnc1-c1ccccc1)c1cccnc1,pat:US8633183,,,US8633183,115845,,0.4819,<0.50,insufficient
