molecule_chembl_id,target_chembl_id,assay_chembl_id,document_chembl_id,pchembl_value,standard_type,standard_relation,assay_type,assay_organism,confidence_score,keep,exclusion_reasons
CHEMBL118109,CHEMBL1824,CHEMBL769140,CHEMBL1136802,6.46,IC50,=,B,,8,1,
CHEMBL141175,CHEMBL1824,CHEMBL769140,CHEMBL1136802,5.7,IC50,=,B,,8,1,
CHEMBL281300,CHEMBL1824,CHEMBL769139,CHEMBL1145020,5.79,IC50,=,B,,8,1,
CHEMBL288441,CHEMBL1824,CHEMBL674539,CHEMBL1134270,5.58,IC50,=,F,Mus musculus,8,1,
CHEMBL2112370,CHEMBL1824,CHEMBL676070,CHEMBL1134561,5.72,IC50,=,B,,8,1,
CHEMBL180022,CHEMBL1824,CHEMBL874202,CHEMBL1142663,7.23,IC50,=,F,Homo sapiens,9,1,
CHEMBL179633,CHEMBL1824,CHEMBL874202,CHEMBL1142663,5.41,IC50,=,F,Homo sapiens,9,1,
CHEMBL175556,CHEMBL1824,CHEMBL874202,CHEMBL1142663,7.23,IC50,=,F,Homo sapiens,9,1,
CHEMBL193681,CHEMBL1824,CHEMBL880259,CHEMBL1140398,7.52,IC50,=,B,Homo sapiens,9,1,
CHEMBL193681,CHEMBL1824,CHEMBL884054,CHEMBL1140398,5.16,IC50,=,F,Homo sapiens,9,1,
CHEMBL193681,CHEMBL1824,CHEMBL873517,CHEMBL1140398,5.24,IC50,=,F,,8,1,
CHEMBL193578,CHEMBL1824,CHEMBL881955,CHEMBL1141048,7.62,IC50,=,B,Homo sapiens,9,1,
CHEMBL194337,CHEMBL1824,CHEMBL881955,CHEMBL1141048,7.16,IC50,=,B,Homo sapiens,9,1,
CHEMBL10,CHEMBL1824,CHEMBL860920,CHEMBL1144455,,Kd,,B,Homo sapiens,9,0,missing_pchembl;relation_not_equal
CHEMBL24828,CHEMBL1824,CHEMBL860920,CHEMBL1144455,,Kd,,B,Homo sapiens,9,0,missing_pchembl;relation_not_equal
CHEMBL203599,CHEMBL1824,CHEMBL862513,CHEMBL1138126,9.15,IC50,=,B,Homo sapiens,9,1,
CHEMBL203661,CHEMBL1824,CHEMBL862513,CHEMBL1138126,9.1,IC50,=,B,Homo sapiens,9,1,
CHEMBL203644,CHEMBL1824,CHEMBL862513,CHEMBL1138126,8.96,IC50,=,B,Homo sapiens,9,1,
CHEMBL203599,CHEMBL1824,CHEMBL862521,CHEMBL1138126,9.0,IC50,=,F,Homo sapiens,9,1,
CHEMBL203661,CHEMBL1824,CHEMBL862521,CHEMBL1138126,8.3,IC50,=,F,Homo sapiens,9,1,
CHEMBL203644,CHEMBL1824,CHEMBL862521,CHEMBL1138126,7.62,IC50,=,F,Homo sapiens,9,1,
CHEMBL203599,CHEMBL1824,CHEMBL862531,CHEMBL1138126,9.1,IC50,=,F,Homo sapiens,9,1,
CHEMBL205652,CHEMBL1824,CHEMBL861551,CHEMBL1147004,4.68,IC50,=,B,Homo sapiens,9,1,
CHEMBL256362,CHEMBL1824,CHEMBL928909,CHEMBL1141539,7.64,IC50,=,B,Homo sapiens,9,0,potential_duplicate
CHEMBL256362,CHEMBL1824,CHEMBL930659,CHEMBL1141561,7.64,IC50,=,B,,8,1,
CHEMBL257478,CHEMBL1824,CHEMBL930659,CHEMBL1141561,7.16,IC50,=,B,,8,1,
CHEMBL256362,CHEMBL1824,CHEMBL930777,CHEMBL1141561,,IC50,<,B,,8,0,missing_pchembl;relation_not_equal
CHEMBL257478,CHEMBL1824,CHEMBL930777,CHEMBL1141561,8.7,IC50,=,B,,8,1,
CHEMBL257873,CHEMBL1824,CHEMBL947895,CHEMBL1143160,8.3,IC50,=,B,,8,1,
CHEMBL257816,CHEMBL1824,CHEMBL934833,CHEMBL1145585,7.57,IC50,=,B,,8,1,
CHEMBL180022,CHEMBL1824,CHEMBL976909,CHEMBL1149823,7.23,IC50,=,B,Homo sapiens,9,0,potential_duplicate
CHEMBL180022,CHEMBL1824,CHEMBL976910,CHEMBL1149823,8.7,EC50,=,B,Homo sapiens,9,1,
CHEMBL180022,CHEMBL1824,CHEMBL976911,CHEMBL1149823,8.7,EC50,=,B,Homo sapiens,9,1,
CHEMBL180022,CHEMBL1824,CHEMBL977765,CHEMBL1149823,7.09,EC50,=,B,Homo sapiens,9,1,
CHEMBL180022,CHEMBL1824,CHEMBL977766,CHEMBL1149823,6.16,EC50,=,B,Homo sapiens,9,1,
CHEMBL180022,CHEMBL1824,CHEMBL1009319,CHEMBL1139297,9.0,IC50,=,B,,8,1,
CHEMBL10,CHEMBL1824,CHEMBL1061896,CHEMBL1150977,,Kd,>,B,Homo sapiens,9,0,missing_pchembl;relation_not_equal
CHEMBL24828,CHEMBL1824,CHEMBL1061896,CHEMBL1150977,5.58,Kd,=,B,Homo sapiens,9,1,
CHEMBL1087368,CHEMBL1824,CHEMBL1116650,CHEMBL1154343,6.02,IC50,=,B,Homo sapiens,9,1,
CHEMBL1081849,CHEMBL1824,CHEMBL1116650,CHEMBL1154343,5.65,IC50,=,B,Homo sapiens,9,1,
CHEMBL1080506,CHEMBL1824,CHEMBL1116650,CHEMBL1154343,,IC50,>,B,Homo sapiens,9,0,missing_pchembl;relation_not_equal
CHEMBL1080990,CHEMBL1824,CHEMBL1116650,CHEMBL1154343,6.03,IC50,=,B,Homo sapiens,9,1,
CHEMBL1080272,CHEMBL1824,CHEMBL1116650,CHEMBL1154343,6.21,IC50,=,B,Homo sapiens,9,1,
CHEMBL1087368,CHEMBL1824,CHEMBL1116651,CHEMBL1154343,8.15,IC50,=,B,,8,1,
CHEMBL1081849,CHEMBL1824,CHEMBL1116651,CHEMBL1154343,,IC50,,B,,8,0,missing_pchembl;relation_not_equal
CHEMBL1080506,CHEMBL1824,CHEMBL1116651,CHEMBL1154343,8.4,IC50,=,B,,8,1,
CHEMBL1080990,CHEMBL1824,CHEMBL1116651,CHEMBL1154343,,IC50,,B,,8,0,missing_pchembl;relation_not_equal
CHEMBL1080272,CHEMBL1824,CHEMBL1116651,CHEMBL1154343,,IC50,,B,,8,0,missing_pchembl;relation_not_equal
CHEMBL1256432,CHEMBL1824,CHEMBL1261098,CHEMBL1255185,7.8,IC50,=,B,,8,1,
