pair,ligand,molecule_chembl_id,frozen_class,high_conf_class_theta6,high_conf_max_A,high_conf_max_B,n_high_conf_A,n_high_conf_B,complete_high_conf,class_matches_frozen,vina_A,vina_B
EGFR/HER2,EH40_01,CHEMBL1614725,dual,dual,9.0,8.52,5,3,1,1,10.605,9.745
EGFR/HER2,EH40_02,CHEMBL554,dual,dual,10.22,8.8,84,46,1,1,10.799,10.571
EGFR/HER2,EH40_03,CHEMBL5977738,dual,dual,9.85,9.47,1,1,1,1,10.133,10.215
EGFR/HER2,EH40_04,CHEMBL2006715,dual,dual,8.7,8.4,1,1,1,1,11.968,11.632
EGFR/HER2,EH40_05,CHEMBL483321,dual,dual,8.19,8.0,13,20,1,1,10.098,9.98
EGFR/HER2,EH40_06,CHEMBL3911796,dual,dual,8.38,7.79,1,1,1,1,9.773,10.024
EGFR/HER2,EH40_07,CHEMBL257816,dual,dual,7.89,7.57,1,1,1,1,9.372,9.65
EGFR/HER2,EH40_08,CHEMBL193681,dual,dual,7.4,7.52,1,3,1,1,9.882,9.707
EGFR/HER2,EH40_09,CHEMBL175556,dual,dual,7.7,7.23,1,1,1,1,11.011,9.963
EGFR/HER2,EH40_10,CHEMBL604094,dual,dual,7.08,7.36,1,2,1,1,8.753,8.321
EGFR/HER2,EH40_11,CHEMBL3977326,dual,dual,7.68,6.91,1,1,1,1,10.434,10.275
EGFR/HER2,EH40_12,CHEMBL402011,dual,dual,6.75,8.1,1,2,1,1,9.692,10.467
EGFR/HER2,EH40_13,CHEMBL3680374,dual,dual,8.01,6.61,2,1,1,1,10.219,9.203
EGFR/HER2,EH40_14,CHEMBL5204650,dual,dual,6.38,6.92,1,1,1,1,7.128,7.55
EGFR/HER2,EH40_15,CHEMBL1645469,dual,dual,6.18,7.7,1,1,1,1,8.26,8.259
EGFR/HER2,EH40_16,CHEMBL2325101,A_only,A_only,7.3,5.99,1,1,1,1,10.466,10.072
EGFR/HER2,EH40_17,CHEMBL91925,A_only,A_only,7.14,5.93,1,1,1,1,9.126,8.576
EGFR/HER2,EH40_18,CHEMBL2000832,A_only,A_only,6.3,5.9,1,1,1,1,11.17,12.292
EGFR/HER2,EH40_19,CHEMBL589560,A_only,A_only,6.17,5.85,1,1,1,1,8.396,8.225
EGFR/HER2,EH40_20,CHEMBL3357639,A_only,A_only,9.59,5.8,2,1,1,1,10.245,9.624
EGFR/HER2,EH40_21,CHEMBL2112370,A_only,A_only,6.88,5.72,1,1,1,1,9.684,9.132
EGFR/HER2,EH40_22,CHEMBL1081849,A_only,A_only,6.01,5.65,1,1,1,1,10.012,10.127
EGFR/HER2,EH40_23,CHEMBL3633938,A_only,A_only,6.35,5.57,1,1,1,1,11.292,10.764
EGFR/HER2,EH40_24,CHEMBL602328,A_only,A_only,6.01,5.45,1,1,1,1,7.097,6.886
EGFR/HER2,EH40_25,CHEMBL289959,A_only,A_only,7.1,5.3,2,1,1,1,7.956,8.044
EGFR/HER2,EH40_26,CHEMBL371863,A_only,A_only,6.7,5.14,1,1,1,1,7.394,7.472
EGFR/HER2,EH40_27,CHEMBL428690,A_only,A_only,6.28,4.8,15,1,1,1,8.84,9.216
EGFR/HER2,EH40_28,CHEMBL6017443,B_only,B_only,5.99,7.79,1,1,1,1,11.075,11.53
EGFR/HER2,EH40_29,CHEMBL1080990,B_only,B_only,5.92,6.03,1,1,1,1,9.298,9.331
EGFR/HER2,EH40_30,CHEMBL565612,B_only,B_only,5.9,6.1,1,1,1,1,9.399,9.628
EGFR/HER2,EH40_31,CHEMBL257873,B_only,B_only,5.84,8.3,1,1,1,1,10.12,9.812
EGFR/HER2,EH40_32,CHEMBL394463,B_only,B_only,5.75,6.6,1,1,1,1,9.136,9.76
EGFR/HER2,EH40_33,CHEMBL3814021,B_only,B_only,5.69,7.72,2,1,1,1,10.698,10.591
EGFR/HER2,EH40_34,CHEMBL2048792,B_only,B_only,5.64,6.89,1,1,1,1,9.615,9.184
EGFR/HER2,EH40_35,CHEMBL449949,B_only,B_only,5.58,6.35,1,1,1,1,10.142,10.562
EGFR/HER2,EH40_36,CHEMBL5901840,B_only,B_only,5.51,7.97,1,1,1,1,9.955,10.678
EGFR/HER2,EH40_37,CHEMBL5542514,B_only,B_only,5.34,7.08,1,1,1,1,10.59,10.758
EGFR/HER2,EH40_38,CHEMBL2005631,neither,neither,5.8,5.9,1,1,1,1,9.905,9.687
EGFR/HER2,EH40_39,CHEMBL1683950,neither,neither,5.92,5.2,1,1,1,1,10.373,10.12
EGFR/HER2,EH40_40,CHEMBL141175,neither,neither,4.8,5.7,1,1,1,1,8.367,8.612
EGFR/HER2,EH120_041,CHEMBL941,dual,dual,9.96,10.22,2,1,1,1,10.482,10.975
EGFR/HER2,EH120_042,CHEMBL5221067,dual,dual,9.33,9.85,1,1,1,1,9.356,9.29
EGFR/HER2,EH120_043,CHEMBL5881155,dual,dual,9.66,9.22,1,1,1,1,8.541,8.746
EGFR/HER2,EH120_044,CHEMBL203599,dual,dual,9.3,9.15,2,3,1,1,10.762,9.618
EGFR/HER2,EH120_045,CHEMBL1873475,dual,dual,9.3,9.12,32,10,1,1,10.619,9.661
EGFR/HER2,EH120_046,CHEMBL5282641,dual,dual,10.28,9.02,5,1,1,1,10.106,9.712
