pair,contrast,model,n,n_pos,n_neg,n_scaffolds,n_splits,cv_auroc,rank_auroc_docking,note
EGFR/HER2,D_vs_A,physchem,66,28,38,54,5,0.6983,0.6607,scaffold GroupKFold logistic; docking rank AUROC is not the logistic AUROC
EGFR/HER2,D_vs_A,ECFP4,66,28,38,54,5,0.7453,0.6607,scaffold GroupKFold logistic; docking rank AUROC is not the logistic AUROC
EGFR/HER2,D_vs_A,docking,66,28,38,54,5,0.6015,0.6607,scaffold GroupKFold logistic; docking rank AUROC is not the logistic AUROC
EGFR/HER2,D_vs_A,docking+physchem,66,28,38,54,5,0.7058,0.6607,scaffold GroupKFold logistic; docking rank AUROC is not the logistic AUROC
EGFR/HER2,D_vs_A,ECFP4+docking,66,28,38,54,5,0.7509,0.6607,scaffold GroupKFold logistic; docking rank AUROC is not the logistic AUROC; ligand-only ECFP4 frozen pre-fix; rank_auroc_docking post-fix Vina
EGFR/HER2,D_vs_A,ECFP4+physchem,66,28,38,54,5,0.7679,0.6607,scaffold GroupKFold logistic; docking rank AUROC is not the logistic AUROC
EGFR/HER2,D_vs_A,ECFP4+docking+physchem,66,28,38,54,5,0.7641,0.6607,scaffold GroupKFold logistic; docking rank AUROC is not the logistic AUROC; ligand-only ECFP4 frozen pre-fix; rank_auroc_docking post-fix Vina
EGFR/HER2,D_vs_B,physchem,60,28,32,51,5,0.5033,0.3237,scaffold GroupKFold logistic; docking rank AUROC is not the logistic AUROC
EGFR/HER2,D_vs_B,ECFP4,60,28,32,51,5,0.8895,0.3237,scaffold GroupKFold logistic; docking rank AUROC is not the logistic AUROC
EGFR/HER2,D_vs_B,docking,60,28,32,51,5,0.6172,0.3237,scaffold GroupKFold logistic; docking rank AUROC is not the logistic AUROC
EGFR/HER2,D_vs_B,docking+physchem,60,28,32,51,5,0.5547,0.3237,scaffold GroupKFold logistic; docking rank AUROC is not the logistic AUROC
EGFR/HER2,D_vs_B,ECFP4+docking,60,28,32,51,5,0.8873,0.3237,scaffold GroupKFold logistic; docking rank AUROC is not the logistic AUROC; ligand-only ECFP4 frozen pre-fix; rank_auroc_docking post-fix Vina
EGFR/HER2,D_vs_B,ECFP4+physchem,60,28,32,51,5,0.8248,0.3237,scaffold GroupKFold logistic; docking rank AUROC is not the logistic AUROC
EGFR/HER2,D_vs_B,ECFP4+docking+physchem,60,28,32,51,5,0.8237,0.3237,scaffold GroupKFold logistic; docking rank AUROC is not the logistic AUROC; ligand-only ECFP4 frozen pre-fix; rank_auroc_docking post-fix Vina
AChE/BChE,D_vs_A,physchem,53,27,26,45,5,0.5684,0.6524,scaffold GroupKFold logistic; docking rank AUROC is not the logistic AUROC
AChE/BChE,D_vs_A,ECFP4,53,27,26,45,5,0.8974,0.6524,scaffold GroupKFold logistic; docking rank AUROC is not the logistic AUROC
AChE/BChE,D_vs_A,docking,53,27,26,45,5,0.6254,0.6524,scaffold GroupKFold logistic; docking rank AUROC is not the logistic AUROC
AChE/BChE,D_vs_A,docking+physchem,53,27,26,45,5,0.5954,0.6524,scaffold GroupKFold logistic; docking rank AUROC is not the logistic AUROC
AChE/BChE,D_vs_A,ECFP4+docking,53,27,26,45,5,0.8903,0.6524,scaffold GroupKFold logistic; docking rank AUROC is not the logistic AUROC
AChE/BChE,D_vs_A,ECFP4+physchem,53,27,26,45,5,0.8034,0.6524,scaffold GroupKFold logistic; docking rank AUROC is not the logistic AUROC
AChE/BChE,D_vs_A,ECFP4+docking+physchem,53,27,26,45,5,0.802,0.6524,scaffold GroupKFold logistic; docking rank AUROC is not the logistic AUROC
AChE/BChE,D_vs_B,physchem,55,27,28,50,5,0.7328,0.6058,scaffold GroupKFold logistic; docking rank AUROC is not the logistic AUROC
AChE/BChE,D_vs_B,ECFP4,55,27,28,50,5,0.8426,0.6058,scaffold GroupKFold logistic; docking rank AUROC is not the logistic AUROC
AChE/BChE,D_vs_B,docking,55,27,28,50,5,0.5529,0.6058,scaffold GroupKFold logistic; docking rank AUROC is not the logistic AUROC
AChE/BChE,D_vs_B,docking+physchem,55,27,28,50,5,0.7209,0.6058,scaffold GroupKFold logistic; docking rank AUROC is not the logistic AUROC
