pair,contrast,n_pos_sampled,n_neg_sampled,n_pos_with_smiles,n_neg_with_smiles,ecfp4_groupkfold_auroc,property_groupkfold_auroc,cap_per_class,note
EGFR/HER2,D_vs_A,120,119,120,119,0.8013,0.648,120,"Full ChEMBL θ=6.0 maps, not the docked panel. Ligand-only; no docking."
EGFR/HER2,D_vs_B,120,46,120,46,0.8636,0.6067,120,"Full ChEMBL θ=6.0 maps, not the docked panel. Ligand-only; no docking."
EGFR/HER2,D_vs_neither,120,119,120,119,0.9214,0.8151,120,"Full ChEMBL θ=6.0 maps, not the docked panel. Ligand-only; no docking."
EGFR/HER2,D_vs_all_nondual,120,284,120,284,0.8316,0.6586,120,"Full ChEMBL θ=6.0 maps, not the docked panel. Ligand-only; no docking."
EGFR/HER2,summary_min_ecfp4,120,46,120,46,0.8013,,120,"min(D_vs_A, D_vs_B) on ligand-only ECFP4; not a docking result."
AChE/BChE,D_vs_A,119,120,119,120,0.7439,0.5708,120,"Full ChEMBL θ=6.0 maps, not the docked panel. Ligand-only; no docking."
AChE/BChE,D_vs_B,119,120,119,120,0.8487,0.6213,120,"Full ChEMBL θ=6.0 maps, not the docked panel. Ligand-only; no docking."
AChE/BChE,D_vs_neither,119,120,119,120,0.8511,0.688,120,"Full ChEMBL θ=6.0 maps, not the docked panel. Ligand-only; no docking."
AChE/BChE,D_vs_all_nondual,119,360,119,360,0.7983,0.6115,120,"Full ChEMBL θ=6.0 maps, not the docked panel. Ligand-only; no docking."
AChE/BChE,summary_min_ecfp4,119,120,119,120,0.7439,,120,"min(D_vs_A, D_vs_B) on ligand-only ECFP4; not a docking result."
PIK3CA/PIK3CB,D_vs_A,120,120,120,120,0.7195,0.5561,120,"Full ChEMBL θ=6.0 maps, not the docked panel. Ligand-only; no docking."
PIK3CA/PIK3CB,D_vs_B,120,120,120,120,0.8201,0.681,120,"Full ChEMBL θ=6.0 maps, not the docked panel. Ligand-only; no docking."
PIK3CA/PIK3CB,D_vs_neither,120,120,120,120,0.8348,0.7277,120,"Full ChEMBL θ=6.0 maps, not the docked panel. Ligand-only; no docking."
PIK3CA/PIK3CB,D_vs_all_nondual,120,360,120,360,0.7231,0.5607,120,"Full ChEMBL θ=6.0 maps, not the docked panel. Ligand-only; no docking."
PIK3CA/PIK3CB,summary_min_ecfp4,120,120,120,120,0.7195,,120,"min(D_vs_A, D_vs_B) on ligand-only ECFP4; not a docking result."
PIK3CA/mTOR,D_vs_A,120,120,120,120,0.9433,0.6391,120,"Full ChEMBL θ=6.0 maps, not the docked panel. Ligand-only; no docking."
PIK3CA/mTOR,D_vs_B,120,120,120,120,0.8869,0.5281,120,"Full ChEMBL θ=6.0 maps, not the docked panel. Ligand-only; no docking."
PIK3CA/mTOR,D_vs_neither,120,120,120,120,0.9555,0.6559,120,"Full ChEMBL θ=6.0 maps, not the docked panel. Ligand-only; no docking."
PIK3CA/mTOR,D_vs_all_nondual,120,360,120,360,0.9072,0.6142,120,"Full ChEMBL θ=6.0 maps, not the docked panel. Ligand-only; no docking."
PIK3CA/mTOR,summary_min_ecfp4,120,120,120,120,0.8869,,120,"min(D_vs_A, D_vs_B) on ligand-only ECFP4; not a docking result."
