pair,class,n_ligands,median_activity_records_total,q1_activity_records_total,q3_activity_records_total,max_activity_records_total,fraction_repeated_pchembl_A,fraction_repeated_pchembl_B,note
EGFR/HER2,dual,28,4.0,2.0,6.5,318,0.5357,0.4286,API activity-record counts; not assay-confidence or source-document audit
EGFR/HER2,A_only,38,4.0,2.0,8.0,62,0.4737,0.1579,API activity-record counts; not assay-confidence or source-document audit
EGFR/HER2,B_only,32,4.0,2.0,5.25,11,0.125,0.1875,API activity-record counts; not assay-confidence or source-document audit
EGFR/HER2,neither,12,3.0,2.0,3.0,4,0.3333,0.0,API activity-record counts; not assay-confidence or source-document audit
AChE/BChE,dual,27,2.0,2.0,3.0,207,0.1852,0.0741,API activity-record counts; not assay-confidence or source-document audit
AChE/BChE,A_only,25,2.0,2.0,4.0,11,0.28,0.0,API activity-record counts; not assay-confidence or source-document audit
AChE/BChE,B_only,28,2.0,2.0,4.0,6,0.1071,0.1429,API activity-record counts; not assay-confidence or source-document audit
AChE/BChE,neither,15,2.0,2.0,2.0,3,0.0,0.0667,API activity-record counts; not assay-confidence or source-document audit
PIK3CA/PIK3CB,dual,28,2.5,2.0,5.0,46,0.2857,0.2857,API activity-record counts; not assay-confidence or source-document audit
PIK3CA/PIK3CB,A_only,27,2.0,2.0,4.0,21,0.2222,0.037,API activity-record counts; not assay-confidence or source-document audit
PIK3CA/PIK3CB,B_only,28,2.0,2.0,3.0,15,0.0357,0.4286,API activity-record counts; not assay-confidence or source-document audit
PIK3CA/PIK3CB,neither,16,2.0,2.0,2.0,6,0.0,0.0,API activity-record counts; not assay-confidence or source-document audit
PIK3CA/mTOR,dual,18,22.0,10.75,34.0,90,0.9444,0.9444,API activity-record counts; not assay-confidence or source-document audit
PIK3CA/mTOR,A_only,14,3.0,2.0,4.75,28,0.5,0.1429,API activity-record counts; not assay-confidence or source-document audit
PIK3CA/mTOR,B_only,12,3.0,2.0,6.75,40,0.1667,0.5,API activity-record counts; not assay-confidence or source-document audit
PIK3CA/mTOR,neither,4,2.0,2.0,2.5,4,0.25,0.25,API activity-record counts; not assay-confidence or source-document audit
