pair,score,cutoff,k,n_library,n_dual_library,n_dual_top,n_A_only_top,n_B_only_top,n_neither_top,hit_rate,EF,hardneg_fraction_top
EGFR/HER2,vina_mean,EF5,6,110,28,1,2,3,0,0.1667,0.655,0.8333
EGFR/HER2,vina_mean,EF10,11,110,28,1,5,5,0,0.0909,0.357,0.9091
EGFR/HER2,vina_mean,Top10,10,110,28,1,5,4,0,0.1,0.393,0.9
EGFR/HER2,vina_worst,EF5,6,110,28,1,3,2,0,0.1667,0.655,0.8333
EGFR/HER2,vina_worst,EF10,11,110,28,1,5,5,0,0.0909,0.357,0.9091
EGFR/HER2,vina_worst,Top10,10,110,28,1,5,4,0,0.1,0.393,0.9
EGFR/HER2,vina_A,EF5,6,110,28,1,4,1,0,0.1667,0.655,0.8333
EGFR/HER2,vina_A,EF10,11,110,28,2,5,4,0,0.1818,0.714,0.8182
EGFR/HER2,vina_A,Top10,10,110,28,2,5,3,0,0.2,0.786,0.8
EGFR/HER2,vina_B,EF5,6,110,28,1,1,3,1,0.1667,0.655,0.6667
EGFR/HER2,vina_B,EF10,11,110,28,2,4,4,1,0.1818,0.714,0.7273
EGFR/HER2,vina_B,Top10,10,110,28,2,3,4,1,0.2,0.786,0.7
AChE/BChE,vina_mean,EF5,5,95,27,3,1,1,0,0.6,2.111,0.4
AChE/BChE,vina_mean,EF10,10,95,27,5,3,1,1,0.5,1.759,0.4
AChE/BChE,vina_mean,Top10,10,95,27,5,3,1,1,0.5,1.759,0.4
AChE/BChE,vina_worst,EF5,5,95,27,2,0,2,1,0.4,1.407,0.4
AChE/BChE,vina_worst,EF10,10,95,27,5,0,4,1,0.5,1.759,0.4
AChE/BChE,vina_worst,Top10,10,95,27,5,0,4,1,0.5,1.759,0.4
AChE/BChE,vina_A,EF5,5,95,27,3,2,0,0,0.6,2.111,0.4
AChE/BChE,vina_A,EF10,10,95,27,4,5,1,0,0.4,1.407,0.6
AChE/BChE,vina_A,Top10,10,95,27,4,5,1,0,0.4,1.407,0.6
AChE/BChE,vina_B,EF5,5,95,27,1,0,3,1,0.2,0.704,0.6
AChE/BChE,vina_B,EF10,10,95,27,5,0,4,1,0.5,1.759,0.4
AChE/BChE,vina_B,Top10,10,95,27,5,0,4,1,0.5,1.759,0.4
PIK3CA/PIK3CB,vina_mean,EF5,5,99,28,3,1,1,0,0.6,2.121,0.4
PIK3CA/PIK3CB,vina_mean,EF10,10,99,28,3,4,2,1,0.3,1.061,0.6
PIK3CA/PIK3CB,vina_mean,Top10,10,99,28,3,4,2,1,0.3,1.061,0.6
PIK3CA/PIK3CB,vina_worst,EF5,5,99,28,3,1,1,0,0.6,2.121,0.4
PIK3CA/PIK3CB,vina_worst,EF10,10,99,28,4,4,2,0,0.4,1.414,0.6
PIK3CA/PIK3CB,vina_worst,Top10,10,99,28,4,4,2,0,0.4,1.414,0.6
PIK3CA/PIK3CB,vina_A,EF5,5,99,28,3,1,1,0,0.6,2.121,0.4
PIK3CA/PIK3CB,vina_A,EF10,10,99,28,4,4,2,0,0.4,1.414,0.6
PIK3CA/PIK3CB,vina_A,Top10,10,99,28,4,4,2,0,0.4,1.414,0.6
PIK3CA/PIK3CB,vina_B,EF5,5,99,28,1,1,1,2,0.2,0.707,0.4
PIK3CA/PIK3CB,vina_B,EF10,10,99,28,2,2,4,2,0.2,0.707,0.6
PIK3CA/PIK3CB,vina_B,Top10,10,99,28,2,2,4,2,0.2,0.707,0.6
PIK3CA/mTOR,vina_mean,EF5,2,48,18,2,0,0,0,1.0,2.667,0.0
PIK3CA/mTOR,vina_mean,EF10,5,48,18,4,1,0,0,0.8,2.133,0.2
PIK3CA/mTOR,vina_mean,Top10,10,48,18,6,2,1,1,0.6,1.6,0.3
PIK3CA/mTOR,vina_worst,EF5,2,48,18,1,0,0,1,0.5,1.333,0.0
PIK3CA/mTOR,vina_worst,EF10,5,48,18,3,1,0,1,0.6,1.6,0.2
PIK3CA/mTOR,vina_worst,Top10,10,48,18,6,3,0,1,0.6,1.6,0.3
PIK3CA/mTOR,vina_A,EF5,2,48,18,2,0,0,0,1.0,2.667,0.0
PIK3CA/mTOR,vina_A,EF10,5,48,18,3,1,0,1,0.6,1.6,0.2
PIK3CA/mTOR,vina_A,Top10,10,48,18,7,2,0,1,0.7,1.867,0.2
PIK3CA/mTOR,vina_B,EF5,2,48,18,1,1,0,0,0.5,1.333,0.5
PIK3CA/mTOR,vina_B,EF10,5,48,18,4,1,0,0,0.8,2.133,0.2
PIK3CA/mTOR,vina_B,Top10,10,48,18,5,2,2,1,0.5,1.333,0.4
