pair,ligand,target,document_chembl_id,pchembl_value,reason
EGFR/HER2,EH40_05,HER2,CHEMBL5445981,7.5,machine_human_exclude
EGFR/HER2,EH120_059,HER2,CHEMBL1134862,4.31,source_adjudication
EGFR/HER2,EH120_066,HER2,CHEMBL1134270,5.58,machine_human_exclude
AChE/BChE,AB_087,BChE,CHEMBL1145898,5.39,machine_human_exclude
AChE/BChE,AB_087,BChE,CHEMBL1145898,5.47,machine_human_exclude
PIK3CA/mTOR,PM48_04,PIK3CA,CHEMBL5500428,8.85,source_adjudication
PIK3CA/mTOR,PM48_04,mTOR,CHEMBL5500428,8.37,source_adjudication
PIK3CA/mTOR,PM48_05,PIK3CA,CHEMBL4373732,7.48,source_adjudication
PIK3CA/mTOR,PM48_05,PIK3CA,CHEMBL5214883,10.0,source_adjudication
PIK3CA/mTOR,PM48_05,mTOR,CHEMBL4373732,8.52,source_adjudication
PIK3CA/mTOR,PM48_22,mTOR,CHEMBL4765307,5.83,source_adjudication
