pair,ligand,cls,pA,pB,score_A,score_B
EGFR/HER2,EH40_01,dual,9.0,8.52,10.438,9.917
EGFR/HER2,EH40_02,dual,10.22,8.8,9.907,10.526
EGFR/HER2,EH40_03,dual,9.85,9.47,10.061,10.316
EGFR/HER2,EH40_04,dual,8.7,8.4,11.846,11.659
EGFR/HER2,EH40_05,dual,8.19,8.0,10.077,10.109
EGFR/HER2,EH40_06,dual,8.38,7.79,9.631,10.039
EGFR/HER2,EH40_07,dual,7.89,7.57,8.887,9.642
EGFR/HER2,EH40_08,dual,7.4,7.52,9.621,9.837
EGFR/HER2,EH40_09,dual,7.7,7.23,10.792,9.869
EGFR/HER2,EH40_10,dual,7.08,7.36,8.705,8.098
EGFR/HER2,EH40_11,dual,7.68,6.91,10.003,10.337
EGFR/HER2,EH40_12,dual,6.75,8.1,10.337,10.397
EGFR/HER2,EH40_13,dual,8.01,6.61,10.279,9.226
EGFR/HER2,EH40_14,dual,6.38,6.92,7.119,7.529
EGFR/HER2,EH40_15,dual,6.18,7.7,8.263,8.255
EGFR/HER2,EH40_16,A_only,7.3,5.99,10.433,10.095
EGFR/HER2,EH40_17,A_only,7.14,5.93,8.451,8.484
EGFR/HER2,EH40_18,A_only,6.3,5.9,11.216,12.366
EGFR/HER2,EH40_19,A_only,6.17,5.85,8.434,8.19
EGFR/HER2,EH40_20,A_only,9.59,5.8,10.352,9.655
EGFR/HER2,EH40_21,A_only,6.88,5.72,8.951,9.077
EGFR/HER2,EH40_22,A_only,6.01,5.65,9.734,10.088
EGFR/HER2,EH40_23,A_only,6.35,5.57,11.086,10.973
EGFR/HER2,EH40_24,A_only,6.01,5.45,7.028,6.959
EGFR/HER2,EH40_25,A_only,7.1,5.3,7.95,8.208
EGFR/HER2,EH40_26,A_only,6.7,5.14,7.287,7.732
EGFR/HER2,EH40_27,A_only,6.28,4.8,8.818,9.201
EGFR/HER2,EH40_28,B_only,5.99,7.79,11.025,11.483
EGFR/HER2,EH40_29,B_only,5.92,6.03,9.434,8.996
EGFR/HER2,EH40_30,B_only,5.9,6.1,9.149,9.56
EGFR/HER2,EH40_31,B_only,5.84,8.3,10.196,9.786
EGFR/HER2,EH40_32,B_only,5.75,6.6,9.311,9.78
EGFR/HER2,EH40_33,B_only,5.69,7.72,11.133,10.531
EGFR/HER2,EH40_34,B_only,5.64,6.89,9.589,9.492
EGFR/HER2,EH40_35,B_only,5.58,6.35,10.272,10.628
EGFR/HER2,EH40_36,B_only,5.51,7.97,10.249,10.482
EGFR/HER2,EH40_37,B_only,5.34,7.08,10.639,10.746
EGFR/HER2,EH40_38,neither,5.8,5.9,9.667,9.765
EGFR/HER2,EH40_39,neither,5.92,5.2,10.32,10.075
EGFR/HER2,EH40_40,neither,4.8,5.7,7.877,8.658
EGFR/HER2,EH120_041,dual,9.96,10.22,10.351,10.933
EGFR/HER2,EH120_042,dual,9.33,9.85,9.332,9.488
EGFR/HER2,EH120_043,dual,9.66,9.22,8.557,9.049
EGFR/HER2,EH120_044,dual,9.3,9.15,10.764,9.63
EGFR/HER2,EH120_045,dual,9.3,9.12,9.647,9.787
EGFR/HER2,EH120_046,dual,10.28,9.02,9.88,9.834
EGFR/HER2,EH120_047,dual,10.7,9.0,10.125,9.03
EGFR/HER2,EH120_048,dual,9.52,8.96,9.27,8.325
EGFR/HER2,EH120_049,dual,8.96,9.3,9.952,9.767
EGFR/HER2,EH120_050,dual,8.96,8.97,10.175,9.841
EGFR/HER2,EH120_051,dual,9.14,8.96,8.907,8.283
EGFR/HER2,EH120_052,dual,8.89,9.1,10.071,9.899
EGFR/HER2,EH120_053,dual,8.89,9.0,10.081,10.662
EGFR/HER2,EH120_054,A_only,10.6,5.27,7.386,7.677
EGFR/HER2,EH120_055,A_only,9.26,4.04,9.061,8.322
EGFR/HER2,EH120_056,A_only,9.52,5.22,8.027,8.027
EGFR/HER2,EH120_057,A_only,7.89,4.28,7.531,7.703
EGFR/HER2,EH120_058,A_only,9.28,5.81,9.741,9.247
EGFR/HER2,EH120_059,A_only,7.54,4.31,9.241,8.698
EGFR/HER2,EH120_060,A_only,8.32,5.58,8.586,9.157
EGFR/HER2,EH120_061,A_only,7.33,4.72,10.818,10.831
EGFR/HER2,EH120_062,A_only,6.95,4.43,11.255,10.973
EGFR/HER2,EH120_063,A_only,7.3,4.98,9.501,10.16
EGFR/HER2,EH120_064,A_only,7.36,5.06,7.836,8.101
EGFR/HER2,EH120_065,A_only,8.01,5.79,8.655,8.613
EGFR/HER2,EH120_066,A_only,7.75,5.6,8.643,8.495
EGFR/HER2,EH120_067,A_only,7.0,4.87,8.489,8.794
EGFR/HER2,EH120_068,A_only,7.58,5.5,9.257,9.017
EGFR/HER2,EH120_069,A_only,7.43,5.38,8.571,8.813
EGFR/HER2,EH120_070,A_only,6.4,4.43,8.82,9.105
EGFR/HER2,EH120_071,A_only,7.69,5.81,10.544,10.032
EGFR/HER2,EH120_072,A_only,7.67,5.82,11.144,11.017
EGFR/HER2,EH120_073,A_only,7.8,5.96,10.189,9.991
EGFR/HER2,EH120_074,A_only,6.5,4.68,8.402,8.354
EGFR/HER2,EH120_075,A_only,7.3,5.48,8.127,8.12
EGFR/HER2,EH120_076,A_only,6.16,4.38,8.412,8.78
EGFR/HER2,EH120_077,A_only,6.47,4.72,8.599,9.619
EGFR/HER2,EH120_078,A_only,7.14,5.41,10.068,9.535
EGFR/HER2,EH120_079,A_only,7.22,5.52,7.544,7.773
EGFR/HER2,EH120_080,B_only,5.3,8.4,9.936,10.21
EGFR/HER2,EH120_081,B_only,4.92,8.02,10.595,10.656
EGFR/HER2,EH120_082,B_only,5.7,8.7,9.023,9.819
EGFR/HER2,EH120_083,B_only,5.29,7.99,10.794,10.889
EGFR/HER2,EH120_084,B_only,5.66,8.24,10.62,10.656
EGFR/HER2,EH120_085,B_only,5.64,8.12,10.852,11.478
EGFR/HER2,EH120_086,B_only,5.74,8.16,10.425,10.742
EGFR/HER2,EH120_087,B_only,5.54,7.94,10.807,10.8
EGFR/HER2,EH120_088,B_only,5.54,7.8,10.948,12.226
EGFR/HER2,EH120_089,B_only,5.94,8.15,8.784,9.382
EGFR/HER2,EH120_090,B_only,5.59,7.72,9.357,9.632
EGFR/HER2,EH120_091,B_only,5.62,7.62,10.168,10.457
EGFR/HER2,EH120_092,B_only,5.34,7.31,10.644,10.866
EGFR/HER2,EH120_093,B_only,5.86,7.71,10.452,10.71
EGFR/HER2,EH120_094,B_only,4.73,6.46,8.489,8.576
EGFR/HER2,EH120_095,B_only,5.96,7.64,10.233,10.532
EGFR/HER2,EH120_096,B_only,5.67,7.28,10.59,10.62
EGFR/HER2,EH120_097,B_only,5.68,7.16,9.965,10.406
EGFR/HER2,EH120_098,B_only,5.33,6.8,10.395,10.696
EGFR/HER2,EH120_099,B_only,4.82,6.21,10.287,9.877
EGFR/HER2,EH120_100,B_only,5.86,7.23,10.092,10.464
EGFR/HER2,EH120_101,B_only,5.38,6.67,10.699,10.642
EGFR/HER2,EH120_102,neither,4.16,4.18,6.794,6.923
EGFR/HER2,EH120_103,neither,4.33,4.28,8.688,9.134
EGFR/HER2,EH120_104,neither,4.35,4.24,10.207,11.154
EGFR/HER2,EH120_105,neither,4.35,4.28,9.242,9.18
EGFR/HER2,EH120_106,neither,4.4,4.33,9.05,9.574
EGFR/HER2,EH120_107,neither,4.35,4.42,7.699,8.04
EGFR/HER2,EH120_108,neither,4.35,4.42,7.858,7.77
EGFR/HER2,EH120_109,neither,4.44,4.33,4.447,5.03
EGFR/HER2,EH120_110,neither,4.45,4.32,6.888,7.083
JAK1/JAK2,J1J2_001,A_only,7.41,5.3,8.851,8.632
JAK1/JAK2,J1J2_002,A_only,6.64,5.25,8.97,9.958
JAK1/JAK2,J1J2_003,A_only,6.97,5.42,8.579,8.354
JAK1/JAK2,J1J2_004,A_only,7.1,5.5,7.713,7.58
JAK1/JAK2,J1J2_005,A_only,6.77,5.32,7.533,7.686
JAK1/JAK2,J1J2_006,A_only,7.16,5.33,7.367,7.129
JAK1/JAK2,J1J2_007,A_only,7.18,5.41,8.314,8.011
JAK1/JAK2,J1J2_008,A_only,6.96,5.37,7.118,7.401
JAK1/JAK2,J1J2_009,A_only,6.85,5.19,8.977,8.766
JAK1/JAK2,J1J2_010,A_only,6.92,5.33,8.85,9.742
JAK1/JAK2,J1J2_011,A_only,6.82,5.2,8.892,8.574
JAK1/JAK2,J1J2_012,A_only,6.74,5.32,9.322,9.722
JAK1/JAK2,J1J2_013,A_only,7.7,4.76,11.127,10.664
JAK1/JAK2,J1J2_014,A_only,8.13,4.92,9.87,9.718
JAK1/JAK2,J1J2_015,A_only,6.55,5.34,9.562,8.967
JAK1/JAK2,J1J2_016,A_only,8.05,5.19,9.597,9.805
JAK1/JAK2,J1J2_017,A_only,7.01,4.69,9.386,9.79
JAK1/JAK2,J1J2_018,A_only,6.55,4.96,10.219,9.68
JAK1/JAK2,J1J2_019,A_only,7.7,4.75,8.271,8.605
JAK1/JAK2,J1J2_020,A_only,7.62,5.05,9.128,9.05
JAK1/JAK2,J1J2_021,A_only,7.85,5.17,10.157,9.437
JAK1/JAK2,J1J2_022,A_only,7.25,5.48,7.584,7.881
JAK1/JAK2,J1J2_023,A_only,7.82,4.7,9.025,9.119
JAK1/JAK2,J1J2_024,A_only,7.72,5.21,9.512,8.9
JAK1/JAK2,J1J2_025,A_only,6.5,5.5,10.512,9.786
JAK1/JAK2,J1J2_026,A_only,7.4,4.68,11.639,10.158
JAK1/JAK2,J1J2_027,A_only,8.29,5.3,11.458,10.306
JAK1/JAK2,J1J2_028,A_only,8.4,5.32,10.451,10.773
JAK1/JAK2,J1J2_029,A_only,7.88,4.96,10.413,11.806
JAK1/JAK2,J1J2_030,A_only,7.15,5.44,8.443,8.267
JAK1/JAK2,J1J2_031,A_only,7.89,4.91,11.453,11.142
JAK1/JAK2,J1J2_032,A_only,8.44,5.31,8.267,8.214
JAK1/JAK2,J1J2_033,B_only,5.32,6.82,7.898,7.507
JAK1/JAK2,J1J2_034,B_only,5.1,6.66,6.571,6.507
JAK1/JAK2,J1J2_035,B_only,5.24,6.58,7.175,7.235
JAK1/JAK2,J1J2_036,B_only,5.44,7.39,7.806,7.75
JAK1/JAK2,J1J2_037,B_only,5.44,7.11,6.861,7.08
JAK1/JAK2,J1J2_038,B_only,5.46,7.62,6.685,6.929
JAK1/JAK2,J1J2_039,B_only,5.27,7.2,8.397,8.84
JAK1/JAK2,J1J2_040,B_only,5.23,8.42,8.503,8.478
JAK1/JAK2,J1J2_041,B_only,5.44,7.11,7.168,7.448
JAK1/JAK2,J1J2_042,B_only,5.23,6.72,8.84,8.881
JAK1/JAK2,J1J2_043,B_only,5.39,6.53,10.8,10.157
JAK1/JAK2,J1J2_044,B_only,5.26,7.26,8.024,8.474
JAK1/JAK2,J1J2_045,B_only,5.26,7.26,9.124,9.296
JAK1/JAK2,J1J2_046,B_only,5.26,7.26,9.048,9.36
JAK1/JAK2,J1J2_047,B_only,5.46,6.78,9.394,9.296
