pair_id,pair,family,metal_enzyme_risk,ppi_risk,n_both_measured,n_dual,n_A_only,n_B_only,n_neither,directional_n10,formulation_n10,docked_in_this_paper,notes
P01,EGFR/HER2,kinase_homolog,False,False,1751,1182,207,46,316,1,1,1,
P02,PIK3CA/mTOR,pathway,False,False,2713,2002,266,236,209,1,1,1,
P03,AChE/BChE,hydrolase_homolog,False,False,2537,986,483,225,843,1,1,1,
P04,PIK3CA/PIK3CB,isozyme,False,False,1990,988,299,213,490,1,1,1,too_close_for_primary
P05,MCL1/BCL2L1_BclxL,PPI_BH3,False,True,305,82,77,24,122,1,1,0,
P06,MCL1/BCL2,PPI_BH3,False,True,371,160,87,34,90,1,1,0,
P07,AKT1/RPS6KB1_p70S6K,pathway,False,False,601,453,11,100,37,1,1,0,
P08,BRD4/HDAC1,epigenetic_hybrid,True,False,82,66,0,10,6,0,0,0,metal_Zn_HDAC
P09,BRD4/HDAC6,epigenetic_hybrid,True,False,39,27,3,9,0,0,0,0,metal_Zn_HDAC
P10,JAK2/HDAC1,epigenetic_hybrid,True,False,76,52,23,1,0,0,0,0,metal_Zn_HDAC
P11,PARP1/MET,synthetic_lethalish,False,False,13,10,1,0,2,0,0,0,
P12,CDK6/BRD4,kinase_epigenetic,False,False,6,5,1,0,0,0,0,0,
P13,EGFR/MET,kinase_combo,False,False,201,92,38,35,36,1,1,0,
P14,EGFR/PIK3CA,pathway,False,False,199,50,18,49,82,1,1,0,
P15,EGFR/MTOR,pathway,False,False,192,33,29,36,94,1,1,0,
P16,EGFR/BRD4,kinase_epigenetic,False,False,10,7,3,0,0,0,0,0,
P17,EGFR/CDK6,kinase_combo,False,False,18,8,5,2,3,0,0,0,
P18,EGFR/PARP1,DDR_kinase,False,False,5,2,1,0,2,0,0,0,
P19,EGFR/HDAC1,kinase_epigenetic,True,False,43,35,4,3,1,0,0,0,metal_Zn_HDAC
P20,EGFR/JAK2,kinase_combo,False,False,115,69,17,14,15,1,1,0,
P21,HER2/PIK3CA,pathway,False,False,4,2,1,1,0,0,0,0,
P22,HER2/MTOR,pathway,False,False,17,1,4,4,8,0,0,0,
P23,HER2/CDK6,kinase_combo,False,False,4,3,0,1,0,0,0,0,
P24,HER2/HDAC6,kinase_epigenetic,True,False,17,13,2,1,1,0,0,0,metal_Zn_HDAC
P25,HER2/PARP1,DDR_kinase,False,False,1,1,0,0,0,0,0,0,
P26,PIK3CA/AKT1,pathway,False,False,190,81,60,22,27,1,1,0,
P27,PIK3CB/MTOR,pathway,False,False,497,188,96,73,140,1,1,0,
P28,PIK3CB/AKT1,pathway,False,False,56,48,6,1,1,0,0,0,
P29,MTOR/AKT1,pathway,False,False,130,65,13,11,41,1,1,0,
P30,MTOR/RPS6KB1_p70S6K,pathway,False,False,4,0,1,2,1,0,0,0,
P32,JAK2/BRD4,kinase_epigenetic,False,False,190,107,49,11,23,1,1,0,
P33,JAK2/CDK6,kinase_combo,False,False,13,5,5,2,1,0,0,0,
P34,JAK2/PIK3CA,kinase_pathway,False,False,17,9,6,1,1,0,0,0,
P35,CDK6/PARP1,DDR_cellcycle,False,False,18,16,0,0,2,0,0,0,
P36,CDK6/HDAC1,kinase_epigenetic,True,False,3,0,1,1,1,0,0,0,metal_Zn_HDAC
P37,CDK6/PIK3CA,kinase_pathway,False,False,7,5,0,1,1,0,0,0,
P38,BRD4/PARP1,epigenetic_DDR,False,False,21,20,1,0,0,0,0,0,
P39,BRD4/HDAC2,epigenetic_hybrid,True,False,24,15,0,9,0,0,0,0,metal_Zn_HDAC
P40,BRD4/PIK3CA,epigenetic_pathway,False,False,26,12,5,8,1,0,0,0,
P41,PARP1/HDAC1,DDR_epigenetic,True,False,12,10,1,0,1,0,0,0,metal_Zn_HDAC
P44,MET/PIK3CA,kinase_pathway,False,False,11,5,1,1,4,0,0,0,
P45,MET/AKT1,kinase_pathway,False,False,41,8,10,4,19,0,0,0,
P46,HDAC1/HDAC6,isozyme,True,False,3987,2231,223,1133,400,1,1,0,metal_both;isozyme
P47,HDAC1/PIK3CA,epigenetic_pathway,True,False,106,90,3,13,0,0,0,0,metal_Zn_HDAC
P48,HDAC6/PIK3CA,epigenetic_pathway,True,False,54,45,1,7,1,0,0,0,metal_Zn_HDAC
P49,BCL2/BCL2L1_BclxL,PPI_BH3,False,True,1077,690,230,52,105,1,1,0,
P50,MCL1/AKT1,PPI_pathway,False,True,0,0,0,0,0,0,0,0,
P51,ACHE/HDAC1,hydrolase_epigenetic,True,False,2,2,0,0,0,0,0,0,metal_Zn_HDAC;weak_lit
P52,BCHE/EGFR,cross_fold,False,False,1,0,0,1,0,0,0,0,weak_lit
