cutoff_year,primary_cutoff,pair,contrast,n_pos_test,n_neg_test,gate,auroc,ci_lo,ci_hi,packaged_as_external_validation,note
2015,0,EGFR/HER2,D_vs_A,9,8,descriptive_only,,,,0,AUROC omitted because a directional class has n<10
2015,0,EGFR/HER2,D_vs_B,9,15,descriptive_only,,,,0,AUROC omitted because a directional class has n<10
2015,0,AChE/BChE,D_vs_A,11,11,underpowered_report,0.6033,0.3386,0.8347,0,scored-panel time split; not a new docking campaign
2015,0,AChE/BChE,D_vs_B,11,24,underpowered_report,0.6364,0.447,0.8068,0,scored-panel time split; not a new docking campaign
2015,0,PIK3CA/PIK3CB,D_vs_A,17,20,descriptive_only,,,,0,AUROC omitted because a directional class has n<10
2015,0,PIK3CA/PIK3CB,D_vs_B,17,4,descriptive_only,,,,0,AUROC omitted because a directional class has n<10
2015,0,PIK3CA/mTOR,D_vs_A,6,2,descriptive_only,,,,0,AUROC omitted because a directional class has n<10
2015,0,PIK3CA/mTOR,D_vs_B,6,1,descriptive_only,,,,0,AUROC omitted because a directional class has n<10
2018,1,EGFR/HER2,D_vs_A,6,3,descriptive_only,,,,0,AUROC omitted because a directional class has n<10
2018,1,EGFR/HER2,D_vs_B,6,14,descriptive_only,,,,0,AUROC omitted because a directional class has n<10
2018,1,AChE/BChE,D_vs_A,8,5,descriptive_only,,,,0,AUROC omitted because a directional class has n<10
2018,1,AChE/BChE,D_vs_B,8,15,descriptive_only,,,,0,AUROC omitted because a directional class has n<10
2018,1,PIK3CA/PIK3CB,D_vs_A,12,11,unevaluable,,,,0,AUROC omitted because a directional class has n<10
2018,1,PIK3CA/PIK3CB,D_vs_B,12,0,unevaluable,,,,0,AUROC omitted because a directional class has n<10
2018,1,PIK3CA/mTOR,D_vs_A,2,0,unevaluable,,,,0,AUROC omitted because a directional class has n<10
2018,1,PIK3CA/mTOR,D_vs_B,2,1,unevaluable,,,,0,AUROC omitted because a directional class has n<10
2020,0,EGFR/HER2,D_vs_A,6,0,unevaluable,,,,0,AUROC omitted because a directional class has n<10
2020,0,EGFR/HER2,D_vs_B,6,14,unevaluable,,,,0,AUROC omitted because a directional class has n<10
2020,0,AChE/BChE,D_vs_A,5,3,descriptive_only,,,,0,AUROC omitted because a directional class has n<10
2020,0,AChE/BChE,D_vs_B,5,14,descriptive_only,,,,0,AUROC omitted because a directional class has n<10
2020,0,PIK3CA/PIK3CB,D_vs_A,6,4,unevaluable,,,,0,AUROC omitted because a directional class has n<10
2020,0,PIK3CA/PIK3CB,D_vs_B,6,0,unevaluable,,,,0,AUROC omitted because a directional class has n<10
2020,0,PIK3CA/mTOR,D_vs_A,1,0,unevaluable,,,,0,AUROC omitted because a directional class has n<10
2020,0,PIK3CA/mTOR,D_vs_B,1,0,unevaluable,,,,0,AUROC omitted because a directional class has n<10
