cutoff_year,primary_cutoff,pair,split,n_dual,n_A_only,n_B_only,n_neither,n_total,gate,note
2015,0,EGFR/HER2,train_before,18,29,16,4,67,train,cutoffs frozen before AUROC; late ligands unused for method selection
2015,0,EGFR/HER2,test_on_or_after,9,8,15,6,38,descriptive_only,cutoffs frozen before AUROC; late ligands unused for method selection
2015,0,AChE/BChE,train_before,16,14,4,5,39,train,cutoffs frozen before AUROC; late ligands unused for method selection
2015,0,AChE/BChE,test_on_or_after,11,11,24,10,56,underpowered_report,cutoffs frozen before AUROC; late ligands unused for method selection
2015,0,PIK3CA/PIK3CB,train_before,11,7,24,8,50,train,cutoffs frozen before AUROC; late ligands unused for method selection
2015,0,PIK3CA/PIK3CB,test_on_or_after,17,20,4,8,49,descriptive_only,cutoffs frozen before AUROC; late ligands unused for method selection
2015,0,PIK3CA/mTOR,train_before,12,12,11,4,39,train,cutoffs frozen before AUROC; late ligands unused for method selection
2015,0,PIK3CA/mTOR,test_on_or_after,6,2,1,0,9,descriptive_only,cutoffs frozen before AUROC; late ligands unused for method selection
2018,1,EGFR/HER2,train_before,21,34,17,8,80,train,cutoffs frozen before AUROC; late ligands unused for method selection
2018,1,EGFR/HER2,test_on_or_after,6,3,14,2,25,descriptive_only,cutoffs frozen before AUROC; late ligands unused for method selection
2018,1,AChE/BChE,train_before,19,20,13,9,61,train,cutoffs frozen before AUROC; late ligands unused for method selection
2018,1,AChE/BChE,test_on_or_after,8,5,15,6,34,descriptive_only,cutoffs frozen before AUROC; late ligands unused for method selection
2018,1,PIK3CA/PIK3CB,train_before,16,16,28,13,73,train,cutoffs frozen before AUROC; late ligands unused for method selection
2018,1,PIK3CA/PIK3CB,test_on_or_after,12,11,0,3,26,unevaluable,cutoffs frozen before AUROC; late ligands unused for method selection
2018,1,PIK3CA/mTOR,train_before,16,14,11,4,45,train,cutoffs frozen before AUROC; late ligands unused for method selection
2018,1,PIK3CA/mTOR,test_on_or_after,2,0,1,0,3,unevaluable,cutoffs frozen before AUROC; late ligands unused for method selection
2020,0,EGFR/HER2,train_before,21,37,17,8,83,train,cutoffs frozen before AUROC; late ligands unused for method selection
2020,0,EGFR/HER2,test_on_or_after,6,0,14,2,22,unevaluable,cutoffs frozen before AUROC; late ligands unused for method selection
2020,0,AChE/BChE,train_before,22,22,14,9,67,train,cutoffs frozen before AUROC; late ligands unused for method selection
2020,0,AChE/BChE,test_on_or_after,5,3,14,6,28,descriptive_only,cutoffs frozen before AUROC; late ligands unused for method selection
2020,0,PIK3CA/PIK3CB,train_before,22,23,28,15,88,train,cutoffs frozen before AUROC; late ligands unused for method selection
2020,0,PIK3CA/PIK3CB,test_on_or_after,6,4,0,1,11,unevaluable,cutoffs frozen before AUROC; late ligands unused for method selection
2020,0,PIK3CA/mTOR,train_before,17,14,12,4,47,train,cutoffs frozen before AUROC; late ligands unused for method selection
2020,0,PIK3CA/mTOR,test_on_or_after,1,0,0,0,1,unevaluable,cutoffs frozen before AUROC; late ligands unused for method selection
