pair,aggregation,auroc_D_vs_A,auroc_D_vs_B,summary_min,ci_lo,ci_hi,n_dual,n_A_only,n_B_only
EGFR/HER2,pocket_matched,0.6664,0.4297,0.4297,0.2869,0.5834,28,38,32
EGFR/HER2,wrong_pocket,0.6983,0.26,0.26,0.1385,0.4029,28,38,32
EGFR/HER2,worst_pocket,0.6711,0.2712,0.2712,0.1581,0.4031,28,38,32
EGFR/HER2,pooled_mean,0.6889,0.3114,0.3114,0.1793,0.4556,28,38,32
EGFR/HER2,le_pocket_matched,0.3111,0.6205,0.3111,0.19,0.4433,28,38,32
AChE/BChE,pocket_matched,0.6504,0.6058,0.6058,0.44,0.7412,27,25,28
AChE/BChE,wrong_pocket,0.4444,0.5582,0.4444,0.2893,0.5825,27,25,28
AChE/BChE,worst_pocket,0.6148,0.5794,0.5794,0.4149,0.7121,27,25,28
AChE/BChE,pooled_mean,0.5304,0.5853,0.5304,0.364,0.6719,27,25,28
AChE/BChE,le_pocket_matched,0.4133,0.5384,0.4133,0.2486,0.5563,27,25,28
PIK3CA/PIK3CB,pocket_matched,0.6905,0.5,0.5,0.3426,0.6543,28,27,28
PIK3CA/PIK3CB,wrong_pocket,0.6442,0.3489,0.3489,0.2083,0.4937,28,27,28
PIK3CA/PIK3CB,worst_pocket,0.6574,0.4394,0.4394,0.2901,0.598,28,27,28
PIK3CA/PIK3CB,pooled_mean,0.703,0.412,0.412,0.2654,0.5667,28,27,28
PIK3CA/PIK3CB,le_pocket_matched,0.5106,0.3316,0.3316,0.1885,0.4779,28,27,28
PIK3CA/mTOR,pocket_matched,0.7143,0.6921,0.6921,0.4694,0.8017,18,14,12
PIK3CA/mTOR,wrong_pocket,0.7103,0.6019,0.6019,0.3727,0.7657,18,14,12
PIK3CA/mTOR,worst_pocket,0.7024,0.6273,0.6273,0.4094,0.7857,18,14,12
PIK3CA/mTOR,pooled_mean,0.7222,0.6713,0.6713,0.4431,0.8022,18,14,12
PIK3CA/mTOR,le_pocket_matched,0.7262,0.6574,0.6574,0.437,0.8145,18,14,12
