pair,contrast,method,cv_scheme,n_splits,n_scaffolds,n,auroc_ml,auroc_dock_pocket_matched,delta_ml_minus_dock,note
EGFR/HER2,D_vs_A,ECFP4_logistic_cv,scaffold_GroupKFold,5,54,66,0.7453,0.6607,0.0846,primary_no_scaffold_overlap_across_folds; from results/canonical
EGFR/HER2,D_vs_B,ECFP4_logistic_cv,scaffold_GroupKFold,5,51,60,0.8895,0.3237,0.5658,primary_no_scaffold_overlap_across_folds; from results/canonical
JAK1/JAK2,D_vs_A,ECFP4_logistic_cv,scaffold_GroupKFold,5,48,64,0.9146,0.5884,0.3262,primary_no_scaffold_overlap_across_folds; from results/canonical
JAK1/JAK2,D_vs_B,ECFP4_logistic_cv,scaffold_GroupKFold,5,56,64,0.9678,0.7275,0.2403,primary_no_scaffold_overlap_across_folds; from results/canonical
JAK1/TYK2,D_vs_A,ECFP4_logistic_cv,scaffold_GroupKFold,5,59,63,0.8458,0.5751,0.2707,primary_no_scaffold_overlap_across_folds; from results/canonical
JAK1/TYK2,D_vs_B,ECFP4_logistic_cv,scaffold_GroupKFold,5,59,63,0.9022,0.3649,0.5373,primary_no_scaffold_overlap_across_folds; from results/canonical
PIK3CA/mTOR,D_vs_A,ECFP4_logistic_cv,scaffold_GroupKFold,5,31,32,0.7619,0.7143,0.0476,primary_no_scaffold_overlap_across_folds; from results/canonical
PIK3CA/mTOR,D_vs_B,ECFP4_logistic_cv,scaffold_GroupKFold,5,28,30,0.8889,0.6921,0.1968,primary_no_scaffold_overlap_across_folds; from results/canonical
AChE/BChE,D_vs_A,ECFP4_logistic_cv,scaffold_GroupKFold,5,45,53,0.8946,0.6524,0.2422,primary_no_scaffold_overlap_across_folds; from results/canonical
AChE/BChE,D_vs_B,ECFP4_logistic_cv,scaffold_GroupKFold,5,50,55,0.8214,0.6058,0.2156,primary_no_scaffold_overlap_across_folds; from results/canonical
F2/F10,D_vs_A,ECFP4_logistic_cv,scaffold_GroupKFold,5,53,63,0.9425,0.4133,0.5292,primary_no_scaffold_overlap_across_folds; from results/canonical
F2/F10,D_vs_B,ECFP4_logistic_cv,scaffold_GroupKFold,5,58,63,0.6925,0.3448,0.3477,primary_no_scaffold_overlap_across_folds; from results/canonical
PPARG/PPARA,D_vs_A,ECFP4_logistic_cv,scaffold_GroupKFold,5,51,63,0.8327,0.6492,0.1835,primary_no_scaffold_overlap_across_folds; from results/canonical
PPARG/PPARA,D_vs_B,ECFP4_logistic_cv,scaffold_GroupKFold,5,51,64,0.6680,0.7061,-0.0381,primary_no_scaffold_overlap_across_folds; from results/canonical
PPARA/PPARD,D_vs_A,ECFP4_logistic_cv,scaffold_GroupKFold,5,40,64,0.9316,0.6465,0.2851,primary_no_scaffold_overlap_across_folds; from results/canonical
PPARA/PPARD,D_vs_B,ECFP4_logistic_cv,scaffold_GroupKFold,5,35,64,0.8584,0.4463,0.4121,primary_no_scaffold_overlap_across_folds; from results/canonical
