pair,match_type,n_dual_matched,n_other_matched,n_contrast_min,underpowered,auroc_contrast,ci_lo,ci_hi,note
EGFR/HER2,potency_matched_D_vs_A,17,17,17,0,0.7474,0.5606,0.9135,|Δp|≤0.5 potency or |Δheavy|≤2 size; pocket-matched vina; single-contrast CI
EGFR/HER2,potency_matched_D_vs_B,14,14,14,0,0.4694,0.2602,0.7042,|Δp|≤0.5 potency or |Δheavy|≤2 size; pocket-matched vina; single-contrast CI
EGFR/HER2,size_matched_D_vs_A,24,24,24,0,0.5469,0.3958,0.7066,|Δp|≤0.5 potency or |Δheavy|≤2 size; pocket-matched vina; single-contrast CI
EGFR/HER2,size_matched_D_vs_B,22,22,22,0,0.5186,0.3388,0.6921,|Δp|≤0.5 potency or |Δheavy|≤2 size; pocket-matched vina; single-contrast CI
EGFR/HER2,full_panel_pocket_matched,28,70,28,0,0.4297,0.2812,0.5834,unmatched full panel reference
AChE/BChE,potency_matched_D_vs_A,20,20,20,0,0.5925,0.3949,0.765,|Δp|≤0.5 potency or |Δheavy|≤2 size; pocket-matched vina; single-contrast CI
AChE/BChE,potency_matched_D_vs_B,24,24,24,0,0.6007,0.4427,0.7535,|Δp|≤0.5 potency or |Δheavy|≤2 size; pocket-matched vina; single-contrast CI
AChE/BChE,size_matched_D_vs_A,16,16,16,0,0.4844,0.2852,0.6797,|Δp|≤0.5 potency or |Δheavy|≤2 size; pocket-matched vina; single-contrast CI
AChE/BChE,size_matched_D_vs_B,15,15,15,0,0.5956,0.3733,0.8,|Δp|≤0.5 potency or |Δheavy|≤2 size; pocket-matched vina; single-contrast CI
AChE/BChE,full_panel_pocket_matched,27,53,25,0,0.6058,0.4382,0.7267,unmatched full panel reference
PIK3CA/PIK3CB,potency_matched_D_vs_A,20,20,20,0,0.68,0.4825,0.8525,|Δp|≤0.5 potency or |Δheavy|≤2 size; pocket-matched vina; single-contrast CI
PIK3CA/PIK3CB,potency_matched_D_vs_B,20,20,20,0,0.4575,0.28,0.6451,|Δp|≤0.5 potency or |Δheavy|≤2 size; pocket-matched vina; single-contrast CI
PIK3CA/PIK3CB,size_matched_D_vs_A,20,20,20,0,0.63,0.435,0.8051,|Δp|≤0.5 potency or |Δheavy|≤2 size; pocket-matched vina; single-contrast CI
PIK3CA/PIK3CB,size_matched_D_vs_B,17,17,17,0,0.4498,0.2457,0.654,|Δp|≤0.5 potency or |Δheavy|≤2 size; pocket-matched vina; single-contrast CI
PIK3CA/PIK3CB,full_panel_pocket_matched,28,55,27,0,0.5,0.348,0.6465,unmatched full panel reference
PIK3CA/mTOR,potency_matched_D_vs_A,13,13,13,0,0.7101,0.497,0.8996,|Δp|≤0.5 potency or |Δheavy|≤2 size; pocket-matched vina; single-contrast CI
PIK3CA/mTOR,potency_matched_D_vs_B,9,9,9,0,0.7284,0.4074,0.9753,|Δp|≤0.5 potency or |Δheavy|≤2 size; pocket-matched vina; single-contrast CI
PIK3CA/mTOR,size_matched_D_vs_A,12,12,12,0,0.7778,0.5693,0.9514,|Δp|≤0.5 potency or |Δheavy|≤2 size; pocket-matched vina; single-contrast CI
PIK3CA/mTOR,size_matched_D_vs_B,12,12,12,0,0.7222,0.4931,0.9167,|Δp|≤0.5 potency or |Δheavy|≤2 size; pocket-matched vina; single-contrast CI
PIK3CA/mTOR,full_panel_pocket_matched,18,26,12,0,0.6921,0.474,0.8039,unmatched full panel reference
