pair,panel_class,molecule_chembl_id,target,cached_max,api_max,api_median,n_pchembl,n_activity_rows,cache_matches_api_max
PM,dual,CHEMBL573339,PIK3CA,8.89,8.89,8.4,55,59,yes
PM,dual,CHEMBL573339,MTOR,8.28,8.28,7.72,24,31,yes
PM,dual,CHEMBL1236962,PIK3CA,10.72,10.72,9.96,18,24,yes
PM,dual,CHEMBL1236962,MTOR,9.74,9.74,9.47,7,9,yes
PM,dual,CHEMBL592445,PIK3CA,9.4,9.4,9.22,13,13,yes
PM,dual,CHEMBL592445,MTOR,9.4,9.4,8.8,10,12,yes
PM,dual,CHEMBL1879463,PIK3CA,8.85,8.85,7.96,27,29,yes
PM,dual,CHEMBL1879463,MTOR,9.35,9.35,7.7,31,34,yes
PM,dual,CHEMBL521851,PIK3CA,10.0,10.0,8.52,51,59,yes
PM,dual,CHEMBL521851,MTOR,8.52,8.52,6.335,18,20,yes
PM,A_only,CHEMBL2387080,PIK3CA,10.05,10.05,9.54,11,18,yes
PM,A_only,CHEMBL2387080,MTOR,5.92,5.92,5.92,1,1,yes
PM,A_only,CHEMBL3646632,PIK3CA,8.7,8.7,8.7,1,1,yes
PM,A_only,CHEMBL3646632,MTOR,5.92,5.92,5.92,1,1,yes
PM,A_only,CHEMBL3814414,PIK3CA,8.7,8.7,8.7,1,1,yes
PM,A_only,CHEMBL3814414,MTOR,5.92,5.92,5.92,1,1,yes
PM,A_only,CHEMBL2396661,PIK3CA,8.77,8.77,8.3,24,25,yes
PM,A_only,CHEMBL2396661,MTOR,5.83,5.83,5.675,2,3,yes
PM,A_only,CHEMBL2058166,PIK3CA,8.57,8.57,8.21,2,2,yes
PM,A_only,CHEMBL2058166,MTOR,5.64,5.64,5.64,1,1,yes
PM,B_only,CHEMBL600447,PIK3CA,5.98,5.98,5.98,1,1,yes
PM,B_only,CHEMBL600447,MTOR,8.48,8.48,8.48,1,1,yes
PM,B_only,CHEMBL601661,PIK3CA,5.93,5.93,5.93,1,11,yes
PM,B_only,CHEMBL601661,MTOR,9.72,9.72,7.345,22,29,yes
PM,B_only,CHEMBL3120215,PIK3CA,5.89,5.89,5.89,1,1,yes
PM,B_only,CHEMBL3120215,MTOR,8.4,8.4,8.4,3,3,yes
PM,B_only,CHEMBL594793,PIK3CA,5.87,5.87,5.87,1,1,yes
PM,B_only,CHEMBL594793,MTOR,9.17,9.17,9.17,1,1,yes
PM,B_only,CHEMBL573202,PIK3CA,5.74,5.74,5.74,1,1,yes
PM,B_only,CHEMBL573202,MTOR,9.8,9.8,9.8,1,1,yes
AB,dual,CHEMBL3099499,ACHE,8.3,8.3,8.3,1,2,yes
AB,dual,CHEMBL3099499,BCHE,7.21,7.21,7.21,1,1,yes
AB,dual,CHEMBL4464883,ACHE,8.0,8.0,8.0,1,1,yes
AB,dual,CHEMBL4464883,BCHE,6.8,6.8,6.8,1,1,yes
AB,dual,CHEMBL309667,ACHE,7.96,7.96,7.96,1,2,yes
AB,dual,CHEMBL309667,BCHE,8.62,8.62,8.62,1,1,yes
AB,dual,CHEMBL3216777,ACHE,8.88,8.88,8.88,1,2,yes
AB,dual,CHEMBL3216777,BCHE,6.88,6.88,6.88,1,1,yes
AB,A_only,CHEMBL3985059,ACHE,7.39,7.39,7.39,1,1,yes
AB,A_only,CHEMBL3985059,BCHE,5.09,5.09,5.09,1,1,yes
AB,A_only,CHEMBL3425895,ACHE,6.52,6.52,6.52,1,2,yes
AB,A_only,CHEMBL3425895,BCHE,5.46,5.46,5.46,1,2,yes
AB,A_only,CHEMBL2419687,ACHE,7.27,7.27,7.27,1,1,yes
AB,A_only,CHEMBL2419687,BCHE,5.08,5.08,5.08,1,1,yes
AB,A_only,CHEMBL5281758,ACHE,6.52,6.52,6.385,2,2,yes
AB,A_only,CHEMBL5281758,BCHE,4.5,4.5,4.5,1,2,yes
AB,B_only,CHEMBL3754694,ACHE,5.12,5.12,5.12,1,1,yes
AB,B_only,CHEMBL3754694,BCHE,8.64,8.64,8.64,1,1,yes
AB,B_only,CHEMBL3892118,ACHE,5.39,5.39,5.39,1,1,yes
AB,B_only,CHEMBL3892118,BCHE,7.1,7.1,7.1,1,1,yes
AB,B_only,CHEMBL5435599,ACHE,5.25,5.25,5.25,1,2,yes
AB,B_only,CHEMBL5435599,BCHE,7.88,7.88,7.88,1,2,yes
AB,B_only,CHEMBL224469,ACHE,4.99,4.99,4.99,1,1,yes
AB,B_only,CHEMBL224469,BCHE,7.1,7.1,7.1,1,1,yes
