pair,label_rule,n_dual,n_A_only,n_B_only,n_neither_excluded,underpowered,pocket_matched_summary_min,auroc_D_vs_A,auroc_D_vs_B,ci_lo,ci_hi
EGFR/HER2,theta_5.5,69,22,10,0,0,0.4246,0.7734,0.4246,0.2417,0.6262
EGFR/HER2,theta_6.0,28,38,32,0,0,0.4297,0.6664,0.4297,0.2818,0.5775
EGFR/HER2,theta_6.5,26,29,29,0,0,0.4602,0.7347,0.4602,0.304,0.6086
EGFR/HER2,strict_6.5_5.5,26,17,7,0,1,0.3242,0.7986,0.3242,0.1379,0.5245
AChE/BChE,theta_5.5,27,25,28,0,0,0.6058,0.6504,0.6058,0.4417,0.7345
AChE/BChE,theta_6.0,27,25,28,0,0,0.6058,0.6504,0.6058,0.437,0.7303
AChE/BChE,theta_6.5,27,25,28,0,0,0.6058,0.6504,0.6058,0.4376,0.7421
AChE/BChE,strict_6.5_5.5,27,25,28,0,0,0.6058,0.6504,0.6058,0.4424,0.7341
PIK3CA/PIK3CB,theta_5.5,30,25,28,0,0,0.522,0.7293,0.522,0.3627,0.667
PIK3CA/PIK3CB,theta_6.0,28,27,28,0,0,0.5,0.6905,0.5,0.3502,0.6495
PIK3CA/PIK3CB,theta_6.5,28,27,28,0,0,0.5,0.6905,0.5,0.35,0.6464
PIK3CA/PIK3CB,strict_6.5_5.5,28,27,28,0,0,0.5,0.6905,0.5,0.3423,0.6516
PIK3CA/mTOR,theta_5.5,33,9,5,0,1,0.5017,0.5017,0.5061,0.2571,0.625
PIK3CA/mTOR,theta_6.0,18,14,12,0,0,0.6921,0.7143,0.6921,0.4702,0.8133
PIK3CA/mTOR,theta_6.5,17,15,12,0,0,0.674,0.7098,0.674,0.4375,0.797
PIK3CA/mTOR,strict_6.5_5.5,17,7,4,0,1,0.6387,0.6387,0.6691,0.3166,0.7917
