ligand,cls,vina_A,vina_B,alt_receptor
PAB_001,dual,8.941,8.602,4JPS
PAB_002,dual,8.335,8.223,4JPS
PAB_003,dual,10.286,8.986,4JPS
PAB_004,dual,8.13,8.369,4JPS
PAB_005,dual,8.581,7.572,4JPS
PAB_006,dual,10.168,8.344,4JPS
PAB_007,dual,8.898,8.41,4JPS
PAB_008,dual,8.008,7.944,4JPS
PAB_009,dual,7.763,8.162,4JPS
PAB_010,dual,8.746,8.003,4JPS
PAB_011,dual,10.536,9.297,4JPS
PAB_012,dual,10.655,10.146,4JPS
PAB_013,dual,8.115,8.902,4JPS
PAB_014,dual,8.918,8.349,4JPS
PAB_015,dual,9.937,9.319,4JPS
PAB_016,dual,8.718,9.01,4JPS
PAB_017,dual,9.737,8.637,4JPS
PAB_018,dual,9.835,9.307,4JPS
PAB_019,dual,9.485,9.019,4JPS
PAB_020,dual,8.523,7.58,4JPS
PAB_021,dual,8.353,8.351,4JPS
PAB_022,dual,9.649,8.622,4JPS
PAB_023,dual,7.615,8.562,4JPS
PAB_024,dual,8.681,8.406,4JPS
PAB_025,dual,10.473,9.105,4JPS
PAB_026,dual,8.773,8.907,4JPS
PAB_027,dual,10.131,9.633,4JPS
PAB_028,dual,8.863,8.302,4JPS
PAB_029,A_only,9.533,8.174,4JPS
PAB_030,A_only,8.108,6.682,4JPS
PAB_031,A_only,9.138,8.687,4JPS
PAB_032,A_only,8.755,8.613,4JPS
PAB_033,A_only,7.391,7.826,4JPS
PAB_035,A_only,8.817,8.371,4JPS
PAB_036,A_only,7.825,7.539,4JPS
PAB_037,A_only,8.725,6.491,4JPS
PAB_038,A_only,9.641,11.313,4JPS
PAB_039,A_only,9.205,9.405,4JPS
PAB_040,A_only,9.602,7.32,4JPS
PAB_041,A_only,9.414,9.597,4JPS
PAB_042,A_only,8.628,6.466,4JPS
PAB_043,A_only,8.957,6.912,4JPS
PAB_044,A_only,9.65,7.63,4JPS
PAB_045,A_only,9.998,7.533,4JPS
PAB_046,A_only,8.553,6.28,4JPS
PAB_047,A_only,8.296,7.45,4JPS
PAB_048,A_only,9.544,8.194,4JPS
PAB_049,A_only,10.364,9.452,4JPS
PAB_050,A_only,8.176,7.93,4JPS
PAB_051,A_only,9.382,9.124,4JPS
PAB_052,A_only,8.806,9.283,4JPS
PAB_053,A_only,10.723,9.185,4JPS
PAB_054,A_only,8.532,7.455,4JPS
PAB_055,A_only,7.907,7.295,4JPS
PAB_056,A_only,8.079,6.929,4JPS
PAB_057,B_only,8.484,8.666,4JPS
PAB_058,B_only,8.144,8.605,4JPS
PAB_059,B_only,8.329,8.442,4JPS
PAB_060,B_only,10.025,9.467,4JPS
PAB_061,B_only,8.7,9.901,4JPS
PAB_062,B_only,8.312,9.275,4JPS
PAB_063,B_only,8.54,8.505,4JPS
PAB_064,B_only,8.203,9.314,4JPS
PAB_065,B_only,7.587,7.574,4JPS
PAB_066,B_only,8.875,8.799,4JPS
PAB_067,B_only,8.667,9.578,4JPS
PAB_068,B_only,7.859,9.152,4JPS
PAB_069,B_only,8.545,8.729,4JPS
PAB_070,B_only,8.736,9.105,4JPS
PAB_071,B_only,8.806,9.628,4JPS
PAB_072,B_only,10.301,9.758,4JPS
PAB_073,B_only,9.43,8.971,4JPS
PAB_074,B_only,8.764,8.544,4JPS
PAB_075,B_only,8.761,8.962,4JPS
PAB_076,B_only,7.914,9.151,4JPS
PAB_077,B_only,8.1,8.473,4JPS
PAB_078,B_only,8.449,9.02,4JPS
PAB_079,B_only,8.068,7.815,4JPS
PAB_080,B_only,8.741,8.893,4JPS
PAB_081,B_only,7.815,7.981,4JPS
PAB_082,B_only,7.974,8.811,4JPS
PAB_083,B_only,8.155,9.162,4JPS
PAB_084,B_only,8.222,9.018,4JPS
PAB_085,neither,8.72,8.225,4JPS
PAB_086,neither,7.348,7.292,4JPS
PAB_087,neither,7.469,8.326,4JPS
PAB_088,neither,7.104,7.449,4JPS
PAB_089,neither,8.945,9.046,4JPS
PAB_090,neither,8.041,9.153,4JPS
PAB_091,neither,9.867,8.868,4JPS
PAB_092,neither,9.349,9.448,4JPS
PAB_093,neither,8.607,8.998,4JPS
PAB_094,neither,7.582,7.064,4JPS
PAB_095,neither,9.343,9.842,4JPS
PAB_096,neither,8.384,8.741,4JPS
PAB_097,neither,7.635,7.373,4JPS
PAB_098,neither,8.458,9.263,4JPS
PAB_099,neither,9.226,10.734,4JPS
PAB_100,neither,8.032,8.344,4JPS
