ligand,cls,vina_A,vina_B,alt_receptor
PAB_001,dual,9.12,8.602,5DXT
PAB_002,dual,8.08,8.223,5DXT
PAB_003,dual,9.645,8.986,5DXT
PAB_004,dual,8.077,8.369,5DXT
PAB_005,dual,8.912,7.572,5DXT
PAB_006,dual,10.592,8.344,5DXT
PAB_007,dual,10.448,8.41,5DXT
PAB_008,dual,7.854,7.944,5DXT
PAB_009,dual,8.638,8.162,5DXT
PAB_010,dual,9.628,8.003,5DXT
PAB_011,dual,10.021,9.297,5DXT
PAB_012,dual,10.172,10.146,5DXT
PAB_013,dual,8.818,8.902,5DXT
PAB_014,dual,8.95,8.349,5DXT
PAB_015,dual,10.452,9.319,5DXT
PAB_016,dual,9.099,9.01,5DXT
PAB_017,dual,9.775,8.637,5DXT
PAB_018,dual,10.577,9.307,5DXT
PAB_019,dual,9.214,9.019,5DXT
PAB_020,dual,8.241,7.58,5DXT
PAB_021,dual,8.474,8.351,5DXT
PAB_022,dual,10.73,8.622,5DXT
PAB_023,dual,8.449,8.562,5DXT
PAB_024,dual,8.099,8.406,5DXT
PAB_025,dual,10.503,9.105,5DXT
PAB_026,dual,9.125,8.907,5DXT
PAB_027,dual,10.838,9.633,5DXT
PAB_028,dual,9.321,8.302,5DXT
PAB_029,A_only,9.578,8.174,5DXT
PAB_030,A_only,8.644,6.682,5DXT
PAB_031,A_only,10.362,8.687,5DXT
PAB_032,A_only,8.921,8.613,5DXT
PAB_033,A_only,7.298,7.826,5DXT
PAB_035,A_only,8.985,8.371,5DXT
PAB_036,A_only,8.426,7.539,5DXT
PAB_037,A_only,8.72,6.491,5DXT
PAB_038,A_only,10.404,11.313,5DXT
PAB_039,A_only,9.696,9.405,5DXT
PAB_040,A_only,10.063,7.32,5DXT
PAB_041,A_only,9.924,9.597,5DXT
PAB_042,A_only,8.289,6.466,5DXT
PAB_043,A_only,8.824,6.912,5DXT
PAB_044,A_only,9.811,7.63,5DXT
PAB_045,A_only,10.11,7.533,5DXT
PAB_046,A_only,8.805,6.28,5DXT
PAB_047,A_only,8.29,7.45,5DXT
PAB_048,A_only,9.672,8.194,5DXT
PAB_049,A_only,10.07,9.452,5DXT
PAB_050,A_only,9.045,7.93,5DXT
PAB_051,A_only,9.656,9.124,5DXT
PAB_052,A_only,9.444,9.283,5DXT
PAB_053,A_only,11.068,9.185,5DXT
PAB_054,A_only,8.603,7.455,5DXT
PAB_055,A_only,8.291,7.295,5DXT
PAB_056,A_only,8.107,6.929,5DXT
PAB_057,B_only,8.203,8.666,5DXT
PAB_058,B_only,8.32,8.605,5DXT
PAB_059,B_only,8.633,8.442,5DXT
PAB_060,B_only,9.293,9.467,5DXT
PAB_061,B_only,9.371,9.901,5DXT
PAB_062,B_only,8.677,9.275,5DXT
PAB_063,B_only,8.741,8.505,5DXT
PAB_064,B_only,8.575,9.314,5DXT
PAB_065,B_only,7.879,7.574,5DXT
PAB_066,B_only,8.746,8.799,5DXT
PAB_067,B_only,9.361,9.578,5DXT
PAB_068,B_only,8.415,9.152,5DXT
PAB_069,B_only,8.531,8.729,5DXT
PAB_070,B_only,9.167,9.105,5DXT
PAB_071,B_only,8.877,9.628,5DXT
PAB_072,B_only,11.279,9.758,5DXT
PAB_073,B_only,8.536,8.971,5DXT
PAB_074,B_only,8.618,8.544,5DXT
PAB_075,B_only,8.715,8.962,5DXT
PAB_076,B_only,8.639,9.151,5DXT
PAB_077,B_only,8.3,8.473,5DXT
PAB_078,B_only,9.187,9.02,5DXT
PAB_079,B_only,8.194,7.815,5DXT
PAB_080,B_only,9.195,8.893,5DXT
PAB_081,B_only,8.273,7.981,5DXT
PAB_082,B_only,8.435,8.811,5DXT
PAB_083,B_only,8.541,9.162,5DXT
PAB_084,B_only,8.256,9.018,5DXT
PAB_085,neither,9.381,8.225,5DXT
PAB_086,neither,7.671,7.292,5DXT
PAB_087,neither,7.844,8.326,5DXT
PAB_088,neither,7.959,7.449,5DXT
PAB_089,neither,8.581,9.046,5DXT
PAB_090,neither,8.677,9.153,5DXT
PAB_091,neither,9.639,8.868,5DXT
PAB_092,neither,8.839,9.448,5DXT
PAB_093,neither,8.777,8.998,5DXT
PAB_094,neither,7.987,7.064,5DXT
PAB_095,neither,10.289,9.842,5DXT
PAB_096,neither,9.494,8.741,5DXT
PAB_097,neither,8.062,7.373,5DXT
PAB_098,neither,8.73,9.263,5DXT
PAB_099,neither,9.441,10.734,5DXT
PAB_100,neither,8.133,8.344,5DXT
