ligand,vina_mode1,status,reason,seconds
PAB_001,-9.12,success,,15.9
PAB_006,-10.592,success,,35.8
PAB_005,-8.912,success,,46.4
PAB_008,-7.854,success,,21.7
PAB_007,-10.448,success,,51.4
PAB_009,-8.638,success,,22.3
PAB_012,-10.172,success,,44.6
PAB_004,-8.077,success,,116.6
PAB_010,-9.628,success,,71.2
PAB_003,-9.645,success,,149.2
PAB_011,-10.021,success,,86.9
PAB_002,-8.08,success,,177.9
PAB_013,-8.818,success,,73.0
PAB_014,-8.95,success,,81.5
PAB_016,-9.099,success,,55.4
PAB_020,-8.241,success,,19.0
PAB_017,-9.775,success,,68.2
PAB_015,-10.452,success,,95.5
PAB_019,-9.214,success,,53.7
PAB_021,-8.474,success,,45.6
PAB_018,-10.577,success,,87.4
PAB_022,-10.73,success,,52.6
PAB_026,-9.125,success,,34.1
PAB_027,-10.838,success,,45.1
PAB_028,-9.321,success,,41.9
PAB_029,-9.578,success,,35.5
PAB_030,-8.644,success,,33.0
PAB_023,-8.449,success,,144.5
PAB_033,-7.298,success,,26.1
PAB_032,-8.921,success,,66.1
PAB_031,-10.362,success,,99.6
PAB_036,-8.426,success,,35.7
PAB_025,-10.503,success,,191.8
PAB_038,-10.404,success,,17.8
PAB_037,-8.72,success,,31.9
PAB_039,-9.696,success,,33.7
PAB_035,-8.985,success,,96.5
PAB_040,-10.063,success,,29.7
PAB_043,-8.824,success,,33.5
PAB_042,-8.289,success,,34.6
PAB_044,-9.811,success,,39.4
PAB_041,-9.924,success,,83.2
PAB_046,-8.805,success,,29.8
PAB_045,-10.11,success,,44.8
PAB_050,-9.045,success,,21.1
PAB_047,-8.29,success,,81.8
PAB_048,-9.672,success,,73.1
PAB_024,-8.099,success,,379.2
PAB_053,-11.068,success,,21.3
PAB_049,-10.07,success,,101.1
PAB_052,-9.444,success,,44.9
PAB_051,-9.656,success,,88.9
PAB_055,-8.291,success,,59.7
PAB_054,-8.603,success,,84.2
PAB_058,-8.32,success,,49.0
PAB_057,-8.203,success,,71.0
PAB_059,-8.633,success,,34.9
PAB_056,-8.107,success,,95.4
PAB_061,-9.371,success,,29.1
PAB_062,-8.677,success,,56.2
PAB_064,-8.575,success,,38.1
PAB_065,-7.879,success,,33.4
PAB_063,-8.741,success,,78.8
PAB_068,-8.415,success,,31.8
PAB_066,-8.746,success,,40.0
PAB_067,-9.361,success,,40.5
PAB_069,-8.531,success,,21.4
PAB_071,-8.877,success,,45.8
PAB_073,-8.536,success,,33.8
PAB_060,-9.293,success,,167.1
PAB_074,-8.618,success,,34.4
PAB_075,-8.715,success,,33.8
PAB_070,-9.167,success,,93.3
PAB_076,-8.639,success,,36.6
PAB_078,-9.187,success,,25.0
PAB_077,-8.3,success,,32.0
PAB_072,-11.279,success,,126.5
PAB_081,-8.273,success,,33.9
PAB_082,-8.435,success,,29.9
PAB_079,-8.194,success,,68.8
PAB_085,-9.381,success,,16.5
PAB_086,-7.671,success,,10.7
PAB_080,-9.195,success,,83.4
PAB_083,-8.541,success,,47.4
PAB_088,-7.959,success,,9.6
PAB_091,-9.639,success,,19.5
PAB_090,-8.677,success,,34.6
PAB_034,,timeout,timeout_600s,665.0
PAB_084,-8.256,success,,109.0
PAB_094,-7.987,success,,30.5
PAB_087,-7.844,success,,101.8
PAB_093,-8.777,success,,52.3
PAB_097,-8.062,success,,15.5
PAB_096,-9.494,success,,20.1
PAB_092,-8.839,success,,86.1
PAB_089,-8.581,success,,114.7
PAB_098,-8.73,success,,26.2
PAB_100,-8.133,success,,15.9
PAB_099,-9.441,success,,49.3
PAB_095,-10.289,success,,84.3
