ligand,vina_mode1,status,reason,seconds
PM48_01,-9.372,success,,66.3
PM48_07,-11.177,success,,111.4
PM48_04,-11.615,success,,148.7
PM48_08,-9.151,success,,156.7
PM48_09,-8.505,success,,122.1
PM48_05,-9.155,success,,202.1
PM48_11,-8.678,success,,57.2
PM48_02,-9.939,success,,233.7
PM48_06,-8.14,success,,236.6
PM48_16,-7.71,success,,37.4
PM48_12,-8.345,success,,118.8
PM48_14,-7.711,success,,74.1
PM48_15,-8.343,success,,70.6
PM48_13,-9.472,success,,126.7
PM48_17,-8.589,success,,106.4
PM48_21,-8.917,success,,80.1
PM48_18,-8.739,success,,102.7
PM48_24,-7.348,success,,66.3
PM48_22,-8.627,success,,136.7
PM48_23,-7.778,success,,134.9
PM48_10,-12.019,success,,429.2
PM48_20,-9.035,success,,283.5
PM48_03,-8.206,success,,588.5
PM48_25,-7.08,success,,215.6
PM48_27,-10.27,success,,212.2
PM48_28,-8.543,success,,186.8
PM48_29,-8.558,success,,135.3
PM48_32,-7.989,success,,95.0
PM48_19,-7.302,success,,447.7
PM48_30,-8.398,success,,178.8
PM48_33,-9.316,success,,85.3
PM48_26,-8.729,success,,362.1
PM48_35,-9.075,success,,114.9
PM48_36,-9.572,success,,114.5
PM48_39,-9.362,success,,87.3
PM48_34,-9.839,success,,210.3
PM48_40,-7.598,success,,107.8
PM48_41,-8.32,success,,109.6
PM48_38,-9.357,success,,176.0
PM48_45,-9.339,success,,37.8
PM48_42,-7.992,success,,156.7
PM48_31,-10.868,success,,382.2
PM48_47,-8.036,success,,57.8
PM48_43,-9.715,success,,154.1
PM48_48,-7.778,success,,67.5
PM48_44,-7.729,success,,134.1
PM48_46,-9.085,success,,113.6
PM48_37,-10.057,success,,331.0
