idx,year,journal,title,doi,url,pmid,note,bucket
123,2026,Eur J Med Chem,"An adamantylureido-benzylamide aniline as FLAP/sEH dual inhibitor: Rational design, in vitro and in vivo lipidomic profiling.",10.1016/j.ejmech.2025.118338,https://doi.org/10.1016/j.ejmech.2025.118338,41197472,高分刊双靶小分子,ejmc_supplement
124,2026,Eur J Med Chem,Design and synthesis of c-Met/PARP dual-target inhibitors for the treatment of BRCA wild-type TNBC.,10.1016/j.ejmech.2026.118722,https://doi.org/10.1016/j.ejmech.2026.118722,41764804,高分刊双靶小分子,ejmc_supplement
125,2026,Eur J Med Chem,"Design, synthesis and bioactive evaluation of novel quinoline-linked sulfonamide-pyridine derivatives as PI3K/HDAC dual-target inhibitors.",10.1016/j.ejmech.2025.118170,https://doi.org/10.1016/j.ejmech.2025.118170,41046623,高分刊双靶小分子,ejmc_supplement
126,2026,Eur J Med Chem,"Design, synthesis and bioevaluation of novel combretastatin A-4 based derivatives as potent tubulin/HDAC6 dual-target inhibitors for cancer therapy.",10.1016/j.ejmech.2025.118456,https://doi.org/10.1016/j.ejmech.2025.118456,41351923,高分刊双靶小分子,ejmc_supplement
127,2026,Eur J Med Chem,"Design, synthesis and biological evaluation of novel guanidine-containing matrine derivatives as Topo I/II dual target inhibitors.",10.1016/j.ejmech.2026.118884,https://doi.org/10.1016/j.ejmech.2026.118884,42054768,高分刊双靶小分子,ejmc_supplement
128,2026,Eur J Med Chem,"Design, synthesis, and evaluation of dual-target inhibitors of acetylcholinesterase (AChE) and soluble epoxide hydrolase (sEH) for the treatment of Alzheimer's disease.",10.1016/j.ejmech.2026.118844,https://doi.org/10.1016/j.ejmech.2026.118844,42013744,高分刊双靶小分子,ejmc_supplement
129,2026,Eur J Med Chem,Discovery of 3-indolealkylamines as novel dual-target σ(1)R/H(3)R ligands with potent analgesia.,10.1016/j.ejmech.2026.118616,https://doi.org/10.1016/j.ejmech.2026.118616,41616703,双靶激动/调节为主,ejmc_supplement
130,2026,Eur J Med Chem,Discovery of novel bis-aryl urea-linked triazine derivatives as dual PI3K/mTOR inhibitors via scaffold hopping strategy and biological activity evaluations.,10.1016/j.ejmech.2026.118856,https://doi.org/10.1016/j.ejmech.2026.118856,41980403,高分刊双靶小分子,ejmc_supplement
131,2026,Eur J Med Chem,Discovery of the first dual PD-L1/JAK inhibitor with enhanced in vivo antitumor immunity.,10.1016/j.ejmech.2026.118605,https://doi.org/10.1016/j.ejmech.2026.118605,41581364,高分刊双靶小分子,ejmc_supplement
132,2026,Eur J Med Chem,Dual BRD4/AKT inhibition overcomes c-MYC-driven resistance in metastatic castration-resistant prostate cancer.,10.1016/j.ejmech.2026.118824,https://doi.org/10.1016/j.ejmech.2026.118824,41966583,高分刊双靶小分子,ejmc_supplement
133,2026,Eur J Med Chem,Exploring dual inhibitors Carbonic Anhydrases and Phosphodiesterase 5 as potential agents for treatment Alzheimer's disease.,10.1016/j.ejmech.2025.118404,https://doi.org/10.1016/j.ejmech.2025.118404,41330156,高分刊双靶小分子,ejmc_supplement
134,2026,Eur J Med Chem,"Multi-target pyrazolopyrimidine-coumarin derivatives as potent CA IX/XII and tubulin polymerization inhibitors: Design, synthesis, and biological evaluation.",10.1016/j.ejmech.2026.118789,https://doi.org/10.1016/j.ejmech.2026.118789,41905101,高分刊双靶小分子,ejmc_supplement
135,2026,Eur J Med Chem,"Quinazoline-based dual-target inhibitors disrupt influenza virus RNP complex: Rational design, synthesis and mechanistic validation of potent anti-influenza agents.",10.1016/j.ejmech.2025.118185,https://doi.org/10.1016/j.ejmech.2025.118185,41016189,高分刊双靶小分子,ejmc_supplement
136,2026,Eur J Med Chem,Rational design of dual PB2/JAK2 inhibitors achieving balanced antiviral and host-directed immunomodulatory effects.,10.1016/j.ejmech.2026.118642,https://doi.org/10.1016/j.ejmech.2026.118642,41691996,高分刊双靶小分子,ejmc_supplement
137,2026,Eur J Med Chem,"Synthesis and biological evaluation of phenanthridine derivatives as dual-target inhibitors of DNA topoisomerase IB (TOP1) and tyrosyl-DNA phosphodiesterase 1 (TDP1), and potential antitumor agents.",10.1016/j.ejmech.2025.118541,https://doi.org/10.1016/j.ejmech.2025.118541,41485276,高分刊双靶小分子,ejmc_supplement
138,2025,Eur J Med Chem,Achieving dual-target fluorescent probes for tracing and inhibiting BRD4/PLK1 in tumor cells and tissues synchronously.,10.1016/j.ejmech.2025.117886,https://doi.org/10.1016/j.ejmech.2025.117886,40554985,高分刊双靶小分子,ejmc_supplement
