idx,year,journal,title,doi,url,pmid,note,bucket
1,2026,J Med Chem,Rational Design of Diaryl Ether-Based Dual Inhibitors Targeting Successive Essential Enzymes HadAB and InhA in Mycobacterium tuberculosis.,10.1021/acs.jmedchem.6c01302,https://doi.org/10.1021/acs.jmedchem.6c01302,42415474,原创双靶小分子(标题层面),jmc100_core
2,2026,J Med Chem,Identification of XZ8078 as a Dual-Target Degrader Targeting PARP1 and IKZF3 for Broad Spectrum Anticancer Treatment.,10.1021/acs.jmedchem.6c00239,https://doi.org/10.1021/acs.jmedchem.6c00239,42380731,降解剂/PROTAC类,jmc100_core
3,2026,J Med Chem,Discovery of Novel Dual Small-Molecule Inhibitors Targeting SHP2 and NAMPT for Overcoming Resistance to Allosteric SHP2 Inhibition.,10.1021/acs.jmedchem.6c00353,https://doi.org/10.1021/acs.jmedchem.6c00353,42324937,原创双靶小分子(标题层面),jmc100_core
4,2026,J Med Chem,Discovery and Pharmacological Characterization of a Dual-Acting 2-Amino-3-Cyanopyridine Inhibitor Targeting Microtubule Polymerization and GAK.,10.1021/acs.jmedchem.6c00337,https://doi.org/10.1021/acs.jmedchem.6c00337,42298883,原创双靶小分子(标题层面),jmc100_core
5,2026,J Med Chem,"(S,S)-5-Chloro-3-((3,5-dimethylphenyl)sulfonyl)-N-(1-oxo-1-((1-(pyridin-4-yl)ethyl)amino)propan-2-yl)-1H-indole-2-carboxamide, a New Dishevelled 1 and P-Glycoprotein Dual Inhibitor as a Anticancer Agent.",10.1021/acs.jmedchem.6c00706,https://doi.org/10.1021/acs.jmedchem.6c00706,42283820,原创双靶小分子(标题层面),jmc100_core
6,2026,J Med Chem,Mixed Lineage Kinase Suppression in Triple-Negative Breast Cancer: Identification of a Dual Inhibitor Targeting MLK3 and NAMPT.,10.1021/acs.jmedchem.5c03558,https://doi.org/10.1021/acs.jmedchem.5c03558,42269602,原创双靶小分子(标题层面),jmc100_core
7,2026,J Med Chem,"Design, Synthesis, and Pharmacological Evaluation of cGAS/HDAC Dual Inhibitors for Treatment of Autoimmune Diseases.",10.1021/acs.jmedchem.6c00583,https://doi.org/10.1021/acs.jmedchem.6c00583,42268702,原创双靶小分子(标题层面),jmc100_core
8,2026,J Med Chem,"Dual SYK-HDAC Inhibitor Elicits Striking Efficacy against Acute Myeloid Leukemia: Rational Design, Synthesis, and Biological Evaluation.",10.1021/acs.jmedchem.6c00039,https://doi.org/10.1021/acs.jmedchem.6c00039,42262889,原创双靶小分子(标题层面),jmc100_core
9,2026,J Med Chem,"Discovery of CZL-149: A Novel, Highly Potent, and Orally Bioavailable Dual Inhibitor Targeting BET and p300/CBP Bromodomains with Strong Antitumor Efficacy.",10.1021/acs.jmedchem.6c00468,https://doi.org/10.1021/acs.jmedchem.6c00468,42149923,原创双靶小分子(标题层面),jmc100_core
10,2026,J Med Chem,Identification of an Hsp110/HDAC6 Dual-Target Inhibitor for the Effective Treatment of Pulmonary Arterial Hypertension via Synergistic Blockade of Vascular Remodeling.,10.1021/acs.jmedchem.6c00066,https://doi.org/10.1021/acs.jmedchem.6c00066,42112563,原创双靶小分子(标题层面),jmc100_core
11,2026,J Med Chem,Discovery of MK-1088 as a Potent A(2A)/A(2B) Adenosine Receptor Dual-Antagonist for Cancer Immunotherapy.,10.1021/acs.jmedchem.5c03405,https://doi.org/10.1021/acs.jmedchem.5c03405,42084562,激动剂为主,jmc100_core
12,2026,J Med Chem,An Orally Available Halothiazole Glycomimetic as a Cancer-Targeting Dual Galectin-1 and Galectin-3 Inhibitor.,10.1021/acs.jmedchem.5c03703,https://doi.org/10.1021/acs.jmedchem.5c03703,42052938,原创双靶小分子(标题层面),jmc100_core
13,2026,J Med Chem,Discovery of INCB191358: A Potent and Selective DGKα/ζ Dual Inhibitor.,10.1021/acs.jmedchem.5c03768,https://doi.org/10.1021/acs.jmedchem.5c03768,41996127,原创双靶小分子(标题层面),jmc100_core
14,2026,J Med Chem,Rational Design of Dual-Target Molecules via a Fragment-Merging Strategy: TGR5 Agonism and SSTR5 Antagonism.,10.1021/acs.jmedchem.5c03308,https://doi.org/10.1021/acs.jmedchem.5c03308,41941587,原创双靶小分子(标题层面),jmc100_core
15,2026,J Med Chem,Development of Dihydroquinoxalinone-Based Dual CDK6/BET Inhibitors for Triple-Negative Breast Cancer Therapy.,10.1021/acs.jmedchem.5c03487,https://doi.org/10.1021/acs.jmedchem.5c03487,41782507,原创双靶小分子(标题层面),jmc100_core
16,2026,J Med Chem,Structure-Based Design and Free Energy Perturbation-Guided Synthesis of Novel VEGFR2 and HDAC Dual Inhibitors with Potent Antitumor Efficacy.,10.1021/acs.jmedchem.5c01650,https://doi.org/10.1021/acs.jmedchem.5c01650,41704127,原创双靶小分子(标题层面),jmc100_core
