pair,metric,point_estimate,ci_lo,ci_hi,source_file,last_commit_date,bootstrap_seed_definition,role,use_for_manuscript_now
EGFR/HER2,summary_min,0.4297,0.281,0.576,data/jcim_strengthen_t0t1_v0/analysis/PRIMARY_METRIC_V2.md,2026-07-29,SEED=20260729 (no pair/variant offset; snapshot prose),DEPRECATED_SUMMARY,no
AChE/BChE,summary_min,0.6058,0.442,0.737,data/jcim_strengthen_t0t1_v0/analysis/PRIMARY_METRIC_V2.md,2026-07-29,SEED=20260729 (no pair/variant offset; snapshot prose),DEPRECATED_SUMMARY,no
PIK3CA/PIK3CB,summary_min,0.5,0.340,0.648,data/jcim_strengthen_t0t1_v0/analysis/PRIMARY_METRIC_V2.md,2026-07-29,SEED=20260729 (no pair/variant offset; snapshot prose),DEPRECATED_SUMMARY,no
PIK3CA/mTOR,summary_min,0.6921,0.457,0.813,data/jcim_strengthen_t0t1_v0/analysis/PRIMARY_METRIC_V2.md,2026-07-29,SEED=20260729 (no pair/variant offset; snapshot prose),DEPRECATED_SUMMARY,no
EGFR/HER2,summary_min,0.4297,0.2818,0.5775,data/jcim_strengthen_t0t1_v0/tables/unified_threshold_sensitivity_v2.csv,2026-08-26,SEED + stable_offset(pair,'theta_6.0'); non-stratified ligand bootstrap B=2000,CURRENT_MANUSCRIPT_LOCK,yes_until_re-freeze
AChE/BChE,summary_min,0.6058,0.437,0.7303,data/jcim_strengthen_t0t1_v0/tables/unified_threshold_sensitivity_v2.csv,2026-08-26,SEED + stable_offset(pair,'theta_6.0'); non-stratified ligand bootstrap B=2000,CURRENT_MANUSCRIPT_LOCK,yes_until_re-freeze
PIK3CA/PIK3CB,summary_min,0.5,0.3502,0.6495,data/jcim_strengthen_t0t1_v0/tables/unified_threshold_sensitivity_v2.csv,2026-08-26,SEED + stable_offset(pair,'theta_6.0'); non-stratified ligand bootstrap B=2000,CURRENT_MANUSCRIPT_LOCK,yes_until_re-freeze
PIK3CA/mTOR,summary_min,0.6921,0.4702,0.8133,data/jcim_strengthen_t0t1_v0/tables/unified_threshold_sensitivity_v2.csv,2026-08-26,SEED + stable_offset(pair,'theta_6.0'); non-stratified ligand bootstrap B=2000,CURRENT_MANUSCRIPT_LOCK,yes_until_re-freeze
EGFR/HER2,summary_min,0.4297,0.284,0.5774,data/jcim_bench_v0/tables/pocket_matched_directional_v1.csv,2026-08-26,SEED + stable_offset(pair,'pocket_matched_vina'); non-stratified ligand bootstrap B=2000,COEVAL_EXECUTABLE_VARIANT,no_do_not_swap_yet
AChE/BChE,summary_min,0.6058,0.4447,0.7431,data/jcim_bench_v0/tables/pocket_matched_directional_v1.csv,2026-08-26,SEED + stable_offset(pair,'pocket_matched_vina'); non-stratified ligand bootstrap B=2000,COEVAL_EXECUTABLE_VARIANT,no_do_not_swap_yet
PIK3CA/PIK3CB,summary_min,0.5,0.3444,0.6522,data/jcim_bench_v0/tables/pocket_matched_directional_v1.csv,2026-08-26,SEED + stable_offset(pair,'pocket_matched_vina'); non-stratified ligand bootstrap B=2000,COEVAL_EXECUTABLE_VARIANT,no_do_not_swap_yet
PIK3CA/mTOR,summary_min,0.6921,0.4722,0.8,data/jcim_bench_v0/tables/pocket_matched_directional_v1.csv,2026-08-26,SEED + stable_offset(pair,'pocket_matched_vina'); non-stratified ligand bootstrap B=2000,COEVAL_EXECUTABLE_VARIANT,no_do_not_swap_yet
EGFR/HER2,summary_min_pooled_vina_mean,0.2824,0.1577,0.4219,data/jcim_bench_v0/tables/bootstrap_directional_ci_v1.csv,2026-08-26,legacy pooled vina_mean directional; NOT pocket-matched primary,LEGACY_POOLED,no
AChE/BChE,summary_min_pooled_vina_mean,0.5304,0.3571,0.6689,data/jcim_bench_v0/tables/bootstrap_directional_ci_v1.csv,2026-08-26,legacy pooled vina_mean directional; NOT pocket-matched primary,LEGACY_POOLED,no
PIK3CA/PIK3CB,summary_min_pooled_vina_mean,0.412,0.2625,0.5584,data/jcim_bench_v0/tables/bootstrap_directional_ci_v1.csv,2026-08-26,legacy pooled vina_mean directional; NOT pocket-matched primary,LEGACY_POOLED,no
PIK3CA/mTOR,summary_min_pooled_vina_mean,0.6713,0.428,0.8102,data/jcim_bench_v0/tables/bootstrap_directional_ci_v1.csv,2026-08-26,legacy pooled vina_mean directional; NOT pocket-matched primary,LEGACY_POOLED,no
PIK3CA/mTOR,summary_min_original_receptor_row,0.6921,0.4638,0.8015,data/jcim_structure_robust_v0/tables/receptor_realization_two_pair_v1.csv,see table,swap-table bootstrap for original 4L23/4JT6 row; differs from Table 2 CI,SENSITIVITY_ORIGINAL_ROW,use_only_for_swap_deltas
PIK3CA/PIK3CB,summary_min_original_receptor_row,0.5,0.3468,0.648,data/jcim_structure_robust_v0/tables/receptor_realization_two_pair_v1.csv,see table,swap-table bootstrap for original 4L23/2WXF row; differs from Table 2 CI,SENSITIVITY_ORIGINAL_ROW,use_only_for_swap_deltas
