panel_id,molecule_chembl_id,class,target,pdb,pchembl_MCL1,pchembl_BCL2L1,status,vina_mode1,n_modes,reason,torsdof,exhaustiveness_used
MXD001,CHEMBL2312483,dual,MCL1,3WIY,7.82,7.37,exists,-9.469,9,,,
MXD002,CHEMBL5285186,dual,BCL2L1,3WIZ,7.6,6.18,exists,-7.81,9,,,
MXD001,CHEMBL2312483,dual,BCL2L1,3WIZ,7.82,7.37,exists,-8.695,9,,,
MXD003,CHEMBL3401800,dual,BCL2L1,3WIZ,7.07,6.27,exists,-8.682,9,,,
MXD002,CHEMBL5285186,dual,MCL1,3WIY,7.6,6.18,exists,-8.98,9,,,
MXD005,CHEMBL3926515,dual,BCL2L1,3WIZ,6.1,6.96,exists,-9.273,9,,,
MXD005,CHEMBL3926515,dual,MCL1,3WIY,6.1,6.96,exists,-7.529,9,,,
MXD004,CHEMBL3401816,dual,BCL2L1,3WIZ,7.2,6.31,exists,-8.55,9,,,
MXD003,CHEMBL3401800,dual,MCL1,3WIY,7.07,6.27,exists,-8.355,9,,,
MXD004,CHEMBL3401816,dual,MCL1,3WIY,7.2,6.31,exists,-9.254,9,,,
MXD007,CHEMBL538616,dual,MCL1,3WIY,6.7,6.96,exists,-8.993,9,,,
MXD008,CHEMBL4165406,dual,BCL2L1,3WIZ,6.75,6.32,success,-7.322,9,,11,8
MXD008,CHEMBL4165406,dual,MCL1,3WIY,6.75,6.32,success,-8.203,9,,11,8
MXD009,CHEMBL1269110,dual,MCL1,3WIY,6.57,6.96,success,-9.338,9,,9,8
MXD010,CHEMBL1272224,dual,MCL1,3WIY,6.51,6.43,success,-8.898,9,,9,8
MXD010,CHEMBL1272224,dual,BCL2L1,3WIZ,6.51,6.43,success,-7.686,9,,9,8
MXD009,CHEMBL1269110,dual,BCL2L1,3WIZ,6.57,6.96,success,-9.081,9,,9,8
MXD007,CHEMBL538616,dual,BCL2L1,3WIZ,6.7,6.96,success,-10.3,9,,15,8
MXD011,CHEMBL3781669,dual,MCL1,3WIY,7.1,6.72,success,-10.1,9,,8,8
MXD012,CHEMBL1272170,dual,MCL1,3WIY,7.6,6.38,success,-8.949,9,,7,8
MXD011,CHEMBL3781669,dual,BCL2L1,3WIZ,7.1,6.72,success,-8.365,9,,8,8
MXD013,CHEMBL2312484,dual,MCL1,3WIY,7.3,6.78,success,-8.831,9,,7,8
MXD012,CHEMBL1272170,dual,BCL2L1,3WIZ,7.6,6.38,success,-7.039,9,,7,8
MXD013,CHEMBL2312484,dual,BCL2L1,3WIZ,7.3,6.78,success,-7.715,9,,7,8
