panel_id,molecule_chembl_id,class,pchembl_PIK3CA,pchembl_MTOR,min_pchembl,smiles,murcko_scaffold,seed
PM48_01,CHEMBL573339,dual,8.89,8.28,8.28,Oc1cccc(-c2nc(N3CCOCC3)c3oc4ncccc4c3n2)c1,c1ccc(-c2nc(N3CCOCC3)c3oc4ncccc4c3n2)cc1,pm48_carryover
PM48_02,CHEMBL1236962,dual,10.72,9.74,9.74,COc1ncc(-c2ccc3nccc(-c4ccnnc4)c3c2)cc1NS(=O)(=O)c1ccc(F)cc1F,O=S(=O)(Nc1cncc(-c2ccc3nccc(-c4ccnnc4)c3c2)c1)c1ccccc1,pm48_carryover
PM48_03,CHEMBL592445,dual,9.4,9.4,9.4,CN(C)C1CCN(C(=O)c2ccc(NC(=O)Nc3ccc(-c4nc(N5CCOCC5)nc(N5CCOCC5)n4)cc3)cc2)CC1,O=C(Nc1ccc(C(=O)N2CCCCC2)cc1)Nc1ccc(-c2nc(N3CCOCC3)nc(N3CCOCC3)n2)cc1,pm48_carryover
PM48_04,CHEMBL1879463,dual,8.85,9.35,8.85,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21,O=c1[nH]c2cnc3ccc(-c4cnc5ccccc5c4)cc3c2n1-c1ccccc1,pm48_carryover
PM48_05,CHEMBL521851,dual,10.0,8.52,8.52,CS(=O)(=O)N1CCN(Cc2cc3nc(-c4cccc5[nH]ncc45)nc(N4CCOCC4)c3s2)CC1,c1cc(-c2nc(N3CCOCC3)c3sc(CN4CCNCC4)cc3n2)c2cn[nH]c2c1,pm48_carryover
PM48_06,CHEMBL1922094,dual,9.21,8.48,8.48,Cc1c(CN2CCN(C(=O)[C@H](C)O)CC2)sc2c(N3CCOCC3)nc(-c3cnc(N)nc3)nc12,c1ncc(-c2nc(N3CCOCC3)c3sc(CN4CCNCC4)cc3n2)cn1,pm48_carryover
PM48_07,CHEMBL1765602,dual,8.33,9.6,8.33,Nc1ccc(-c2ccc3ncc4ccc(=O)n(-c5cccc(C(F)(F)F)c5)c4c3c2)cn1,O=c1ccc2cnc3ccc(-c4cccnc4)cc3c2n1-c1ccccc1,pm48_carryover
PM48_08,CHEMBL1234354,dual,9.24,8.1,8.1,COc1ccc(-c2cc3c(C)nc(N)nc3n([C@H]3CC[C@H](OCCO)CC3)c2=O)cn1,O=c1c(-c2cccnc2)cc2cncnc2n1C1CCCCC1,pm48_carryover
PM48_09,CHEMBL4084907,dual,8.82,7.92,7.92,Nc1cc(C(F)(F)F)c(-c2nc(N3CCOCC3)nc(N3CCOCC3)n2)cn1,c1cncc(-c2nc(N3CCOCC3)nc(N3CCOCC3)n2)c1,pm48_carryover
PM48_10,CHEMBL1256459,dual,7.85,9.54,7.85,CCC(=O)N1CCN(c2ccc(-n3c(=O)ccc4cnc5ccc(-c6cnc7ccccc7c6)cc5c43)cc2C(F)(F)F)CC1,O=c1ccc2cnc3ccc(-c4cnc5ccccc5c4)cc3c2n1-c1ccc(N2CCNCC2)cc1,pm48_carryover
