ligand,gnina_cnn_4L23,gnina_aff_4L23,gnina_cnn_4JT6,gnina_aff_4JT6
PM110_049,0.9736623168,7.6157155037,0.9738776684,7.8044610023
PM110_050,0.9535133243,8.6037511826,0.9846827388,8.8731336594
PM110_051,0.8118920922,7.8540306091,0.8510910869,8.2946081161
PM110_052,0.7879393101,8.3837175369,0.2400220931,8.0894098282
PM110_053,0.8075285554,7.7606759071,0.8453947306,8.1019029617
PM110_054,0.8891039491,8.4000864029,0.9031896591,8.62728405
PM110_055,0.770332098,8.0906209946,0.5174175501,7.6668086052
PM110_056,0.1135320663,6.2632689476,0.5555347204,7.816798687
PM110_057,0.2099072933,6.0492157936,0.9767531157,9.0454492569
PM110_058,0.9816493392,7.6294169426,0.8249608278,7.1962661743
PM110_059,0.0722863451,6.5852799416,0.0564941652,6.6492638588
PM110_060,0.5555142164,7.7609581947,0.9255111814,8.7753334045
PM110_061,0.9518418908,8.6363334656,0.5061439276,7.4680938721
PM110_062,0.9483129382,7.4725875854,0.7988600731,6.9027762413
PM110_063,0.9811404347,7.7896122932,0.7480165958,7.1478028297
PM110_064,0.9290700555,8.2518644333,0.8678810596,7.9967346191
PM110_065,0.9646238089,8.5280294418,0.940969944,8.1798286438
PM110_066,0.7645121813,7.3486714363,0.6143850684,7.4063382149
PM110_067,0.978720367,8.5243425369,0.9742178321,8.2656965256
PM110_068,0.9373562932,8.2358636856,0.8975889087,8.1274576187
PM110_069,0.5257855058,7.1049389839,0.5959484577,6.7955417633
PM110_070,0.5248858929,6.3591828346,0.3041090071,5.9605731964
PM110_071,0.8405202031,7.597723484,0.9405295849,7.8428192139
PM110_072,0.9673225284,8.2278881073,0.9609023333,8.1178598404
PM110_073,0.9691639543,8.2251586914,0.8635286093,8.2641105652
PM110_074,0.8366897106,6.0049171448,0.7692372799,5.7578148842
PM110_075,0.6035683155,6.8578934669,0.9105556011,7.7213139534
PM110_076,0.136481151,4.9329895973,0.1194578633,6.4481749535
PM110_077,0.5924693942,6.8064379692,0.6646021605,7.0632081032
PM110_078,0.1147101,5.0968399048,0.342043519,7.0594005585
PM110_079,0.0435044803,5.3447699547,0.856364131,8.4314966202
PM110_080,0.8741287589,8.2868432999,0.710172832,8.2755975723
PM110_081,0.9088087082,7.6754517555,0.8099333644,7.4919848442
PM110_082,0.7493029237,7.2120680809,0.8374237418,7.7256317139
PM110_083,0.156231463,7.5981345177,0.2744157016,7.8041853905
PM110_084,0.0751988888,5.1183514595,0.076663591,5.3918113708
PM110_085,0.7539607882,7.3872895241,0.9284456968,7.9023070335
PM110_086,0.8797786236,7.1101570129,0.9688848853,7.7134189606
PM110_087,0.2087844312,6.2599673271,0.1262664199,5.5626749992
PM110_088,0.9271197319,7.7753348351,0.9727617502,8.1025457382
PM110_089,0.1795689166,6.0706477165,0.7073920369,7.2064957619
PM110_090,0.6719008088,8.0571126938,0.2977307439,7.2701778412
PM110_091,0.2621809542,6.8101234436,0.3314456046,6.3193817139
PM110_092,0.9258996248,8.5220327377,0.933095336,8.5026922226
PM110_093,0.6128365993,7.0042843819,0.7913810611,8.020201683
PM110_094,0.0639622733,6.0447068214,0.4562658966,8.1206493378
PM110_095,0.5789657235,7.2169475555,0.5895690918,7.4773898125
PM110_096,0.8965705037,7.0533661842,0.9136964679,7.2444229126
PM110_097,0.429271847,6.6579890251,0.5037016273,6.7606139183
PM110_098,0.3629592061,7.3463892937,0.6914882064,8.4451208115
PM110_099,0.6010456085,7.4648423195,0.3727681041,7.1518893242
PM110_100,0.5992252231,5.9644656181,0.7911580205,6.0597171783
PM110_101,0.2371613532,5.7851424217,0.4083349705,6.6753482819
PM110_102,0.7645789981,6.0669379234,0.7805588841,6.5668168068
PM110_103,0.9663442373,7.2287998199,0.8811649084,6.893471241
PM110_104,0.9212155342,7.3888583183,0.9038135409,7.1911659241
PM110_105,0.2668079138,6.3135380745,0.2673814297,6.9147715569
PM110_106,0.4503393769,7.258866787,0.7343799472,7.7175102234
PM110_107,0.8918253183,7.387614727,0.8959558606,7.508951664
PM110_108,0.9103906751,7.29174757,0.8987820148,7.4065208435
PM110_109,0.5985946655,7.9649910927,0.2700945437,7.4726662636
PM110_110,0.124745965,6.6889414787,0.101081565,6.7833156586
PM110_111,0.8674432039,7.8002796173,0.8924860954,8.0679035187
PM110_112,0.5066313744,6.898088932,0.4268718362,7.0011315346
PM110_113,0.789424479,7.1854319572,0.8735507131,7.2324690819
PM110_114,0.2862304151,7.0862822533,0.6231552362,7.4725575447
PM110_115,0.9221130013,6.9849667549,0.8712629676,7.1336097717
PM48_01,0.9775785208,7.5648856163,0.9895522594,7.825925827
PM48_02,0.7216556072,7.8208642006,0.8171606064,8.3263120651
PM48_03,0.2204590887,6.77435112,0.0709042102,4.5848021507
PM48_04,0.6167758703,7.8202576637,0.8518939614,8.8622379303
PM48_05,0.8926404119,7.9518127441,0.9014986157,8.2781476974
PM48_06,0.9496158361,8.1812973022,0.9887710214,8.7344961166
PM48_07,0.8508214355,8.0332841873,0.8799865842,8.2489213943
PM48_08,0.9547696114,7.8546237946,0.9567308426,8.0727472305
PM48_09,0.9790191054,7.6694831848,0.9921991229,8.0340776443
PM48_10,0.2280624211,7.440267086,0.3043084741,8.2294054031
PM48_11,0.9827796221,7.3988966942,0.9514837861,7.41472435
PM48_12,0.9883172512,7.8721966743,0.9866927266,7.7858338356
PM48_13,0.091012232,5.1681804657,0.4981158078,7.2376122475
