target,ligand,mode,status,cnn_score,cnn_affinity,reason
4L23,PM110_049,mode_01,success,0.9084059596,6.9172611237,
4L23,PM110_051,mode_01,success,0.2280737013,6.3268356323,
4L23,PM110_050,mode_01,success,0.8658881187,8.2171220779,
4L23,PM110_052,mode_01,success,0.7879393101,8.3837175369,
4L23,PM110_053,mode_01,success,0.805000782,7.709833622,
4L23,PM110_056,mode_01,success,0.0575872734,6.1798815727,
4L23,PM110_055,mode_01,success,0.3691833615,7.3614878654,
4L23,PM110_054,mode_01,success,0.8801361918,8.3704357147,
4L23,PM110_060,mode_01,success,0.5149101019,7.6867179871,
4L23,PM110_058,mode_01,success,0.9537286162,7.647128582,
4L23,PM110_059,mode_01,success,0.0284337904,5.1523895264,
4L23,PM110_057,mode_01,success,0.1307588667,6.4925179482,
4L23,PM110_061,mode_01,success,0.9518418908,8.6363334656,
4L23,PM110_064,mode_01,success,0.9290700555,8.2518644333,
4L23,PM110_062,mode_01,success,0.9483129382,7.4725875854,
4L23,PM110_063,mode_01,success,0.9811404347,7.7896122932,
4L23,PM110_067,mode_01,success,0.9621382356,8.2202377319,
4L23,PM110_068,mode_01,success,0.9316709042,8.2353830338,
4L23,PM110_066,mode_01,success,0.6315785646,7.4636130333,
4L23,PM110_065,mode_01,success,0.921069324,8.0874471664,
4L23,PM110_071,mode_01,success,0.7655916214,7.5866827965,
4L23,PM110_069,mode_01,success,0.2117442042,6.6084671021,
4L23,PM110_072,mode_01,success,0.9557906985,8.2645645142,
4L23,PM110_070,mode_01,success,0.2343944609,5.5371131897,
4L23,PM110_073,mode_01,success,0.9095512033,7.8619251251,
4L23,PM110_075,mode_01,success,0.1223105192,5.5331177711,
4L23,PM110_076,mode_01,success,0.0515097305,5.3310742378,
4L23,PM110_074,mode_01,success,0.650380671,5.8595352173,
4L23,PM110_077,mode_01,success,0.1693659872,6.4093813896,
4L23,PM110_079,mode_01,success,0.0435044803,5.3447699547,
4L23,PM110_080,mode_01,success,0.8603817821,8.2761621475,
4L23,PM110_078,mode_01,success,0.1030445397,5.5898184776,
4L23,PM110_081,mode_01,success,0.2378506958,6.3356490135,
4L23,PM110_083,mode_01,success,0.0565035306,6.5863418579,
4L23,PM110_084,mode_01,success,0.0412984155,5.2642917633,
4L23,PM110_082,mode_01,success,0.3897759914,6.9779009819,
4L23,PM110_086,mode_01,success,0.1194389015,5.5440578461,
4L23,PM110_085,mode_01,success,0.1536368579,5.6407375336,
4L23,PM110_087,mode_01,success,0.0841998309,4.3889074326,
4L23,PM110_088,mode_01,success,0.4733648598,7.0056624413,
4L23,PM110_091,mode_01,success,0.1256462485,6.3165440559,
4L23,PM110_089,mode_01,success,0.0768568814,4.8449892998,
4L23,PM110_090,mode_01,success,0.6719008088,8.0571126938,
4L23,PM110_092,mode_01,success,0.9258996248,8.5220327377,
4L23,PM110_096,mode_01,success,0.3070287704,5.9041600227,
4L23,PM110_093,mode_01,success,0.6128365993,7.0042843819,
4L23,PM110_095,mode_01,success,0.2495431751,7.095310688,
4L23,PM110_094,mode_01,success,0.036267899,6.0070605278,
4L23,PM110_100,mode_01,success,0.4616129994,5.8948440552,
4L23,PM110_098,mode_01,success,0.284273088,6.6835055351,
4L23,PM110_097,mode_01,success,0.2145745009,5.9409966469,
4L23,PM110_099,mode_01,success,0.5832861662,7.482316494,
4L23,PM110_104,mode_01,success,0.9212155342,7.3888583183,
4L23,PM110_103,mode_01,success,0.9663442373,7.2287998199,
4L23,PM110_101,mode_01,success,0.2371613532,5.7851424217,
4L23,PM110_102,mode_01,success,0.2590890229,5.5129814148,
4L23,PM110_108,mode_01,success,0.8148211241,7.0187630653,
4L23,PM110_107,mode_01,success,0.2854017019,6.2699756622,
4L23,PM110_106,mode_01,success,0.4207908809,7.2081742287,
4L23,PM110_105,mode_01,success,0.2668079138,6.3135380745,
4L23,PM110_111,mode_01,success,0.5414572358,6.9707813263,
4L23,PM110_109,mode_01,success,0.0759329796,6.5506529808,
4L23,PM110_110,mode_01,success,0.0261485055,4.848959446,
4L23,PM110_112,mode_01,success,0.1942324787,6.6775193214,
4L23,PM48_01,mode_01,success,0.4609872997,6.3656144142,
4L23,PM110_113,mode_01,success,0.6335760355,6.8169956207,
4L23,PM110_115,mode_01,success,0.3507000208,6.1669917107,
4L23,PM110_114,mode_01,success,0.1488993913,6.4873728752,
4L23,PM48_04,mode_01,success,0.1106758788,7.0624022484,
4L23,PM48_02,mode_01,success,0.7216556072,7.8208642006,
4L23,PM48_03,mode_01,success,0.2204590887,6.77435112,
4L23,PM48_05,mode_01,success,0.8846612573,7.7500610352,
4L23,PM48_06,mode_01,success,0.4377960861,7.0325465202,
4L23,PM48_07,mode_01,success,0.6419526339,7.4842209816,
4L23,PM48_08,mode_01,success,0.8688684702,7.763812542,
4L23,PM48_09,mode_01,success,0.9790191054,7.6694831848,
4L23,PM48_13,mode_01,success,0.090602912,5.7182412148,
4L23,PM48_11,mode_01,success,0.8197205067,7.0151124001,
4L23,PM48_12,mode_01,success,0.9883172512,7.8721966743,
4L23,PM48_10,mode_01,success,0.2280624211,7.440267086,
4L23,PM48_14,mode_01,success,0.9685269594,7.4935231209,
4L23,PM48_15,mode_01,success,0.9825943708,7.6773262024,
4L23,PM48_17,mode_01,success,0.225269869,6.1642889977,
4L23,PM48_16,mode_01,success,0.9920781255,7.3439517021,
4L23,PM48_21,mode_01,success,0.9910200834,7.8793921471,
4L23,PM48_19,mode_01,success,0.0590108633,4.8836288452,
4L23,PM48_20,mode_01,success,0.9325557947,8.2198581696,
4L23,PM48_18,mode_01,success,0.9715912938,7.5576815605,
4L23,PM48_22,mode_01,success,0.1167478785,5.881799221,
4L23,PM48_23,mode_01,success,0.9830052257,7.6403422356,
4L23,PM48_24,mode_01,success,0.9787858129,8.0174512863,
4L23,PM48_25,mode_01,success,0.0555923693,4.3335208893,
4L23,PM48_27,mode_01,success,0.2722751498,6.4795365334,
4L23,PM48_29,mode_01,success,0.6518616676,6.8357586861,
4L23,PM48_26,mode_01,success,0.9764952064,8.7154035568,
4L23,PM48_28,mode_01,success,0.9669576287,8.1935415268,
4L23,PM48_31,mode_01,success,0.0902190357,6.9930214882,
4L23,PM48_30,mode_01,success,0.0308605433,3.8118641376,
4L23,PM48_33,mode_01,success,0.5052720904,7.1920528412,
4L23,PM48_32,mode_01,success,0.1391774863,5.9022965431,
4L23,PM48_34,mode_01,success,0.8435883522,8.1891679764,
4L23,PM48_36,mode_01,success,0.4781777263,7.1981506348,
4L23,PM48_35,mode_01,success,0.799452126,7.5549283028,
4L23,PM48_37,mode_01,success,0.0397394076,5.1161646843,
4L23,PM48_38,mode_01,success,0.914253056,7.9524617195,
4L23,PM48_39,mode_01,success,0.1137549803,5.6071381569,
4L23,PM48_41,mode_01,success,0.4693492651,7.1459746361,
4L23,PM48_40,mode_01,success,0.1873476505,6.29926157,
4L23,PM48_42,mode_01,success,0.2425189018,6.6813464165,
4L23,PM48_44,mode_01,success,0.2376830876,6.5059027672,
4L23,PM48_43,mode_01,success,0.327662766,6.9382591248,
4L23,PM48_45,mode_01,success,0.6303679943,6.2545790672,
4L23,PM48_47,mode_01,success,0.5195754766,6.4525542259,
4L23,PM48_46,mode_01,success,0.20024845,6.4888510704,
4L23,PM48_48,mode_01,success,0.3816023469,6.5759329796,
4JT6,PM110_049,mode_01,success,0.9738776684,7.8044610023,
4JT6,PM110_050,mode_01,success,0.8779221177,8.5549764633,
4JT6,PM110_051,mode_01,success,0.8510910869,8.2946081161,
4JT6,PM110_052,mode_01,success,0.2400220931,8.0894098282,
4JT6,PM110_053,mode_01,success,0.6884576082,7.8273863792,
4JT6,PM110_054,mode_01,success,0.9031896591,8.62728405,
4JT6,PM110_055,mode_01,success,0.4456345737,7.9143052101,
4JT6,PM110_056,mode_01,success,0.5555347204,7.816798687,
4JT6,PM110_057,mode_01,success,0.1426136941,6.4698181152,
4JT6,PM110_058,mode_01,success,0.1646261811,5.8385004997,
4JT6,PM110_059,mode_01,success,0.033712633,5.2418613434,
4JT6,PM110_060,mode_01,success,0.2631300986,7.5254702568,
4JT6,PM110_061,mode_01,success,0.3777711093,7.4494972229,
4JT6,PM110_062,mode_01,success,0.2403606921,6.0863461494,
4JT6,PM110_064,mode_01,success,0.8461116552,8.0068101883,
4JT6,PM110_063,mode_01,success,0.7480165958,7.1478028297,
4JT6,PM110_065,mode_01,success,0.940969944,8.1798286438,
4JT6,PM110_066,mode_01,success,0.6143850684,7.4063382149,
4JT6,PM110_067,mode_01,success,0.9460393786,8.0709896088,
4JT6,PM110_069,mode_01,success,0.1151624545,6.2358832359,
4JT6,PM110_068,mode_01,success,0.8460948467,8.0378112793,
4JT6,PM110_070,mode_01,success,0.3041090071,5.9605731964,
4JT6,PM110_072,mode_01,success,0.9609023333,8.1178598404,
4JT6,PM110_071,mode_01,success,0.8386861682,8.1504487991,
4JT6,PM110_073,mode_01,success,0.8503932953,8.0525941849,
4JT6,PM110_074,mode_01,success,0.5310395956,5.5046081543,
4JT6,PM110_076,mode_01,success,0.088211298,5.6303229332,
4JT6,PM110_075,mode_01,success,0.9105556011,7.7213139534,
4JT6,PM110_077,mode_01,success,0.2721593082,6.3099665642,
4JT6,PM110_078,mode_01,success,0.1836699396,5.4999980927,
4JT6,PM110_079,mode_01,success,0.8184605241,8.4148483276,
4JT6,PM110_081,mode_01,success,0.8099333644,7.4919848442,
4JT6,PM110_080,mode_01,success,0.710172832,8.2755975723,
4JT6,PM110_082,mode_01,success,0.4061269164,6.6897964478,
4JT6,PM110_083,mode_01,success,0.0544789881,7.2234349251,
4JT6,PM110_084,mode_01,success,0.0411129519,5.2278900146,
4JT6,PM110_085,mode_01,success,0.0863198116,5.3885550499,
4JT6,PM110_086,mode_01,success,0.9688848853,7.7134189606,
4JT6,PM110_088,mode_01,success,0.71887815,6.7579727173,
4JT6,PM110_087,mode_01,success,0.0383520797,5.1337485313,
4JT6,PM110_089,mode_01,success,0.3734307289,6.6767272949,
4JT6,PM110_090,mode_01,success,0.2368441522,7.0076117516,
4JT6,PM110_092,mode_01,success,0.933095336,8.5026922226,
4JT6,PM110_091,mode_01,success,0.3314456046,6.3193817139,
4JT6,PM110_093,mode_01,success,0.4239311814,6.7201590538,
4JT6,PM110_094,mode_01,success,0.0747828335,7.0117950439,
4JT6,PM110_096,mode_01,success,0.8447391391,6.892015934,
4JT6,PM110_095,mode_01,success,0.1903802007,6.5660457611,
4JT6,PM110_097,mode_01,success,0.4220660329,6.8464374542,
4JT6,PM110_098,mode_01,success,0.2653967738,6.6915326118,
4JT6,PM110_100,mode_01,success,0.7911580205,6.0597171783,
4JT6,PM110_099,mode_01,success,0.0251217354,5.267054081,
4JT6,PM110_101,mode_01,success,0.2335085124,5.3171648979,
4JT6,PM110_102,mode_01,success,0.7796592712,6.5637588501,
4JT6,PM110_103,mode_01,success,0.3903231621,6.2906632423,
4JT6,PM110_104,mode_01,success,0.3377864361,6.2756438255,
4JT6,PM110_105,mode_01,success,0.2673814297,6.9147715569,
4JT6,PM110_106,mode_01,success,0.4571524262,7.3609051704,
4JT6,PM110_107,mode_01,success,0.3557506204,6.6686005592,
4JT6,PM110_108,mode_01,success,0.5090615749,6.4349212646,
4JT6,PM110_109,mode_01,success,0.0349977687,6.643196106,
4JT6,PM110_110,mode_01,success,0.0278409719,5.2350478172,
4JT6,PM110_112,mode_01,success,0.4268718362,7.0011315346,
4JT6,PM110_111,mode_01,success,0.8577542305,7.8523039818,
4JT6,PM110_113,mode_01,success,0.8735507131,7.2324690819,
4JT6,PM110_114,mode_01,success,0.2905645072,7.1945757866,
4JT6,PM110_115,mode_01,success,0.7845115662,7.203119278,
4JT6,PM48_02,mode_01,success,0.8171606064,8.3263120651,
4JT6,PM48_01,mode_01,success,0.7828663588,7.0681838989,
4JT6,PM48_03,mode_01,success,0.0465923846,5.5344939232,
4JT6,PM48_05,mode_01,success,0.8822048306,8.0569429398,
4JT6,PM48_04,mode_01,success,0.8518939614,8.8622379303,
4JT6,PM48_06,mode_01,success,0.9887710214,8.7344961166,
4JT6,PM48_07,mode_01,success,0.8565619588,8.30727005,
4JT6,PM48_08,mode_01,success,0.9567308426,8.0727472305,
4JT6,PM48_09,mode_01,success,0.4076764286,6.7264862061,
4JT6,PM48_10,mode_01,success,0.1856712997,7.0789895058,
4JT6,PM48_11,mode_01,success,0.9346112013,7.1629519463,
4JT6,PM48_12,mode_01,success,0.9377791286,7.5501227379,
4JT6,PM48_13,mode_01,success,0.0967014134,5.2193665504,
4JT6,PM48_14,mode_01,success,0.9970422983,8.1075429916,
4JT6,PM48_15,mode_01,success,0.9181731939,6.9888625145,
4JT6,PM48_16,mode_01,success,0.9448019266,7.1407065392,
4JT6,PM48_17,mode_01,success,0.4569647312,7.061044693,
4JT6,PM48_18,mode_01,success,0.7447947264,7.161895752,
4JT6,PM48_19,mode_01,success,0.1184698194,6.8215165138,
4JT6,PM48_20,mode_01,success,0.9086145759,8.2711791992,
4JT6,PM48_22,mode_01,success,0.1359469295,6.1703910828,
4JT6,PM48_21,mode_01,success,0.9960688353,8.2590150833,
4JT6,PM48_23,mode_01,success,0.9809367061,7.8994460106,
4JT6,PM48_24,mode_01,success,0.8934267163,7.643676281,
4JT6,PM48_25,mode_01,success,0.1744297743,5.1834845543,
4JT6,PM48_26,mode_01,success,0.9366942048,8.5136327744,
4JT6,PM48_27,mode_01,success,0.0272359475,4.5360617638,
4JT6,PM48_28,mode_01,success,0.9748387933,8.2458677292,
4JT6,PM48_29,mode_01,success,0.3635857105,6.3814501762,
4JT6,PM48_30,mode_01,success,0.7436326146,6.9294471741,
4JT6,PM48_31,mode_01,success,0.2104608119,7.1603140831,
4JT6,PM48_32,mode_01,success,0.5368577838,7.171151638,
4JT6,PM48_33,mode_01,success,0.8598116636,8.178604126,
4JT6,PM48_34,mode_01,success,0.4818203747,7.4895186424,
4JT6,PM48_35,mode_01,success,0.9110450745,7.7485585213,
4JT6,PM48_36,mode_01,success,0.679153204,7.7931113243,
4JT6,PM48_37,mode_01,success,0.0189900622,4.7600932121,
4JT6,PM48_38,mode_01,success,0.9514246583,8.2744932175,
4JT6,PM48_39,mode_01,success,0.1352520287,5.9413261414,
4JT6,PM48_40,mode_01,success,0.6878516674,7.1163787842,
4JT6,PM48_41,mode_01,success,0.1057445481,5.6764378548,
4JT6,PM48_42,mode_01,success,0.3073055446,6.2939891815,
4JT6,PM48_43,mode_01,success,0.9517967105,8.3572912216,
4JT6,PM48_44,mode_01,success,0.5296139717,7.1718425751,
4JT6,PM48_45,mode_01,success,0.680452466,6.4763755798,
4JT6,PM48_46,mode_01,success,0.2308239043,6.4582080841,
4JT6,PM48_47,mode_01,success,0.862677753,7.0175070763,
4JT6,PM48_48,mode_01,success,0.450930655,6.6423678398,
