ligand,target,vina_mode,rtmscore
PM48_26,4L23,3,92.972944499855
PM48_20,4L23,1,88.23594908440661
PM110_067,4L23,1,88.13077818747864
PM110_064,4L23,1,87.81621810390004
PM110_064,4L23,2,86.97211624297995
PM48_26,4L23,1,86.7455814970024
PM110_065,4L23,2,85.82980461757215
PM110_065,4L23,1,85.0829550997304
PM110_065,4L23,3,83.99420643770283
PM48_29,4L23,2,83.94493205643363
PM48_26,4L23,2,83.6961540105812
PM110_072,4L23,1,83.59519356668405
PM110_064,4L23,3,83.46016062642505
PM110_067,4L23,3,83.22272946130545
PM48_20,4L23,2,82.83214548625158
PM110_067,4L23,2,80.31049553995132
PM110_065,4L23,7,79.8883330599052
PM48_45,4L23,2,78.90981712029368
PM110_064,4L23,5,78.86563716110703
PM110_065,4L23,5,78.7492994181353
PM48_21,4L23,1,78.3738400854604
PM48_26,4L23,6,78.32981098235219
PM110_058,4L23,1,77.84435920169807
PM110_049,4L23,6,77.76602120404294
PM48_15,4L23,1,77.22173832855667
PM110_054,4L23,1,76.37657210913858
PM48_01,4L23,2,75.87898599726819
PM48_28,4L23,1,75.72995349518713
PM48_28,4L23,2,75.69781430835901
PM48_05,4L23,2,75.58751607240039
PM110_061,4L23,1,75.55372852298237
PM48_11,4L23,8,74.72425984053592
PM48_23,4L23,2,74.18261103252664
PM48_05,4L23,8,74.08120167828415
PM110_054,4L23,4,73.99721401155966
PM110_054,4L23,2,72.92824667766304
PM110_108,4L23,3,72.92337095597945
PM110_050,4L23,2,72.90884457400406
PM48_28,4L23,3,72.78608220101283
PM48_05,4L23,9,72.51307407557405
PM48_09,4L23,2,72.38871061773801
PM110_053,4L23,3,72.24726668309492
PM48_23,4L23,1,71.77007613033443
PM48_18,4L23,1,71.45501370085354
PM48_23,4L23,3,71.30609742698518
PM110_053,4L23,2,70.81711691894385
PM110_053,4L23,1,70.76148512235645
PM48_48,4L23,4,70.75813468676164
PM48_09,4L23,1,70.2570364180781
PM48_18,4L23,2,69.98360616874632
PM110_080,4L23,1,69.94666062700112
PM110_068,4L23,1,69.38111402333796
PM110_050,4L23,5,69.20958342850403
PM48_19,4L23,6,69.2081446482666
PM110_080,4L23,2,69.18216608875933
PM110_068,4L23,2,69.05882314257006
PM110_060,4L23,1,68.69014328278115
PM48_06,4L23,2,67.92274024961732
PM48_35,4L23,1,67.72220573502216
PM110_086,4L23,4,67.3878551550921
PM110_065,4L23,4,67.01432684263447
PM48_06,4L23,5,66.9968868774054
PM48_16,4L23,1,66.77915339735104
PM110_050,4L23,1,66.29553853119745
PM48_28,4L23,7,66.23582518338857
PM110_092,4L23,2,65.99541547919534
PM48_12,4L23,2,65.48971873640382
PM110_096,4L23,5,65.14825407225466
PM110_073,4L23,1,64.23070235241605
PM110_088,4L23,6,64.10190443591237
PM110_060,4L23,3,64.09646062467311
PM110_067,4L23,5,64.08942223164159
PM110_075,4L23,4,63.81872795576941
PM48_48,4L23,3,63.12186776925275
PM110_104,4L23,1,63.00496708844784
PM48_12,4L23,1,62.10248796990516
PM48_14,4L23,1,61.951444875999606
PM110_092,4L23,1,61.76991650528503
PM110_072,4L23,3,61.20877696593118
PM110_052,4L23,1,60.02672406792799
PM110_073,4L23,2,59.773844924936114
PM110_072,4L23,2,59.16004067647475
PM48_46,4L23,5,58.86611808760732
PM110_052,4L23,2,58.77197352841261
PM110_072,4L23,7,58.663750483001465
PM48_40,4L23,5,58.635993262206
PM110_062,4L23,1,58.53733470667004
PM48_23,4L23,4,57.11405369222132
PM48_29,4L23,6,57.05802943892243
PM110_081,4L23,3,56.83672212167512
