ligand,class,pref_name,molecule_chembl_id,4JT6_affinity,4L23_affinity,rtm_4L23,rtm_4JT6,vina_4L23_hb,vina_4JT6_hb,vina_mean,vina_min,rtm_mean,rtm_min,rtm_4L23_z,rtm_4JT6_z,rtm_min_z,prep,vina_mean_ligprep,rtm_min_z_ligprep,rtm_mean_ligprep,delta_vina_mean,delta_rtm_min_z
PM48_01,dual,PI-103,CHEMBL573339,-9.512,-9.241,75.87898599726819,50.348824554824034,9.241,9.512,9.3765,9.241,63.11390527604611,50.348824554824034,1.1489386025102004,0.3933911226749668,0.3933911226749668,rdkit_meeko,9.345,1.0153448606114035,69.43885229783642,0.03149999999999942,-0.6219537379364367
PM48_02,dual,OMIPALISIB,CHEMBL1236962,-10.949,-9.282,41.05998691581417,66.16648645837738,9.282,10.949,10.1155,9.282,53.61323668709578,41.05998691581417,-0.9718274474126566,1.7019259034447434,-0.9718274474126566,rdkit_meeko,10.0745,-0.676650154011836,56.82104616621983,0.04100000000000037,-0.29517729340082055
PM48_03,dual,GEDATOLISIB,CHEMBL592445,-8.53,-7.553,36.84173499520144,28.668200207364464,7.553,8.53,8.0415,7.553,32.75496760128296,28.668200207364464,-1.2287540018586838,-1.4001641575198749,-1.4001641575198749,rdkit_meeko,7.1085,-1.200561138002088,41.019096243868745,0.9329999999999989,-0.19960301951778692
PM48_04,dual,DACTOLISIB,CHEMBL1879463,-10.505,-9.758,43.28573537063512,52.254341012261904,9.758,10.505,10.131499999999999,9.758,47.77003819144851,43.28573537063512,-0.8362608922796358,0.5510272243371555,-0.8362608922796358,rdkit_meeko,10.13,0.0592022889152947,54.0119907034938,0.0014999999999982805,-0.8954631811949305
PM48_05,dual,PICTILISIB,CHEMBL521851,-9.239,-9.634,75.58751607240039,54.49524227171411,9.634,9.239,9.4365,9.239,65.04137917205725,54.49524227171411,1.1311856648169847,0.7364084302412524,0.7364084302412524,rdkit_meeko,9.118,0.5911156367081991,67.49551010171906,0.3185000000000002,0.14529279353305324
PM48_06,dual,APITOLISIB,CHEMBL1922094,-9.247,-8.186,67.92274024961732,51.43523602187287,8.186,9.247,8.7165,8.186,59.678988135745094,51.43523602187287,0.6643371977717032,0.48326579565309896,0.48326579565309896,rdkit_meeko,8.548,0.7374456176913409,66.26803532626994,0.16849999999999987,-0.2541798220382419
PM48_07,dual,TORIN2,CHEMBL1765602,-10.489,-9.278,44.29881499884208,50.60526429803377,9.278,10.489,9.883500000000002,9.278,47.452039648437925,44.29881499884208,-0.7745559341232089,0.4146054035976247,-0.7745559341232089,rdkit_meeko,9.725,-0.0805084851762627,53.82148590923592,0.15850000000000186,-0.6940474489469461
PM48_08,dual,PF-04691502,CHEMBL1234354,-9.085,-7.691,51.02573498284316,61.92040404377861,7.691,9.085,8.388,7.691,56.47306951331089,51.02573498284316,-0.36483067208327125,1.3506637159359025,-0.36483067208327125,rdkit_meeko,8.7325,1.0435357790425146,77.89451527537366,-0.34450000000000003,-1.4083664511257858
PM48_09,dual,BIMIRALISIB,CHEMBL4084907,-8.294,-8.379,72.38871061773801,63.04510291655762,8.379,8.294,8.336500000000001,8.294,67.71690676714782,63.04510291655762,0.9363518617922043,1.443705759816818,0.9363518617922043,rdkit_meeko,7.685,0.2617447612315424,57.11694203743228,0.6515000000000013,0.674607100560662
PM48_10,dual,TORIN1,CHEMBL1256459,-10.095,-9.091,43.78960017662487,37.20279613544962,9.091,10.095,9.593,9.091,40.496198156037245,37.20279613544962,-0.8055713433987436,-0.694129619684245,-0.8055713433987436,rdkit_meeko,10.4905,-0.7564889757168544,48.213229431225685,-0.8975000000000009,-0.04908236768188923
PM48_11,dual,SAPANISERTIB,CHEMBL3545097,-9.161,-8.005,74.72425984053592,48.94021028187878,8.005,9.161,8.583,8.005,61.83223506120735,48.94021028187878,1.0786061950671595,0.2768618416676687,0.2768618416676687,rdkit_meeko,9.178,0.3104972691306837,66.27714154391197,-0.5950000000000006,-0.03363542746301501
PM48_12,dual,BUPARLISIB,CHEMBL2017974,-7.663,-8.859,65.48971873640382,60.48685882445233,8.859,7.663,8.261,7.663,62.98828878042807,60.48685882445233,0.5161459929675569,1.2320719929156196,0.5161459929675569,rdkit_meeko,7.816000000000001,0.4303590816080374,64.39484730858196,0.4449999999999985,0.08578691135951955
PM48_13,dual,VISTUSERTIB,CHEMBL2336325,-8.524,-8.319,37.012120221043176,28.7034997131538,8.319,8.524,8.4215,8.319,32.85780996709849,28.7034997131538,-1.2183761273675684,-1.3972439641720227,-1.3972439641720227,rdkit_meeko,8.642,-1.7430315915990209,33.81491808775638,-0.22049999999999947,0.3457876274269982
PM48_14,dual,VS-5584,CHEMBL3393066,-8.642,-7.786,61.951444875999606,53.65169893895202,7.786,8.642,8.213999999999999,7.786,57.80157190747582,53.65169893895202,0.3006357463656784,0.6666253107931319,0.3006357463656784,rdkit_meeko,8.479,0.3905875558436098,59.7587994548834,-0.26500000000000057,-0.08995180947793141
PM48_15,dual,PAXALISIB,CHEMBL3813842,-8.228,-7.938,77.22173832855667,46.447040311466495,7.938,8.228,8.083,7.938,61.83438932001158,46.447040311466495,1.230723364645082,0.07061140841480297,0.07061140841480297,rdkit_meeko,8.6325,0.8117634863578949,65.20373458244478,-0.5495000000000001,-0.7411520779430919
PM48_16,dual,VOXTALISIB,CHEMBL3545366,-7.765,-8.751,66.77915339735104,33.05642167033213,8.751,7.765,8.258,7.765,49.91778753384158,33.05642167033213,0.5946832664294815,-1.0371433491965105,-1.0371433491965105,rdkit_meeko,8.252,-0.6204331445719949,52.51132220332136,0.005999999999998451,-0.4167102046245156
PM48_17,dual,SAMOTOLISIB,CHEMBL4297181,-8.497,-7.995,50.85243821436946,31.62770790865547,7.995,8.497,8.246,7.995,41.24007306151246,31.62770790865547,-0.3753858836871605,-1.1553353841709306,-1.1553353841709306,rdkit_meeko,8.202,-1.171499972323129,37.39490732266172,0.04400000000000048,0.016164588152198345
PM48_18,dual,ZSTK-474,CHEMBL586702,-8.567,-8.948,71.45501370085354,67.46791888228947,8.948,8.567,8.7575,8.567,69.4614662915715,67.46791888228947,0.8794819696504471,1.8095884392793171,0.8794819696504471,rdkit_meeko,8.9145,0.6943689848724006,63.78651227716199,-0.15700000000000003,0.1851129847780465
PM48_19,A_only,TASELISIB,CHEMBL2387080,-6.452,-6.238,69.2081446482666,41.94485304576479,6.238,6.452,6.345000000000001,6.238,55.57649884701569,41.94485304576479,0.7426289948075603,-0.3018373556712485,-0.3018373556712485,rdkit_meeko,6.6265,-1.7414909471758382,36.027799368190514,-0.2814999999999994,1.4396535915045896
PM48_20,A_only,,CHEMBL3646632,-8.865,-8.805,88.23594908440661,59.63399117037639,8.805,8.865,8.835,8.805,73.9349701273915,59.63399117037639,1.901580220209992,1.1615175079635052,1.1615175079635052,rdkit_meeko,9.079,1.1274312737106618,75.44776334423388,-0.24399999999999977,0.034086234252843406
PM48_21,A_only,,CHEMBL3814414,-9.303,-8.288,78.3738400854604,64.98179526046937,8.288,9.303,8.7955,8.288,71.67781767296489,64.98179526046937,1.3008959243554308,1.6039209235440037,1.3008959243554308,rdkit_meeko,8.8225,0.9468267991477258,69.92163624504354,-0.026999999999999247,0.35406912520770495
PM48_22,A_only,ALPELISIB,CHEMBL2396661,-7.951,-7.429,35.548215079548015,27.587111589208725,7.429,7.951,7.6899999999999995,7.429,31.56766333437837,27.587111589208725,-1.3075401012407888,-1.4895984915306006,-1.4895984915306006,rdkit_meeko,7.8055,-1.7590032086804737,28.04431439666796,-0.11550000000000082,0.269404717149873
PM48_23,A_only,,CHEMBL2058166,-7.804,-7.713,74.18261103252664,60.12911809060135,7.713,7.804,7.7585,7.713,67.15586456156399,60.12911809060135,1.045615286847195,1.2024774677831191,1.045615286847195,rdkit_meeko,8.044,0.6800061950040207,63.70741164725892,-0.28550000000000075,0.36560909184317436
PM48_24,A_only,,CHEMBL2017653,-6.8,-7.537,47.58550425347273,29.602535330312023,7.537,6.8,7.1685,6.8,38.59401979189238,29.602535330312023,-0.5743692782242003,-1.3228701798936977,-1.3228701798936977,rdkit_meeko,7.4975,-1.527818334546391,37.88104346989152,-0.32899999999999974,0.20494815465269323
PM48_25,A_only,SONOLISIB,CHEMBL411907,-6.736,-6.082,27.88579059251632,22.502339409707936,6.082,6.736,6.409,6.082,25.19406500111213,22.502339409707936,-1.774245352422173,-1.910242281348401,-1.910242281348401,rdkit_meeko,6.6885,-2.180541862790717,24.323497372381237,-0.2795000000000005,0.2702995814423159
PM48_26,A_only,,CHEMBL3646543,-8.879,-9.116,92.972944499855,61.51082425730527,9.116,8.879,8.997499999999999,8.879,77.24188437858014,61.51082425730527,2.1901025591842362,1.31678074389057,1.31678074389057,rdkit_meeko,8.7515,1.529565428026503,79.10036829332526,0.24599999999999866,-0.21278468413593288
PM48_27,A_only,,CHEMBL3646517,-8.08,-8.501,40.29827130659338,29.84404089123609,8.501,8.08,8.2905,8.08,35.071156098914734,29.84404089123609,-1.0182222504324885,-1.3028913468559613,-1.3028913468559613,rdkit_meeko,7.9575,-1.4101999850917686,35.11691388238024,0.3330000000000002,0.10730863823580727
PM48_28,A_only,,CHEMBL2087493,-9.343,-8.226,75.72995349518713,55.40057041323644,8.226,9.343,8.784500000000001,8.226,65.56526195421179,55.40057041323644,1.1398612861287278,0.811302771036683,0.811302771036683,rdkit_meeko,9.0935,0.4735813936012326,64.75142583118028,-0.3089999999999993,0.33772137743545044
PM48_29,A_only,,CHEMBL3357868,-7.718,-8.311,83.94493205643363,36.81528110261909,8.311,7.718,8.0145,7.718,60.380106579526355,36.81528110261909,1.6402216667582608,-0.7261872588993035,-0.7261872588993035,rdkit_meeko,7.951,-1.109705968239237,59.18636500974573,0.06350000000000033,0.3835187093399335
PM48_30,A_only,AZD-6482,CHEMBL2165191,-8.12,-7.6,44.58545863155498,40.411083822596495,7.6,8.12,7.859999999999999,7.6,42.49827122707573,40.411083822596495,-0.7570969576815839,-0.42872022789518277,-0.7570969576815839,rdkit_meeko,8.364,-0.5701164854575544,44.06275334838237,-0.5040000000000013,-0.18698047222402947
PM48_31,A_only,,CHEMBL1086377,-10.737,-9.315,40.048533349334456,43.33445639992733,9.315,10.737,10.026,9.315,41.69149487463089,40.048533349334456,-1.0334333649132006,-0.18688077539514886,-1.0334333649132006,rdkit_meeko,9.378,-0.4443133657137451,49.58252181295144,0.6479999999999997,-0.5891199991994556
PM48_32,A_only,,CHEMBL4072637,-8.194,-7.58,31.914076964434614,37.83156262523855,7.58,8.194,7.8870000000000005,7.58,34.87281979483658,31.914076964434614,-1.5288892766502646,-0.6421141684824141,-1.5288892766502646,rdkit_meeko,7.907500000000001,-1.0634980073414195,38.78143447661549,-0.020500000000000185,-0.4653912693088451
PM48_33,B_only,,CHEMBL600447,-9.271,-7.841,40.66807638948436,50.17399626393247,7.841,9.271,8.556000000000001,7.841,45.42103632670842,40.66807638948436,-0.9956980514154684,0.37892824562720584,-0.9956980514154684,rdkit_meeko,8.529,-0.4916114276844923,49.104762771272526,0.027000000000001023,-0.5040866237309761
PM48_34,B_only,WYE-132,CHEMBL601661,-9.074,-8.363,44.94966091309182,35.27849204568749,8.363,9.074,8.718499999999999,8.363,40.11407647938965,35.27849204568749,-0.7349140157715972,-0.8533199504413848,-0.8533199504413848,rdkit_meeko,9.231,-1.3806386223635108,41.0478923811849,-0.5125000000000011,0.527318671922126
PM48_35,B_only,OSI-027,CHEMBL3120215,-8.775,-8.295,67.72220573502216,52.24927427679133,8.295,8.775,8.535,8.295,59.98574000590675,52.24927427679133,0.6521229813493332,0.550608072655407,0.550608072655407,rdkit_meeko,9.6735,0.1801774951508991,65.6127650853864,-1.1385000000000005,0.3704305775045079
PM48_36,B_only,,CHEMBL594793,-9.298,-8.316,44.38820835975695,36.91159899438664,8.316,9.298,8.807,8.316,40.64990367707179,36.91159899438664,-0.7691111364576225,-0.7182192474348568,-0.7691111364576225,rdkit_meeko,8.9725,-1.1587291706582286,37.70042266470206,-0.16549999999999976,0.38961803420060603
PM48_37,B_only,,CHEMBL573202,-7.888,-7.835,44.52509519925906,41.6136801308318,7.835,7.888,7.8614999999999995,7.835,43.06938766504543,41.6136801308318,-0.7607735917390569,-0.3292340265750166,-0.7607735917390569,rdkit_meeko,7.9675,-1.3222639504771103,32.664593620113614,-0.10600000000000076,0.5614903587380534
PM48_38,B_only,,CHEMBL590104,-9.412,-8.752,50.51484821015234,59.59976969064372,8.752,9.412,9.082,8.752,55.057308950398024,50.51484821015234,-0.39594791702023024,1.1586864955956437,-0.39594791702023024,rdkit_meeko,8.7745,-0.2454043572042823,55.25064419354385,0.307500000000001,-0.15054355981594794
PM48_39,B_only,,CHEMBL1945953,-8.309,-8.129,44.56325994506477,46.77469350202508,8.129,8.309,8.219,8.129,45.66897672354493,44.56325994506477,-0.7584490419431441,0.09771690595864549,-0.7584490419431441,rdkit_meeko,8.125499999999999,-1.1121760784011494,42.33836786779962,0.09350000000000058,0.3537270364580053
PM48_40,B_only,,CHEMBL4279703,-8.02,-7.547,58.635993262206,31.21320751188885,7.547,8.02,7.7835,7.547,44.92460038704743,31.21320751188885,0.09869722405931566,-1.1896254195199698,-1.1896254195199698,rdkit_meeko,7.413,-0.7688275322411793,43.38475750370342,0.37049999999999983,-0.42079788727879053
PM48_41,B_only,,CHEMBL2418349,-6.877,-8.435,47.35491388393493,27.335740893158032,8.435,6.877,7.656000000000001,6.877,37.34532738854648,27.335740893158032,-0.5884141456832253,-1.5103934295343486,-1.5103934295343486,rdkit_meeko,8.63,-0.5662049428216601,56.91733808912214,-0.9740000000000002,-0.9441884867126885
PM48_42,B_only,AZD-8055,CHEMBL1801204,-8.239,-7.898,52.356886119107976,27.65295750918178,7.898,8.239,8.0685,7.898,40.00492181414488,27.65295750918178,-0.28375251901797166,-1.4841513099571235,-1.4841513099571235,rdkit_meeko,7.6865,-1.672457343269973,41.51464066959392,0.38200000000000056,0.18830603331284945
PM48_43,B_only,,CHEMBL575539,-9.834,-7.995,48.82294808344475,50.22959771246123,7.995,9.834,8.9145,7.995,49.52627289795299,48.82294808344475,-0.4989986779047615,0.3835279411893364,-0.4989986779047615,rdkit_meeko,9.467,-0.4074660579991099,50.30041377214021,-0.5525000000000002,-0.09153261990565159
PM48_44,B_only,Ku-0063794,CHEMBL1078983,-8.35,-8.013,43.277656657159504,46.6818607376615,8.013,8.35,8.1815,8.013,44.9797586974105,43.277656657159504,-0.8367529529855185,0.09003720577884468,-0.8367529529855185,rdkit_meeko,8.091000000000001,-1.6963686890522685,35.05375276008799,0.09049999999999869,0.8596157360667499
PM48_45,neither,,CHEMBL1234815,-9.339,-9.596,78.90981480007521,47.95191031650485,9.596,9.339,9.467500000000001,9.339,63.43086255829003,47.95191031650485,1.3335412331913652,0.19510355865399315,0.19510355865399315,rdkit_meeko,9.427,0.2661336822474117,63.95221368430263,0.040500000000001535,-0.07103012359341854
PM48_46,neither,,CHEMBL1241482,-9.174,-8.583,58.86611977551196,48.65564151022044,8.583,9.174,8.878499999999999,8.583,53.7608806428662,48.65564151022044,0.11271383882370604,0.25332055361218087,0.11271383882370604,rdkit_meeko,8.940000000000001,-0.5237744897864766,48.534657650853546,-0.06150000000000233,0.6364883286101826
PM48_47,neither,,CHEMBL1241485,-8.408,-7.99,52.35387230379831,43.95615255879388,7.99,8.408,8.199,7.99,48.1550124312961,43.95615255879388,-0.2839360853857044,-0.13545022567748796,-0.2839360853857044,rdkit_meeko,8.501999999999999,-0.3520678430635315,60.557424416590834,-0.30299999999999905,0.06813175767782709
PM48_48,neither,,CHEMBL1241858,-8.14,-8.535,70.75812956324583,44.15586748616737,8.535,8.14,8.3375,8.14,57.4569985247066,44.15586748616737,0.8370359413682785,-0.118928572205529,-0.118928572205529,rdkit_meeko,8.247499999999999,-0.3297963458411816,56.35273738235942,0.09000000000000163,0.21086777363565262
