ligand,gnina_cnn_4L23,gnina_aff_4L23,gnina_cnn_4JT6,gnina_aff_4JT6
PM48_01,0.4609872997,6.3656144142,0.7828663588,7.0681838989
PM48_02,0.7216556072,7.8208642006,0.8171606064,8.3263120651
PM48_03,0.2204590887,6.77435112,0.0465923846,5.5344939232
PM48_04,0.1106758788,7.0624022484,0.8518939614,8.8622379303
PM48_05,0.8846612573,7.7500610352,0.8822048306,8.0569429398
PM48_06,0.4377960861,7.0325465202,0.9887710214,8.7344961166
PM48_07,0.6419526339,7.4842209816,0.8565619588,8.30727005
PM48_08,0.8688684702,7.763812542,0.9567308426,8.0727472305
PM48_09,0.9790191054,7.6694831848,0.4076764286,6.7264862061
PM48_10,0.2280624211,7.440267086,0.1856712997,7.0789895058
PM48_11,0.8197205067,7.0151124001,0.9346112013,7.1629519463
PM48_12,0.9883172512,7.8721966743,0.9377791286,7.5501227379
PM48_13,0.090602912,5.7182412148,0.0967014134,5.2193665504
PM48_14,0.9685269594,7.4935231209,0.9970422983,8.1075429916
PM48_15,0.9825943708,7.6773262024,0.9181731939,6.9888625145
PM48_16,0.9920781255,7.3439517021,0.9448019266,7.1407065392
PM48_17,0.225269869,6.1642889977,0.4569647312,7.061044693
PM48_18,0.9715912938,7.5576815605,0.7447947264,7.161895752
PM48_19,0.0590108633,4.8836288452,0.1184698194,6.8215165138
PM48_20,0.9325557947,8.2198581696,0.9086145759,8.2711791992
PM48_21,0.9910200834,7.8793921471,0.9960688353,8.2590150833
PM48_22,0.1167478785,5.881799221,0.1359469295,6.1703910828
PM48_23,0.9830052257,7.6403422356,0.9809367061,7.8994460106
PM48_24,0.9787858129,8.0174512863,0.8934267163,7.643676281
PM48_25,0.0555923693,4.3335208893,0.1744297743,5.1834845543
PM48_26,0.9764952064,8.7154035568,0.9366942048,8.5136327744
PM48_27,0.2722751498,6.4795365334,0.0272359475,4.5360617638
PM48_28,0.9669576287,8.1935415268,0.9748387933,8.2458677292
PM48_29,0.6518616676,6.8357586861,0.3635857105,6.3814501762
PM48_30,0.0308605433,3.8118641376,0.7436326146,6.9294471741
PM48_31,0.0902190357,6.9930214882,0.2104608119,7.1603140831
PM48_32,0.1391774863,5.9022965431,0.5368577838,7.171151638
PM48_33,0.5052720904,7.1920528412,0.8598116636,8.178604126
PM48_34,0.8435883522,8.1891679764,0.4818203747,7.4895186424
PM48_35,0.799452126,7.5549283028,0.9110450745,7.7485585213
PM48_36,0.4781777263,7.1981506348,0.679153204,7.7931113243
PM48_37,0.0397394076,5.1161646843,0.0189900622,4.7600932121
PM48_38,0.914253056,7.9524617195,0.9514246583,8.2744932175
PM48_39,0.1137549803,5.6071381569,0.1352520287,5.9413261414
PM48_40,0.1873476505,6.29926157,0.6878516674,7.1163787842
PM48_41,0.4693492651,7.1459746361,0.1057445481,5.6764378548
PM48_42,0.2425189018,6.6813464165,0.3073055446,6.2939891815
PM48_43,0.327662766,6.9382591248,0.9517967105,8.3572912216
PM48_44,0.2376830876,6.5059027672,0.5296139717,7.1718425751
PM48_45,0.6303679943,6.2545790672,0.680452466,6.4763755798
PM48_46,0.20024845,6.4888510704,0.2308239043,6.4582080841
PM48_47,0.5195754766,6.4525542259,0.862677753,7.0175070763
PM48_48,0.3816023469,6.5759329796,0.450930655,6.6423678398
