ligand,class,pref_name,vina_mean,rtm_min_z,rtm_shortfall,consensus_rank_mean,consensus_and_top25
PM48_01,dual,PI-103,9,4,2,1,1
PM48_02,dual,OMIPALISIB,3,30,40,19,30
PM48_03,dual,GEDATOLISIB,46,38,38,43,38
PM48_04,dual,DACTOLISIB,2,18,14,3,18
PM48_05,dual,PICTILISIB,12,10,11,5,2
PM48_06,dual,APITOLISIB,25,7,8,16,8
PM48_07,dual,TORIN2,4,19,18,8,19
PM48_08,dual,PF-04691502,21,3,9,10,5
PM48_09,dual,BIMIRALISIB,43,16,12,32,16
PM48_10,dual,TORIN1,1,31,33,16,31
PM48_11,dual,SAPANISERTIB,11,14,17,12,14
PM48_12,dual,BUPARLISIB,40,12,15,29,12
PM48_13,dual,VISTUSERTIB,22,46,43,34,46
PM48_14,dual,VS-5584,28,13,10,21,13
PM48_15,dual,PAXALISIB,23,6,4,14,7
PM48_16,dual,VOXTALISIB,30,29,29,32,29
PM48_17,dual,SAMOTOLISIB,32,37,31,36,37
PM48_18,dual,ZSTK-474,17,8,6,12,9
PM48_19,A_only,TASELISIB,48,45,48,47,45
PM48_20,A_only,,14,2,3,2,4
PM48_21,A_only,,18,5,5,8,6
PM48_22,A_only,ALPELISIB,41,47,39,46,47
PM48_23,A_only,,35,9,7,23,10
PM48_24,A_only,,44,42,41,45,42
PM48_25,A_only,SONOLISIB,47,48,47,48,48
PM48_26,A_only,,20,1,1,4,3
PM48_27,A_only,,37,41,35,41,41
PM48_28,A_only,,13,11,13,10,11
PM48_29,A_only,,38,34,45,37,34
PM48_30,A_only,AZD-6482,29,28,20,31,28
PM48_31,A_only,,8,24,22,16,24
PM48_32,A_only,,39,33,30,37,33
PM48_33,B_only,,26,25,25,26,25
PM48_34,B_only,WYE-132,10,40,44,25,40
PM48_35,B_only,OSI-027,5,17,19,5,17
PM48_36,B_only,,15,36,34,26,36
PM48_37,B_only,,36,39,32,39,39
PM48_38,B_only,,19,20,23,20,20
PM48_39,B_only,,33,35,37,34,35
PM48_40,B_only,,45,32,27,40,32
PM48_41,B_only,,24,27,36,26,27
PM48_42,B_only,AZD-8055,42,43,46,44,43
PM48_43,B_only,,6,23,21,14,23
PM48_44,B_only,Ku-0063794,34,44,42,41,44
PM48_45,neither,,7,15,16,5,15
PM48_46,neither,,16,26,26,22,26
PM48_47,neither,,27,22,28,24,22
PM48_48,neither,,31,21,24,29,21
