ligand,class,pref_name,vina_mean,rtm_min_z,rtm_shortfall,consensus_rank_mean,consensus_and_top25,consensus_and_top25_pass,rank_vina_mean,rank_rtm_min_z
PM48_01,dual,PI-103,9.345,1.0153448606114035,0.9178032248255786,-6.5,1.0153448606114035,1,9,4
PM48_02,dual,OMIPALISIB,10.0745,-0.676650154011836,-1.91532069178905,-16.5,-1000.6766501540118,0,3,30
PM48_03,dual,GEDATOLISIB,7.1085,-1.200561138002088,-1.7958798825255307,-42.0,-1001.2005611380021,0,46,38
PM48_04,dual,DACTOLISIB,10.13,0.0592022889152947,0.01199000381371134,-10.0,-999.9407977110847,0,2,18
PM48_05,dual,PICTILISIB,9.118,0.5911156367081991,0.2871559070301858,-11.0,0.5911156367081991,1,12,10
PM48_06,dual,APITOLISIB,8.548,0.7374456176913409,0.6167591567193096,-16.0,-999.2625543823086,0,25,7
PM48_07,dual,TORIN2,9.725,-0.0805084851762627,-0.21361081538561405,-11.5,-1000.0805084851762,0,4,19
PM48_08,dual,PF-04691502,8.7325,1.0435357790425146,0.562218109264024,-12.0,-998.9564642209575,0,21,3
PM48_09,dual,BIMIRALISIB,7.685,0.2617447612315424,0.23408351492022003,-29.5,-999.7382552387685,0,43,16
PM48_10,dual,TORIN1,10.4905,-0.7564889757168544,-1.37763452378457,-16.0,-1000.7564889757168,0,1,31
PM48_11,dual,SAPANISERTIB,9.178,0.3104972691306837,-0.1576808667114336,-12.5,-999.6895027308693,0,11,14
PM48_12,dual,BUPARLISIB,7.816000000000001,0.4303590816080374,-0.0046047943348037634,-26.0,-999.569640918392,0,40,12
PM48_13,dual,VISTUSERTIB,8.642,-1.7430315915990209,-2.178730539625563,-34.0,-1001.743031591599,0,22,46
PM48_14,dual,VS-5584,8.479,0.3905875558436098,0.2924086603331716,-20.5,-999.6094124441564,0,28,13
PM48_15,dual,PAXALISIB,8.6325,0.8117634863578949,0.8045762533582164,-14.5,-999.1882365136421,0,23,6
PM48_16,dual,VOXTALISIB,8.252,-0.6204331445719949,-1.123700870772038,-29.5,-1000.620433144572,0,30,29
PM48_17,dual,SAMOTOLISIB,8.202,-1.171499972323129,-1.330319459018486,-34.5,-1001.1714999723231,0,32,37
PM48_18,dual,ZSTK-474,8.9145,0.6943689848724006,0.6687425139755275,-12.5,-999.3056310151276,0,17,8
PM48_19,A_only,TASELISIB,6.6265,-1.7414909471758382,-2.62140700524526,-46.5,-1001.7414909471759,0,48,45
PM48_20,A_only,,9.079,1.1274312737106618,0.842551220624339,-8.0,-998.8725687262894,0,14,2
PM48_21,A_only,,8.8225,0.9468267991477258,0.7198074508497241,-11.5,-999.0531732008523,0,18,5
PM48_22,A_only,ALPELISIB,7.8055,-1.7590032086804737,-1.9052110399188336,-44.0,-1001.7590032086805,0,41,47
PM48_23,A_only,,8.044,0.6800061950040207,0.6270068552445772,-22.0,-999.319993804996,0,35,9
PM48_24,A_only,,7.4975,-1.527818334546391,-2.001727019552901,-43.0,-1001.5278183345464,0,44,42
PM48_25,A_only,SONOLISIB,6.6885,-2.180541862790717,-2.4743364822189067,-47.5,-1002.1805418627907,0,47,48
PM48_26,A_only,,8.7515,1.529565428026503,1.3800760168302761,-10.5,-998.4704345719734,0,20,1
PM48_27,A_only,,7.9575,-1.4101999850917686,-1.6436261512465735,-39.0,-1001.4101999850918,0,37,41
PM48_28,A_only,,9.0935,0.4735813936012326,0.2179265558693601,-12.0,-999.5264186063988,0,13,11
PM48_29,A_only,,7.951,-1.109705968239237,-2.3605237051766554,-36.0,-1001.1097059682393,0,38,34
PM48_30,A_only,AZD-6482,8.364,-0.5701164854575544,-0.6013374212679949,-28.5,-1000.5701164854576,0,29,28
PM48_31,A_only,,9.378,-0.4443133657137451,-0.7745873948167914,-16.0,-1000.4443133657137,0,8,24
PM48_32,A_only,,7.907500000000001,-1.0634980073414195,-1.2932360630076736,-36.0,-1001.0634980073414,0,39,33
PM48_33,B_only,,8.529,-0.4916114276844923,-0.8433073010191903,-25.5,-1000.4916114276845,0,26,25
PM48_34,B_only,WYE-132,9.231,-1.3806386223635108,-2.2123427651916128,-25.0,-1001.3806386223636,0,10,40
PM48_35,B_only,OSI-027,9.6735,0.1801774951508991,-0.3590977095951281,-11.0,-999.8198225048491,0,5,17
PM48_36,B_only,,8.9725,-1.1587291706582286,-1.4216207535786927,-25.5,-1001.1587291706583,0,15,36
PM48_37,B_only,,7.9675,-1.3222639504771103,-1.3556765664968706,-37.5,-1001.3222639504771,0,36,39
PM48_38,B_only,,8.7745,-0.2454043572042823,-0.792176607290396,-19.5,-1000.2454043572043,0,19,20
PM48_39,B_only,,8.125499999999999,-1.1121760784011494,-1.703200413952381,-34.0,-1001.1121760784011,0,33,35
PM48_40,B_only,,7.413,-0.7688275322411793,-0.9143281339674615,-38.5,-1000.7688275322412,0,45,32
PM48_41,B_only,,8.63,-0.5662049428216601,-1.6694437371139186,-25.5,-1000.5662049428216,0,24,27
PM48_42,B_only,AZD-8055,7.6865,-1.672457343269973,-2.454384448640538,-42.5,-1001.67245734327,0,42,43
PM48_43,B_only,,9.467,-0.4074660579991099,-0.7500177904179501,-14.5,-1000.4074660579992,0,6,23
PM48_44,B_only,Ku-0063794,8.091000000000001,-1.6963686890522685,-2.15907591507771,-39.0,-1001.6963686890523,0,34,44
PM48_45,neither,,9.427,0.2661336822474117,-0.11623857993338788,-11.0,-999.7338663177526,0,7,15
PM48_46,neither,,8.940000000000001,-0.5237744897864766,-0.8694897001399792,-21.0,-1000.5237744897864,0,16,26
PM48_47,neither,,8.501999999999999,-0.3520678430635315,-1.0589593132538966,-24.5,-1000.3520678430635,0,27,22
PM48_48,neither,,8.247499999999999,-0.3297963458411816,-0.7981927583926427,-26.0,-1000.3297963458411,0,31,21
