ligand,class,lambda,score
PM48_01,dual,0.0,1.0153448606114035
PM48_01,dual,0.25,0.966574042718491
PM48_01,dual,0.5,0.9178032248255786
PM48_01,dual,1.0,0.8202615890397538
PM48_02,dual,0.0,-0.676650154011836
PM48_02,dual,0.25,-1.295985422900443
PM48_02,dual,0.5,-1.91532069178905
PM48_02,dual,1.0,-3.1539912295662638
PM48_03,dual,0.0,-1.200561138002088
PM48_03,dual,0.25,-1.4982205102638093
PM48_03,dual,0.5,-1.7958798825255307
PM48_03,dual,1.0,-2.391198627048974
PM48_04,dual,0.0,0.05920228891529472
PM48_04,dual,0.25,0.03559614636450304
PM48_04,dual,0.5,0.011990003813711361
PM48_04,dual,1.0,-0.035222281287872
PM48_05,dual,0.0,0.5911156367081991
PM48_05,dual,0.25,0.43913577186919245
PM48_05,dual,0.5,0.2871559070301858
PM48_05,dual,1.0,-0.016803822647827538
PM48_06,dual,0.0,0.7374456176913409
PM48_06,dual,0.25,0.6771023872053252
PM48_06,dual,0.5,0.6167591567193096
PM48_06,dual,1.0,0.4960726957472783
PM48_07,dual,0.0,-0.08050848517626275
PM48_07,dual,0.25,-0.14705965028093843
PM48_07,dual,0.5,-0.2136108153856141
PM48_07,dual,1.0,-0.34671314559496547
PM48_08,dual,0.0,1.0435357790425146
PM48_08,dual,0.25,0.8028769441532695
PM48_08,dual,0.5,0.5622181092640243
PM48_08,dual,1.0,0.08090043948553394
PM48_09,dual,0.0,0.26174476123154244
PM48_09,dual,0.25,0.24791413807588125
PM48_09,dual,0.5,0.2340835149202201
PM48_09,dual,1.0,0.20642226860889773
PM48_10,dual,0.0,-0.7564889757168544
PM48_10,dual,0.25,-1.0670617497507122
PM48_10,dual,0.5,-1.37763452378457
PM48_10,dual,1.0,-1.9987800718522855
PM48_11,dual,0.0,0.31049726913068376
PM48_11,dual,0.25,0.0764082012096251
PM48_11,dual,0.5,-0.15768086671143355
PM48_11,dual,1.0,-0.6258590025535509
PM48_12,dual,0.0,0.4303590816080374
PM48_12,dual,0.25,0.2128771436366168
PM48_12,dual,0.5,-0.0046047943348037634
PM48_12,dual,1.0,-0.4395686702776449
PM48_13,dual,0.0,-1.7430315915990207
PM48_13,dual,0.25,-1.9608810656122917
PM48_13,dual,0.5,-2.1787305396255627
PM48_13,dual,1.0,-2.614429487652105
PM48_14,dual,0.0,0.3905875558436098
PM48_14,dual,0.25,0.3414981080883907
PM48_14,dual,0.5,0.2924086603331716
PM48_14,dual,1.0,0.19422976482273335
PM48_15,dual,0.0,0.8117634863578949
PM48_15,dual,0.25,0.8081698698580556
PM48_15,dual,0.5,0.8045762533582164
PM48_15,dual,1.0,0.7973890203585379
PM48_16,dual,0.0,-0.6204331445719949
PM48_16,dual,0.25,-0.8720670076720165
PM48_16,dual,0.5,-1.123700870772038
PM48_16,dual,1.0,-1.6269685969720813
PM48_17,dual,0.0,-1.171499972323129
PM48_17,dual,0.25,-1.2509097156708076
PM48_17,dual,0.5,-1.330319459018486
PM48_17,dual,1.0,-1.4891389457138429
PM48_18,dual,0.0,0.6943689848724006
PM48_18,dual,0.25,0.6815557494239641
PM48_18,dual,0.5,0.6687425139755275
PM48_18,dual,1.0,0.6431160430786544
PM48_19,A_only,0.0,-1.7414909471758382
PM48_19,A_only,0.25,-2.181448976210549
PM48_19,A_only,0.5,-2.62140700524526
PM48_19,A_only,1.0,-3.5013230633146812
PM48_20,A_only,0.0,1.1274312737106618
PM48_20,A_only,0.25,0.9849912471675004
PM48_20,A_only,0.5,0.842551220624339
PM48_20,A_only,1.0,0.5576711675380162
PM48_21,A_only,0.0,0.9468267991477258
PM48_21,A_only,0.25,0.8333171249987249
PM48_21,A_only,0.5,0.7198074508497241
PM48_21,A_only,1.0,0.49278810255172223
PM48_22,A_only,0.0,-1.7590032086804737
PM48_22,A_only,0.25,-1.8321071242996536
PM48_22,A_only,0.5,-1.9052110399188336
PM48_22,A_only,1.0,-2.0514188711571935
PM48_23,A_only,0.0,0.6800061950040207
PM48_23,A_only,0.25,0.653506525124299
PM48_23,A_only,0.5,0.6270068552445772
PM48_23,A_only,1.0,0.5740075154851337
PM48_24,A_only,0.0,-1.527818334546391
PM48_24,A_only,0.25,-1.764772677049646
PM48_24,A_only,0.5,-2.001727019552901
PM48_24,A_only,1.0,-2.4756357045594113
PM48_25,A_only,0.0,-2.180541862790717
PM48_25,A_only,0.25,-2.327439172504812
PM48_25,A_only,0.5,-2.4743364822189067
PM48_25,A_only,1.0,-2.7681311016470964
PM48_26,A_only,0.0,1.529565428026503
PM48_26,A_only,0.25,1.4548207224283896
PM48_26,A_only,0.5,1.3800760168302761
PM48_26,A_only,1.0,1.230586605634049
PM48_27,A_only,0.0,-1.4101999850917686
PM48_27,A_only,0.25,-1.526913068169171
PM48_27,A_only,0.5,-1.6436261512465733
PM48_27,A_only,1.0,-1.8770523174013782
PM48_28,A_only,0.0,0.47358139360123264
PM48_28,A_only,0.25,0.34575397473529634
PM48_28,A_only,0.5,0.2179265558693601
PM48_28,A_only,1.0,-0.037728281862512425
PM48_29,A_only,0.0,-1.109705968239237
PM48_29,A_only,0.25,-1.735114836707946
PM48_29,A_only,0.5,-2.3605237051766554
PM48_29,A_only,1.0,-3.6113414421140737
PM48_30,A_only,0.0,-0.5701164854575544
PM48_30,A_only,0.25,-0.5857269533627747
PM48_30,A_only,0.5,-0.6013374212679949
PM48_30,A_only,1.0,-0.6325583570784353
PM48_31,A_only,0.0,-0.44431336571374513
PM48_31,A_only,0.25,-0.6094503802652683
PM48_31,A_only,0.5,-0.7745873948167915
PM48_31,A_only,1.0,-1.104861423919838
PM48_32,A_only,0.0,-1.0634980073414195
PM48_32,A_only,0.25,-1.1783670351745466
PM48_32,A_only,0.5,-1.2932360630076736
PM48_32,A_only,1.0,-1.5229741186739276
PM48_33,B_only,0.0,-0.4916114276844923
PM48_33,B_only,0.25,-0.6674593643518413
PM48_33,B_only,0.5,-0.8433073010191903
PM48_33,B_only,1.0,-1.1950031743538883
PM48_34,B_only,0.0,-1.3806386223635108
PM48_34,B_only,0.25,-1.7964906937775618
PM48_34,B_only,0.5,-2.2123427651916128
PM48_34,B_only,1.0,-3.044046908019715
PM48_35,B_only,0.0,0.18017749515089918
PM48_35,B_only,0.25,-0.08946010722211442
PM48_35,B_only,0.5,-0.359097709595128
PM48_35,B_only,1.0,-0.8983729143411552
PM48_36,B_only,0.0,-1.1587291706582286
PM48_36,B_only,0.25,-1.2901749621184606
PM48_36,B_only,0.5,-1.4216207535786927
PM48_36,B_only,1.0,-1.6845123364991568
PM48_37,B_only,0.0,-1.3222639504771105
PM48_37,B_only,0.25,-1.3389702584869907
PM48_37,B_only,0.5,-1.355676566496871
PM48_37,B_only,1.0,-1.3890891825166314
PM48_38,B_only,0.0,-0.2454043572042823
PM48_38,B_only,0.25,-0.5187904822473391
PM48_38,B_only,0.5,-0.792176607290396
PM48_38,B_only,1.0,-1.3389488573765096
PM48_39,B_only,0.0,-1.1121760784011494
PM48_39,B_only,0.25,-1.4076882461767652
PM48_39,B_only,0.5,-1.703200413952381
PM48_39,B_only,1.0,-2.2942247495036128
PM48_40,B_only,0.0,-0.7688275322411793
PM48_40,B_only,0.25,-0.8415778331043204
PM48_40,B_only,0.5,-0.9143281339674615
PM48_40,B_only,1.0,-1.0598287356937437
PM48_41,B_only,0.0,-0.5662049428216601
PM48_41,B_only,0.25,-1.1178243399677892
PM48_41,B_only,0.5,-1.6694437371139186
PM48_41,B_only,1.0,-2.772682531406177
PM48_42,B_only,0.0,-1.672457343269973
PM48_42,B_only,0.25,-2.0634208959552556
PM48_42,B_only,0.5,-2.454384448640538
PM48_42,B_only,1.0,-3.2363115540111034
PM48_43,B_only,0.0,-0.4074660579991099
PM48_43,B_only,0.25,-0.57874192420853
PM48_43,B_only,0.5,-0.7500177904179501
PM48_43,B_only,1.0,-1.0925695228367902
PM48_44,B_only,0.0,-1.6963686890522685
PM48_44,B_only,0.25,-1.9277223020649892
PM48_44,B_only,0.5,-2.15907591507771
PM48_44,B_only,1.0,-2.6217831411031516
PM48_45,neither,0.0,0.26613368224741174
PM48_45,neither,0.25,0.07494755115701199
PM48_45,neither,0.5,-0.11623857993338776
PM48_45,neither,1.0,-0.49861084211418727
PM48_46,neither,0.0,-0.5237744897864766
PM48_46,neither,0.25,-0.6966320949632279
PM48_46,neither,0.5,-0.8694897001399792
PM48_46,neither,1.0,-1.215204910493482
PM48_47,neither,0.0,-0.3520678430635315
PM48_47,neither,0.25,-0.7055135781587141
PM48_47,neither,0.5,-1.0589593132538966
PM48_47,neither,1.0,-1.7658507834442618
PM48_48,neither,0.0,-0.32979634584118167
PM48_48,neither,0.25,-0.5639945521169122
PM48_48,neither,0.5,-0.7981927583926427
PM48_48,neither,1.0,-1.2665891709441037
