ligand,role,target,rtm_best_mode,vina_score,pdbqt,sdf,pdb,source_pose
PM48_26,stubborn_A_only_Top1,4L23,4,-8.476,pdbqt/PM48_26_4L23_mode04.pdbqt,sdf/PM48_26_4L23_mode04.sdf,pdb/PM48_26_4L23_mode04.pdb,poses/4L23/PM48_26/mode_04.pdbqt
PM48_26,stubborn_A_only_Top1,4JT6,1,-8.892,pdbqt/PM48_26_4JT6_mode01.pdbqt,sdf/PM48_26_4JT6_mode01.sdf,pdb/PM48_26_4JT6_mode01.pdb,poses/4JT6/PM48_26/mode_01.pdbqt
PM48_20,stubborn_A_only,4L23,2,-8.01,pdbqt/PM48_20_4L23_mode02.pdbqt,sdf/PM48_20_4L23_mode02.sdf,pdb/PM48_20_4L23_mode02.pdb,poses/4L23/PM48_20/mode_02.pdbqt
PM48_20,stubborn_A_only,4JT6,5,-8.326,pdbqt/PM48_20_4JT6_mode05.pdbqt,sdf/PM48_20_4JT6_mode05.sdf,pdb/PM48_20_4JT6_mode05.pdb,poses/4JT6/PM48_20/mode_05.pdbqt
PM48_21,stubborn_A_only,4L23,1,-8.346,pdbqt/PM48_21_4L23_mode01.pdbqt,sdf/PM48_21_4L23_mode01.sdf,pdb/PM48_21_4L23_mode01.pdb,poses/4L23/PM48_21/mode_01.pdbqt
PM48_21,stubborn_A_only,4JT6,1,-9.299,pdbqt/PM48_21_4JT6_mode01.pdbqt,sdf/PM48_21_4JT6_mode01.sdf,pdb/PM48_21_4JT6_mode01.pdb,poses/4JT6/PM48_21/mode_01.pdbqt
PM48_34,rescued_B_only_WYE-132,4L23,6,-7.664,pdbqt/PM48_34_4L23_mode06.pdbqt,sdf/PM48_34_4L23_mode06.sdf,pdb/PM48_34_4L23_mode06.pdb,poses/4L23/PM48_34/mode_06.pdbqt
PM48_34,rescued_B_only_WYE-132,4JT6,1,-9.846,pdbqt/PM48_34_4JT6_mode01.pdbqt,sdf/PM48_34_4JT6_mode01.sdf,pdb/PM48_34_4JT6_mode01.pdb,poses/4JT6/PM48_34/mode_01.pdbqt
PM48_10,injured_dual_Torin1,4L23,7,-7.347,pdbqt/PM48_10_4L23_mode07.pdbqt,sdf/PM48_10_4L23_mode07.sdf,pdb/PM48_10_4L23_mode07.pdb,poses/4L23/PM48_10/mode_07.pdbqt
PM48_10,injured_dual_Torin1,4JT6,1,-11.433,pdbqt/PM48_10_4JT6_mode01.pdbqt,sdf/PM48_10_4JT6_mode01.sdf,pdb/PM48_10_4JT6_mode01.pdb,poses/4JT6/PM48_10/mode_01.pdbqt
PM48_02,injured_dual_Omipalisib,4L23,7,-8.624,pdbqt/PM48_02_4L23_mode07.pdbqt,sdf/PM48_02_4L23_mode07.sdf,pdb/PM48_02_4L23_mode07.pdb,poses/4L23/PM48_02/mode_07.pdbqt
PM48_02,injured_dual_Omipalisib,4JT6,1,-10.969,pdbqt/PM48_02_4JT6_mode01.pdbqt,sdf/PM48_02_4JT6_mode01.sdf,pdb/PM48_02_4JT6_mode01.pdb,poses/4JT6/PM48_02/mode_01.pdbqt
PM48_01,gold_standard_PI-103,4L23,1,-9.237,pdbqt/PM48_01_4L23_mode01.pdbqt,sdf/PM48_01_4L23_mode01.sdf,pdb/PM48_01_4L23_mode01.pdb,poses/4L23/PM48_01/mode_01.pdbqt
PM48_01,gold_standard_PI-103,4JT6,3,-9.151,pdbqt/PM48_01_4JT6_mode03.pdbqt,sdf/PM48_01_4JT6_mode03.sdf,pdb/PM48_01_4JT6_mode03.pdb,poses/4JT6/PM48_01/mode_03.pdbqt
