ligand,class,vina_mean,vina_min,rtm_mean,rtm_min,rtm_min_z,gated_rtm_min
PM48_01,dual,9,4,5,4,4,4
PM48_02,dual,3,7,21,26,30,26
PM48_03,dual,46,46,37,36,38,36
PM48_04,dual,2,5,24,21,18,21
PM48_05,dual,12,11,6,11,10,11
PM48_06,dual,25,30,8,9,7,9
PM48_07,dual,4,8,25,25,19,25
PM48_08,dual,21,20,2,6,3,6
PM48_09,dual,43,44,19,17,16,17
PM48_10,dual,1,1,31,27,31,27
PM48_11,dual,11,9,7,15,14,15
PM48_12,dual,40,42,12,3,12,3
PM48_13,dual,22,17,45,45,46,45
PM48_14,dual,28,26,17,12,13,12
PM48_15,dual,23,29,10,7,6,7
PM48_16,dual,30,35,26,31,29,31
PM48_17,dual,32,32,41,38,37,38
PM48_18,dual,17,18,14,10,8,10
PM48_19,A_only,48,48,42,47,45,47
PM48_20,A_only,14,10,3,5,2,5
PM48_21,A_only,18,21,4,2,5,2
PM48_22,A_only,41,41,47,46,47,46
PM48_23,A_only,35,34,15,8,9,8
PM48_24,A_only,44,45,39,42,42,42
PM48_25,A_only,47,47,48,48,48,48
PM48_26,A_only,20,14,1,1,1,1
PM48_27,A_only,37,31,43,41,41,41
PM48_28,A_only,13,16,11,14,11,14
PM48_29,A_only,38,37,18,37,34,37
PM48_30,A_only,29,22,32,30,28,30
PM48_31,A_only,8,12,28,19,24,19
PM48_32,A_only,39,39,38,33,33,33
PM48_33,B_only,26,38,29,22,25,22
PM48_34,B_only,10,13,36,39,40,39
PM48_35,B_only,5,2,9,20,17,20
PM48_36,B_only,15,24,40,35,36,35
PM48_37,B_only,36,36,46,40,39,40
PM48_38,B_only,19,25,23,13,20,13
PM48_39,B_only,33,28,34,34,35,34
PM48_40,B_only,45,43,33,32,32,32
PM48_41,B_only,24,23,20,24,27,24
PM48_42,B_only,42,40,35,43,43,43
PM48_43,B_only,6,6,27,18,23,18
PM48_44,B_only,34,33,44,44,44,44
PM48_45,neither,7,3,13,16,15,16
PM48_46,neither,16,15,30,23,26,23
PM48_47,neither,27,19,16,29,22,29
PM48_48,neither,31,27,22,28,21,28
