target,ligand_id,seed,exhaustiveness,status,reason,n_modes_written,log_path,pose_dir,vina_mode1
4JT6,PM48_01,20260727,16,success,,9,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/logs/vina/4JT6_PM48_01.log,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4JT6/PM48_01,-9.453
4JT6,PM48_02,20260727,16,success,,9,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/logs/vina/4JT6_PM48_02.log,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4JT6/PM48_02,-10.969
4JT6,PM48_03,20260727,16,success,,9,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/logs/vina/4JT6_PM48_03.log,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4JT6/PM48_03,-6.711
4JT6,PM48_04,20260727,16,success,,9,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/logs/vina/4JT6_PM48_04.log,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4JT6/PM48_04,-11.045
4JT6,PM48_05,20260727,16,success,,9,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/logs/vina/4JT6_PM48_05.log,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4JT6/PM48_05,-9.381
4JT6,PM48_06,20260727,16,success,,9,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/logs/vina/4JT6_PM48_06.log,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4JT6/PM48_06,-9.17
4JT6,PM48_07,20260727,16,success,,9,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/logs/vina/4JT6_PM48_07.log,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4JT6/PM48_07,-10.314
4JT6,PM48_08,20260727,16,success,,9,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/logs/vina/4JT6_PM48_08.log,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4JT6/PM48_08,-8.375
4JT6,PM48_09,20260727,16,success,,9,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/logs/vina/4JT6_PM48_09.log,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4JT6/PM48_09,-7.103
4JT6,PM48_10,20260727,16,success,,9,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/logs/vina/4JT6_PM48_10.log,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4JT6/PM48_10,-11.433
