target,ligand,mode,vina_score,sdf_name,pose_path
4L23,PM48_01,1,-9.237,PM48_01_mode1,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_01/mode_01.pdbqt
4L23,PM48_01,2,-9.12,PM48_01_mode2,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_01/mode_02.pdbqt
4L23,PM48_01,3,-8.812,PM48_01_mode3,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_01/mode_03.pdbqt
4L23,PM48_01,4,-8.57,PM48_01_mode4,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_01/mode_04.pdbqt
4L23,PM48_01,5,-8.326,PM48_01_mode5,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_01/mode_05.pdbqt
4L23,PM48_01,6,-8.292,PM48_01_mode6,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_01/mode_06.pdbqt
4L23,PM48_01,7,-8.263,PM48_01_mode7,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_01/mode_07.pdbqt
4L23,PM48_01,8,-8.229,PM48_01_mode8,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_01/mode_08.pdbqt
4L23,PM48_01,9,-7.805,PM48_01_mode9,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_01/mode_09.pdbqt
4L23,PM48_02,1,-9.18,PM48_02_mode1,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_02/mode_01.pdbqt
4L23,PM48_02,2,-9.063,PM48_02_mode2,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_02/mode_02.pdbqt
4L23,PM48_02,3,-8.928,PM48_02_mode3,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_02/mode_03.pdbqt
4L23,PM48_02,4,-8.835,PM48_02_mode4,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_02/mode_04.pdbqt
4L23,PM48_02,5,-8.681,PM48_02_mode5,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_02/mode_05.pdbqt
4L23,PM48_02,6,-8.634,PM48_02_mode6,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_02/mode_06.pdbqt
4L23,PM48_02,7,-8.624,PM48_02_mode7,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_02/mode_07.pdbqt
4L23,PM48_02,8,-8.581,PM48_02_mode8,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_02/mode_08.pdbqt
4L23,PM48_02,9,-8.533,PM48_02_mode9,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_02/mode_09.pdbqt
4L23,PM48_03,1,-7.506,PM48_03_mode1,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_03/mode_01.pdbqt
4L23,PM48_03,2,-7.481,PM48_03_mode2,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_03/mode_02.pdbqt
4L23,PM48_03,3,-7.417,PM48_03_mode3,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_03/mode_03.pdbqt
4L23,PM48_03,4,-7.413,PM48_03_mode4,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_03/mode_04.pdbqt
4L23,PM48_03,5,-7.22,PM48_03_mode5,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_03/mode_05.pdbqt
4L23,PM48_03,6,-7.124,PM48_03_mode6,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_03/mode_06.pdbqt
4L23,PM48_03,7,-7.057,PM48_03_mode7,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_03/mode_07.pdbqt
4L23,PM48_03,8,-6.817,PM48_03_mode8,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_03/mode_08.pdbqt
4L23,PM48_03,9,-6.816,PM48_03_mode9,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_03/mode_09.pdbqt
4L23,PM48_04,1,-9.215,PM48_04_mode1,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_04/mode_01.pdbqt
4L23,PM48_04,2,-8.826,PM48_04_mode2,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_04/mode_02.pdbqt
4L23,PM48_04,3,-8.756,PM48_04_mode3,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_04/mode_03.pdbqt
4L23,PM48_04,4,-7.992,PM48_04_mode4,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_04/mode_04.pdbqt
4L23,PM48_04,5,-7.814,PM48_04_mode5,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_04/mode_05.pdbqt
4L23,PM48_04,6,-7.776,PM48_04_mode6,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_04/mode_06.pdbqt
4L23,PM48_04,7,-7.71,PM48_04_mode7,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_04/mode_07.pdbqt
4L23,PM48_04,8,-7.586,PM48_04_mode8,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_04/mode_08.pdbqt
4L23,PM48_04,9,-7.107,PM48_04_mode9,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_04/mode_09.pdbqt
4L23,PM48_05,1,-8.855,PM48_05_mode1,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_05/mode_01.pdbqt
4L23,PM48_05,2,-8.83,PM48_05_mode2,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_05/mode_02.pdbqt
4L23,PM48_05,3,-8.793,PM48_05_mode3,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_05/mode_03.pdbqt
4L23,PM48_05,4,-8.583,PM48_05_mode4,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_05/mode_04.pdbqt
4L23,PM48_05,5,-8.572,PM48_05_mode5,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_05/mode_05.pdbqt
4L23,PM48_05,6,-8.429,PM48_05_mode6,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_05/mode_06.pdbqt
4L23,PM48_05,7,-8.364,PM48_05_mode7,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_05/mode_07.pdbqt
4L23,PM48_05,8,-8.244,PM48_05_mode8,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_05/mode_08.pdbqt
4L23,PM48_05,9,-8.193,PM48_05_mode9,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_05/mode_09.pdbqt
4L23,PM48_06,1,-7.926,PM48_06_mode1,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_06/mode_01.pdbqt
4L23,PM48_06,2,-7.859,PM48_06_mode2,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_06/mode_02.pdbqt
4L23,PM48_06,3,-7.429,PM48_06_mode3,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_06/mode_03.pdbqt
4L23,PM48_06,4,-6.943,PM48_06_mode4,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_06/mode_04.pdbqt
4L23,PM48_06,5,-6.889,PM48_06_mode5,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_06/mode_05.pdbqt
4L23,PM48_06,6,-6.764,PM48_06_mode6,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_06/mode_06.pdbqt
4L23,PM48_06,7,-6.496,PM48_06_mode7,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_06/mode_07.pdbqt
4L23,PM48_06,8,-6.45,PM48_06_mode8,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_06/mode_08.pdbqt
4L23,PM48_06,9,-6.241,PM48_06_mode9,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_06/mode_09.pdbqt
4L23,PM48_07,1,-9.136,PM48_07_mode1,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_07/mode_01.pdbqt
4L23,PM48_07,2,-9.012,PM48_07_mode2,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_07/mode_02.pdbqt
4L23,PM48_07,3,-8.737,PM48_07_mode3,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_07/mode_03.pdbqt
4L23,PM48_07,4,-8.626,PM48_07_mode4,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_07/mode_04.pdbqt
4L23,PM48_07,5,-8.525,PM48_07_mode5,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_07/mode_05.pdbqt
4L23,PM48_07,6,-8.511,PM48_07_mode6,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_07/mode_06.pdbqt
4L23,PM48_07,7,-7.93,PM48_07_mode7,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_07/mode_07.pdbqt
4L23,PM48_07,8,-7.926,PM48_07_mode8,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_07/mode_08.pdbqt
4L23,PM48_07,9,-7.512,PM48_07_mode9,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_07/mode_09.pdbqt
4L23,PM48_08,1,-9.09,PM48_08_mode1,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_08/mode_01.pdbqt
4L23,PM48_08,2,-8.887,PM48_08_mode2,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_08/mode_02.pdbqt
4L23,PM48_08,3,-8.772,PM48_08_mode3,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_08/mode_03.pdbqt
