dual_rank_by_mean,ligand,class,pref_name,molecule_chembl_id,4L23_rtmscore,4L23_best_rtm_mode,4JT6_rtmscore,4JT6_best_rtm_mode,4L23_affinity,4JT6_affinity,mean_affinity,min_affinity_raw,mean_rtmscore,min_rtmscore,dual_rank_by_min
1,PM48_26,A_only,,CHEMBL3646543,92.75209579542694,4,65.44864079122357,1,-8.611,-8.892,-8.7515,-8.611,79.10036829332526,65.44864079122357,1
2,PM48_08,dual,PF-04691502,CHEMBL1234354,96.14088075280102,1,59.64814979794632,1,-9.09,-8.375,-8.7325,-8.375,77.89451527537366,59.64814979794632,6
3,PM48_20,A_only,,CHEMBL3646632,90.24613126236603,2,60.64939542610173,5,-9.057,-9.101,-9.079,-9.057,75.44776334423388,60.64939542610173,5
4,PM48_21,A_only,,CHEMBL3814414,75.93059313578856,1,63.912679354298525,1,-8.346,-9.299,-8.8225,-8.346,69.92163624504354,63.912679354298525,2
5,PM48_01,dual,PI-103,CHEMBL573339,77.23778825989864,1,61.6399163357742,3,-9.237,-9.453,-9.345,-9.237,69.43885229783642,61.6399163357742,4
6,PM48_05,dual,PICTILISIB,CHEMBL521851,80.74225080599463,8,54.2487693974435,1,-8.855,-9.381,-9.118,-8.855,67.49551010171906,54.2487693974435,11
7,PM48_11,dual,SAPANISERTIB,CHEMBL3545097,81.65453636231862,6,50.8997467255053,1,-9.283,-9.073,-9.178,-9.073,66.27714154391197,50.8997467255053,15
8,PM48_06,dual,APITOLISIB,CHEMBL1922094,76.54093508481547,2,55.99513556772442,2,-7.926,-9.17,-8.548,-7.926,66.26803532626994,55.99513556772442,9
9,PM48_35,B_only,OSI-027,CHEMBL3120215,81.88107678343292,1,49.3444533873399,1,-9.383,-9.964,-9.6735,-9.383,65.6127650853864,49.3444533873399,20
10,PM48_15,dual,PAXALISIB,CHEMBL3813842,73.35384037668408,1,57.05362878820549,1,-8.07,-9.195,-8.6325,-8.07,65.20373458244478,57.05362878820549,7
