ligand,rtmscore,best_rtm_mode,vina_score
PM48_01,61.6399163357742,3,-9.151
PM48_02,68.68437134073935,1,-10.969
PM48_03,47.07570295924519,2,-6.678
PM48_04,49.02758645238258,9,-9.732
PM48_05,54.2487693974435,1,-9.381
PM48_06,55.99513556772442,2,-9.039
PM48_07,46.23331256676998,3,-9.42
PM48_08,59.64814979794632,1,-8.375
PM48_09,50.317912914420326,3,-7.025
PM48_10,52.991911705767095,1,-11.433
PM48_11,50.8997467255053,1,-9.073
PM48_12,62.71232948733748,3,-7.022
PM48_13,26.392032667324557,9,-7.456
PM48_14,54.1989993294479,1,-8.773
PM48_15,57.05362878820549,1,-9.195
PM48_16,39.78961488202975,2,-7.69
PM48_17,33.21294167341728,8,-7.374
PM48_18,55.48104013916507,7,-7.994
PM48_19,47.413027692631125,3,-6.614
PM48_20,60.64939542610173,5,-8.326
PM48_21,63.912679354298525,1,-9.299
PM48_22,26.201420384261773,8,-7.538
PM48_23,56.57466303581314,2,-7.591
PM48_24,28.9604820649636,4,-6.782
PM48_25,21.17059320819122,7,-5.955
PM48_26,65.44864079122357,1,-8.892
PM48_27,30.36419103227014,5,-7.701
PM48_28,52.84606419217715,3,-8.817
PM48_29,33.95041841969488,3,-7.467
PM48_30,41.13532464132667,3,-8.057
PM48_31,49.77477579433524,7,-9.655
PM48_32,39.985473920007365,1,-8.236
PM48_33,49.7216153473036,2,-8.645
PM48_34,50.56883331669451,1,-9.846
PM48_35,49.3444533873399,1,-9.964
PM48_36,39.64028091998699,1,-9.673
PM48_37,31.413658236242387,6,-7.541
PM48_38,57.31621258064796,1,-9.316
PM48_39,48.02802630411431,2,-7.945
PM48_40,38.01861117695259,8,-6.712
PM48_41,66.7698692815284,1,-8.96
PM48_42,27.234296699252862,7,-6.989
PM48_43,50.50758271727211,1,-9.726
PM48_44,26.948928211677504,8,-7.305
PM48_45,50.37029222271144,3,-8.716
PM48_46,49.19501554812199,2,-9.128
PM48_47,42.99240408956482,1,-8.442
PM48_48,43.25820190522297,1,-8.321
