ligand,rtmscore,best_rtm_mode,vina_score
PM48_01,77.23778825989864,1,-9.237
PM48_02,44.95772099170031,7,-8.624
PM48_03,34.9624895284923,1,-7.506
PM48_04,58.99639495460502,3,-8.756
PM48_05,80.74225080599463,8,-8.244
PM48_06,76.54093508481547,2,-7.859
PM48_07,61.40965925170185,3,-8.737
PM48_08,96.14088075280102,1,-9.09
PM48_09,63.91597116044423,2,-8.03
PM48_10,43.43454715668428,7,-7.347
PM48_11,81.65453636231862,6,-8.327
PM48_12,66.07736512982643,1,-8.329
PM48_13,41.237803508188215,1,-8.756
PM48_14,65.3185995803189,2,-8.155
PM48_15,73.35384037668408,1,-8.07
PM48_16,65.23302952461296,1,-8.644
PM48_17,41.57687297190616,5,-7.474
PM48_18,72.09198441515892,1,-9.333
PM48_19,24.642571043749907,8,-5.652
PM48_20,90.24613126236603,2,-8.01
PM48_21,75.93059313578856,1,-8.346
PM48_22,29.887208409074148,8,-7.09
PM48_23,70.8401602587047,2,-7.848
PM48_24,46.80160487481944,1,-7.978
PM48_25,27.47640153657125,1,-6.818
PM48_26,92.75209579542694,4,-8.476
PM48_27,39.869636732490335,2,-7.902
PM48_28,76.65678747018342,1,-8.532
PM48_29,84.42231159979659,2,-8.141
PM48_30,46.99018205543808,5,-7.843
PM48_31,49.39026783156765,2,-8.312
PM48_32,37.5773950332236,5,-7.106
PM48_33,48.487910195241454,2,-7.61
PM48_34,31.52695144567529,6,-7.664
PM48_35,81.88107678343292,1,-9.383
PM48_36,35.760564409417135,2,-7.978
PM48_37,33.91552900398484,3,-7.588
PM48_38,53.18507580643974,5,-8.11
PM48_39,36.64870943148493,6,-7.403
PM48_40,48.75090383045425,4,-6.354
PM48_41,47.064806896715886,1,-8.3
PM48_42,55.79498463993498,6,-6.982
PM48_43,50.09324482700831,1,-9.208
PM48_44,43.15857730849847,5,-7.56
PM48_45,77.53413514589381,2,-9.041
PM48_46,47.87429975358511,5,-7.915
PM48_47,78.12244474361685,4,-7.795
PM48_48,69.44727285949588,1,-8.174
