panel_id,class,vina_4L23_mode1,vina_4JT6_mode1,vina_mean,vina_min,vina_delta,best_mode_4L23,best_mode_4JT6,n_modes_4L23,n_modes_4JT6
PM48_01,dual,-9.237,-9.453,-9.344999999999999,-9.237,0.2159999999999993,1,1,9,9
PM48_02,dual,-9.18,-10.969,-10.0745,-9.18,1.7889999999999997,1,1,9,9
PM48_03,dual,-7.506,-6.711,-7.1085,-6.711,-0.7949999999999999,1,1,9,9
PM48_04,dual,-9.215,-11.045,-10.129999999999999,-9.215,1.83,1,1,9,9
PM48_05,dual,-8.855,-9.381,-9.118,-8.855,0.5259999999999998,1,1,9,9
PM48_06,dual,-7.926,-9.17,-8.548,-7.926,1.2439999999999998,1,1,9,9
PM48_07,dual,-9.136,-10.314,-9.725,-9.136,1.1780000000000008,1,1,9,9
PM48_08,dual,-9.09,-8.375,-8.7325,-8.375,-0.7149999999999999,1,1,9,9
PM48_09,dual,-8.267,-7.103,-7.685,-7.103,-1.1639999999999997,1,1,9,9
PM48_10,dual,-9.548,-11.433,-10.4905,-9.548,1.8849999999999998,1,1,9,9
PM48_11,dual,-9.283,-9.073,-9.178,-9.073,-0.20999999999999908,1,1,9,9
PM48_12,dual,-8.329,-7.303,-7.816000000000001,-7.303,-1.0260000000000007,1,1,9,9
PM48_13,dual,-8.756,-8.528,-8.642,-8.528,-0.22799999999999976,1,1,9,9
PM48_14,dual,-8.185,-8.773,-8.479,-8.185,0.5879999999999992,1,1,9,9
PM48_15,dual,-8.07,-9.195,-8.6325,-8.07,1.125,1,1,9,9
PM48_16,dual,-8.644,-7.86,-8.252,-7.86,-0.7839999999999998,1,1,9,9
PM48_17,dual,-7.882,-8.522,-8.202,-7.882,0.6400000000000006,1,1,9,9
PM48_18,dual,-9.333,-8.496,-8.9145,-8.496,-0.8369999999999997,1,1,9,9
PM48_19,A_only,-6.422,-6.831,-6.6265,-6.422,0.4090000000000007,1,1,9,9
PM48_20,A_only,-9.057,-9.101,-9.079,-9.057,0.04400000000000048,1,1,9,9
PM48_21,A_only,-8.346,-9.299,-8.8225,-8.346,0.9529999999999994,1,1,9,9
PM48_22,A_only,-7.529,-8.082,-7.8055,-7.529,0.5530000000000008,1,1,9,9
PM48_23,A_only,-7.866,-8.222,-8.044,-7.866,0.35599999999999987,1,1,9,9
PM48_24,A_only,-7.978,-7.017,-7.4975000000000005,-7.017,-0.9609999999999994,1,1,9,9
PM48_25,A_only,-6.818,-6.559,-6.6884999999999994,-6.559,-0.25899999999999945,1,1,9,9
PM48_26,A_only,-8.611,-8.892,-8.7515,-8.611,0.2809999999999988,1,1,9,9
PM48_27,A_only,-7.924,-7.991,-7.9575,-7.924,0.06699999999999928,1,1,9,9
PM48_28,A_only,-8.532,-9.655,-9.093499999999999,-8.532,1.1229999999999993,1,1,9,9
PM48_29,A_only,-8.209,-7.693,-7.951,-7.693,-0.516,1,1,9,9
PM48_30,A_only,-8.409,-8.319,-8.364,-8.319,-0.08999999999999986,1,1,9,9
PM48_31,A_only,-8.677,-10.079,-9.378,-8.677,1.402000000000001,1,1,9,9
PM48_32,A_only,-7.579,-8.236,-7.907500000000001,-7.579,0.6570000000000009,1,1,9,9
PM48_33,B_only,-7.671,-9.387,-8.529,-7.671,1.7160000000000002,1,1,9,9
PM48_34,B_only,-8.616,-9.846,-9.231,-8.616,1.2300000000000004,1,1,9,8
PM48_35,B_only,-9.383,-9.964,-9.6735,-9.383,0.5810000000000013,1,1,9,9
PM48_36,B_only,-8.272,-9.673,-8.9725,-8.272,1.4009999999999998,1,1,9,9
PM48_37,B_only,-7.817,-8.118,-7.9675,-7.817,0.30100000000000016,1,1,9,9
PM48_38,B_only,-8.233,-9.316,-8.7745,-8.233,1.0830000000000002,1,1,9,9
PM48_39,B_only,-8.107,-8.144,-8.125499999999999,-8.107,0.03700000000000081,1,1,9,9
PM48_40,B_only,-7.296,-7.53,-7.413,-7.296,0.23399999999999999,1,1,9,9
PM48_41,B_only,-8.3,-8.96,-8.63,-8.3,0.6600000000000001,1,1,9,9
PM48_42,B_only,-7.815,-7.558,-7.6865000000000006,-7.558,-0.25700000000000056,1,1,9,9
PM48_43,B_only,-9.208,-9.726,-9.467,-9.208,0.5180000000000007,1,1,9,9
PM48_44,B_only,-7.881,-8.301,-8.091000000000001,-7.881,0.41999999999999993,1,1,9,9
PM48_45,neither,-9.597,-9.257,-9.427,-9.257,-0.33999999999999986,1,1,9,9
PM48_46,neither,-8.595,-9.285,-8.940000000000001,-8.595,0.6899999999999995,1,1,9,9
PM48_47,neither,-8.562,-8.442,-8.501999999999999,-8.442,-0.11999999999999922,1,1,9,9
PM48_48,neither,-8.174,-8.321,-8.247499999999999,-8.174,0.14700000000000024,1,1,9,9
