panel_id,pair,class,pref_name,amino_triazine_like,morpholine,morpholine_ATP_like,high_MCS_to_cognate,mcs_atoms_to_cognate,tanimoto_to_cognate,anilinoquinazoline,warhead_covalent,warning_flags,flags_enter_score,note
PM48_01,PIK3CA_mTOR,dual,PI-103,0,1,1,1,26,1.0,0,0,morpholine|morpholine_ATP_like|high_MCS_to_cognate,0,diagnostic only; do not gate score in v0
PM48_02,PIK3CA_mTOR,dual,OMIPALISIB,0,0,0,0,7,0.1,0,0,T5_anchor,0,diagnostic only; do not gate score in v0
PM48_03,PIK3CA_mTOR,dual,GEDATOLISIB,1,1,1,0,7,0.2262,0,0,amino_triazine_like|morpholine|morpholine_ATP_like|tanimoto_to_cognate_ge_0.20,0,diagnostic only; do not gate score in v0
PM48_04,PIK3CA_mTOR,dual,DACTOLISIB,0,0,0,0,7,0.1263,0,0,,0,diagnostic only; do not gate score in v0
PM48_05,PIK3CA_mTOR,dual,PICTILISIB,0,1,1,1,18,0.2667,0,0,morpholine|morpholine_ATP_like|high_MCS_to_cognate|tanimoto_to_cognate_ge_0.20,0,diagnostic only; do not gate score in v0
PM48_06,PIK3CA_mTOR,dual,APITOLISIB,0,1,1,1,13,0.2841,0,0,morpholine|morpholine_ATP_like|high_MCS_to_cognate|tanimoto_to_cognate_ge_0.20,0,diagnostic only; do not gate score in v0
PM48_07,PIK3CA_mTOR,dual,TORIN2,0,0,0,0,7,0.1319,0,0,,0,diagnostic only; do not gate score in v0
PM48_08,PIK3CA_mTOR,dual,PF-04691502,0,0,0,0,7,0.1327,0,0,,0,diagnostic only; do not gate score in v0
PM48_09,PIK3CA_mTOR,dual,BIMIRALISIB,1,1,1,0,7,0.2329,0,0,amino_triazine_like|morpholine|morpholine_ATP_like|tanimoto_to_cognate_ge_0.20,0,diagnostic only; do not gate score in v0
PM48_10,PIK3CA_mTOR,dual,TORIN1,0,0,0,0,7,0.1415,0,0,T5_anchor,0,diagnostic only; do not gate score in v0
PM48_11,PIK3CA_mTOR,dual,SAPANISERTIB,0,0,0,0,9,0.131,0,0,,0,diagnostic only; do not gate score in v0
PM48_12,PIK3CA_mTOR,dual,BUPARLISIB,0,1,1,1,12,0.2051,0,0,morpholine|morpholine_ATP_like|high_MCS_to_cognate|tanimoto_to_cognate_ge_0.20,0,diagnostic only; do not gate score in v0
PM48_13,PIK3CA_mTOR,dual,VISTUSERTIB,0,1,1,1,12,0.2471,0,0,morpholine|morpholine_ATP_like|high_MCS_to_cognate|tanimoto_to_cognate_ge_0.20,0,diagnostic only; do not gate score in v0
PM48_14,PIK3CA_mTOR,dual,VS-5584,0,1,1,0,7,0.2179,0,0,morpholine|morpholine_ATP_like|tanimoto_to_cognate_ge_0.20,0,diagnostic only; do not gate score in v0
PM48_15,PIK3CA_mTOR,dual,PAXALISIB,0,1,1,1,13,0.3026,0,0,morpholine|morpholine_ATP_like|high_MCS_to_cognate|tanimoto_to_cognate_ge_0.20,0,diagnostic only; do not gate score in v0
PM48_16,PIK3CA_mTOR,dual,VOXTALISIB,0,0,0,0,6,0.1059,0,0,,0,diagnostic only; do not gate score in v0
PM48_17,PIK3CA_mTOR,dual,SAMOTOLISIB,0,0,0,0,7,0.1146,0,0,,0,diagnostic only; do not gate score in v0
PM48_18,PIK3CA_mTOR,dual,ZSTK-474,1,1,1,0,7,0.2254,0,0,amino_triazine_like|morpholine|morpholine_ATP_like|tanimoto_to_cognate_ge_0.20,0,diagnostic only; do not gate score in v0
PM48_19,PIK3CA_mTOR,A_only,TASELISIB,0,0,0,0,7,0.1531,0,0,,0,diagnostic only; do not gate score in v0
PM48_20,PIK3CA_mTOR,A_only,,1,0,0,0,6,0.0962,0,0,amino_triazine_like|T2_anchor,0,diagnostic only; do not gate score in v0
PM48_21,PIK3CA_mTOR,A_only,,0,1,1,1,13,0.2716,0,0,morpholine|morpholine_ATP_like|high_MCS_to_cognate|tanimoto_to_cognate_ge_0.20|T2_anchor,0,diagnostic only; do not gate score in v0
PM48_22,PIK3CA_mTOR,A_only,ALPELISIB,0,0,0,0,6,0.1443,0,0,,0,diagnostic only; do not gate score in v0
PM48_23,PIK3CA_mTOR,A_only,,0,1,1,0,7,0.2159,0,0,morpholine|morpholine_ATP_like|tanimoto_to_cognate_ge_0.20,0,diagnostic only; do not gate score in v0
PM48_24,PIK3CA_mTOR,A_only,,0,1,0,0,7,0.1839,0,0,morpholine,0,diagnostic only; do not gate score in v0
PM48_25,PIK3CA_mTOR,A_only,SONOLISIB,0,0,0,0,2,0.0818,0,0,,0,diagnostic only; do not gate score in v0
PM48_26,PIK3CA_mTOR,A_only,,1,0,0,0,6,0.0857,0,0,amino_triazine_like|T2_anchor,0,diagnostic only; do not gate score in v0
PM48_27,PIK3CA_mTOR,A_only,,1,0,0,0,6,0.1319,0,0,amino_triazine_like,0,diagnostic only; do not gate score in v0
PM48_28,PIK3CA_mTOR,A_only,,0,1,1,0,7,0.2273,0,0,morpholine|morpholine_ATP_like|tanimoto_to_cognate_ge_0.20,0,diagnostic only; do not gate score in v0
PM48_29,PIK3CA_mTOR,A_only,,1,0,0,0,6,0.0842,0,0,amino_triazine_like,0,diagnostic only; do not gate score in v0
PM48_30,PIK3CA_mTOR,A_only,AZD-6482,0,1,1,1,12,0.2022,0,0,morpholine|morpholine_ATP_like|high_MCS_to_cognate|tanimoto_to_cognate_ge_0.20,0,diagnostic only; do not gate score in v0
PM48_31,PIK3CA_mTOR,A_only,,0,1,1,0,7,0.2268,0,0,morpholine|morpholine_ATP_like|tanimoto_to_cognate_ge_0.20,0,diagnostic only; do not gate score in v0
PM48_32,PIK3CA_mTOR,A_only,,0,0,0,0,6,0.1196,0,0,,0,diagnostic only; do not gate score in v0
PM48_33,PIK3CA_mTOR,B_only,,0,0,0,1,12,0.1398,0,0,high_MCS_to_cognate,0,diagnostic only; do not gate score in v0
PM48_34,PIK3CA_mTOR,B_only,WYE-132,0,1,1,1,18,0.1753,0,0,morpholine|morpholine_ATP_like|high_MCS_to_cognate|T1_anchor|vina_modes_lt_9,0,diagnostic only; do not gate score in v0
PM48_35,PIK3CA_mTOR,B_only,OSI-027,0,0,0,0,7,0.1562,0,0,,0,diagnostic only; do not gate score in v0
PM48_36,PIK3CA_mTOR,B_only,,0,1,1,1,18,0.1685,0,0,morpholine|morpholine_ATP_like|high_MCS_to_cognate,0,diagnostic only; do not gate score in v0
PM48_37,PIK3CA_mTOR,B_only,,0,1,1,1,18,0.202,0,0,morpholine|morpholine_ATP_like|high_MCS_to_cognate|tanimoto_to_cognate_ge_0.20,0,diagnostic only; do not gate score in v0
PM48_38,PIK3CA_mTOR,B_only,,0,0,0,1,12,0.15,0,0,high_MCS_to_cognate,0,diagnostic only; do not gate score in v0
PM48_39,PIK3CA_mTOR,B_only,,0,0,0,0,7,0.1573,0,0,,0,diagnostic only; do not gate score in v0
PM48_40,PIK3CA_mTOR,B_only,,0,1,0,0,7,0.1209,0,0,morpholine,0,diagnostic only; do not gate score in v0
PM48_41,PIK3CA_mTOR,B_only,,0,1,1,1,18,0.1935,0,0,morpholine|morpholine_ATP_like|high_MCS_to_cognate,0,diagnostic only; do not gate score in v0
PM48_42,PIK3CA_mTOR,B_only,AZD-8055,0,1,1,1,12,0.2022,0,0,morpholine|morpholine_ATP_like|high_MCS_to_cognate|tanimoto_to_cognate_ge_0.20,0,diagnostic only; do not gate score in v0
PM48_43,PIK3CA_mTOR,B_only,,0,1,1,1,18,0.1584,0,0,morpholine|morpholine_ATP_like|high_MCS_to_cognate,0,diagnostic only; do not gate score in v0
PM48_44,PIK3CA_mTOR,B_only,Ku-0063794,0,1,1,1,12,0.25,0,0,morpholine|morpholine_ATP_like|high_MCS_to_cognate|tanimoto_to_cognate_ge_0.20,0,diagnostic only; do not gate score in v0
PM48_45,PIK3CA_mTOR,neither,,0,0,0,0,7,0.1282,0,0,,0,diagnostic only; do not gate score in v0
PM48_46,PIK3CA_mTOR,neither,,0,0,0,0,8,0.1413,0,0,,0,diagnostic only; do not gate score in v0
PM48_47,PIK3CA_mTOR,neither,,0,0,0,0,8,0.0941,0,0,,0,diagnostic only; do not gate score in v0
PM48_48,PIK3CA_mTOR,neither,,0,0,0,0,8,0.1158,0,0,,0,diagnostic only; do not gate score in v0
