ligand,molecule_chembl_id,class,pchembl_PIK3CA,pchembl_PIK3CB,min_pchembl,label_rule,gray_excluded,smiles,vina_PIK3CA,vina_PIK3CB,rtm_PIK3CA,rtm_PIK3CB,vina_PIK3CA_hb,vina_PIK3CB_hb,vina_mean,vina_min,rtm_mean,rtm_min,rtm_PIK3CA_z,rtm_PIK3CB_z,rtm_min_z,prep
PAB_001,CHEMBL2322225,dual,6.66,6.79,6.66,strict_6.5_5.5,True,O=c1cc(N2CCOCC2)oc2c(-c3ccc4[nH]ccc4c3)csc12,-8.583,-8.602,51.97816232672045,45.48873577196629,8.583,8.602,8.592500000000001,8.583,48.73344904934337,45.48873577196629,0.10964001597670384,0.10741856302054902,0.10741856302054902,rdkit_meeko
PAB_002,CHEMBL1950037,dual,8.3,6.7,6.7,strict_6.5_5.5,True,CNC(=O)c1ccc2c(c1)OCCc1cc(C(=O)N(C)c3ccc(C(=O)N4CCN(C)CC4)cc3Cl)sc1-2,-7.484,-8.223,56.24663176221896,36.49643653503083,7.484,8.223,7.8535,7.484,46.371534148624896,36.49643653503083,0.36772919423944367,-0.4899568307653096,-0.4899568307653096,rdkit_meeko
PAB_003,CHEMBL6030119,dual,7.19,6.75,6.75,strict_6.5_5.5,True,CCNS(=O)(=O)c1cc(-c2sc(Nc3cccc(N4CCOCC4=O)n3)nc2C)cc2c1C(=O)N([C@@H](C)C(F)(F)F)C2,-7.885,-8.986,38.00737594610995,69.88790370849084,7.885,8.986,8.435500000000001,7.885,53.94763982730039,38.00737594610995,-0.7350910594456352,1.7283012950209033,-0.7350910594456352,rdkit_meeko
PAB_004,CHEMBL6018217,dual,8.3,8.15,8.15,strict_6.5_5.5,True,COc1ccc([C@@H]2OC(=O)N(c3cc(-c4cnc(N)nc4C(F)(F)F)nc(N4CCOCC4)n3)[C@H]2CO)cc1,-8.768,-8.369,65.49746772120791,48.80543909749711,8.768,8.369,8.5685,8.369,57.15145340935251,48.80543909749711,0.9270726982699522,0.32775341876263436,0.32775341876263436,rdkit_meeko
PAB_005,CHEMBL2165031,dual,7.41,8.15,7.41,strict_6.5_5.5,True,COc1ccc(Nc2ncc(N3CCN(C)CC3)cc2-c2nc(C)nc(N)n2)cn1,-8.757,-7.572,90.32856985783074,24.199496659226167,8.757,7.572,8.1645,7.572,57.26403325852846,24.199496659226167,2.428463030950334,-1.3068657332734617,-1.3068657332734617,rdkit_meeko
PAB_006,CHEMBL5781318,dual,7.02,7.6,7.02,strict_6.5_5.5,True,c1cc(-c2nc(N3CCOCC3)c3oc4ncc(N5CCOCC5)cc4c3n2)c2cc[nH]c2c1,-9.4,-8.344,71.96357919294653,32.05756927802492,9.4,8.344,8.872,8.344,52.01057423548572,32.05756927802492,1.318040332339796,-0.784839152377278,-0.784839152377278,rdkit_meeko
PAB_007,CHEMBL3799187,dual,8.0,8.05,8.0,strict_6.5_5.5,True,CN(C)C(=O)c1cc(CN2CCOc3ccc(F)cc32)c2oc(N3CCOCC3)cc(=O)c2c1,-8.433,-8.41,42.71792753180121,39.52261759646128,8.433,8.41,8.4215,8.41,41.12027256413124,39.52261759646128,-0.45027178024343634,-0.28892191682316615,-0.45027178024343634,rdkit_meeko
PAB_008,CHEMBL2165269,dual,6.97,7.64,6.97,strict_6.5_5.5,True,COc1ccc(Nc2ncccc2-c2nc(C)nc(N)n2)cn1,-8.254,-7.944,75.55261750732099,47.63738118591042,8.254,7.944,8.099,7.944,61.59499934661571,47.63738118591042,1.5350483168896991,0.2501571292583072,0.2501571292583072,rdkit_meeko
PAB_009,CHEMBL2165052,dual,7.92,8.52,7.92,strict_6.5_5.5,True,Cc1nc(N)nc(-c2cccnc2Nc2cccc(O)c2)n1,-8.728,-8.162,70.36872673981314,50.98048607248521,8.728,8.162,8.445,8.162,60.67460640614918,50.98048607248521,1.2216090083489666,0.47224589048214355,0.47224589048214355,rdkit_meeko
PAB_010,CHEMBL4167465,dual,7.7,7.04,7.04,strict_6.5_5.5,True,Cc1nc(NC(=O)[C@@H](N)C(C)C)sc1-c1cnc(Cl)c(NS(=O)(=O)c2ccc(Cl)cc2Cl)c1,-8.03,-8.003,31.70331027390689,29.37329753430743,8.03,8.003,8.0165,8.003,30.53830390410716,29.37329753430743,-1.1162607395005701,-0.963160385654871,-1.1162607395005701,rdkit_meeko
PAB_011,CHEMBL5929092,dual,7.5,6.56,6.56,strict_6.5_5.5,True,CNS(=O)(=O)c1cc(-c2sc(Nc3cccc(N4CCNC4=O)n3)nc2C)cc2c1C(=O)N([C@@H](C)C(F)(F)F)C2,-7.828,-9.297,47.88331175943716,65.28705618415604,7.828,9.297,8.5625,7.828,56.5851839717966,47.88331175943716,-0.13795145304723475,1.4226583188275481,-0.13795145304723475,rdkit_meeko
