target,ligand,status,n_modes,reason
PIK3CA,PAB_001,exists,9,
PIK3CB,PAB_038,exists,8,
PIK3CB,PAB_001,exists,9,
PIK3CA,PAB_038,exists,9,
PIK3CA,PAB_086,exists,9,
PIK3CA,PAB_096,exists,9,
PIK3CB,PAB_096,exists,9,
PIK3CB,PAB_086,exists,9,
PIK3CB,PAB_006,exists,9,
PIK3CA,PAB_006,exists,9,
PIK3CA,PAB_020,exists,9,
PIK3CB,PAB_020,exists,9,
PIK3CA,PAB_039,exists,9,
PIK3CB,PAB_039,exists,9,
PIK3CA,PAB_050,exists,9,
PIK3CB,PAB_050,exists,9,
PIK3CA,PAB_053,exists,8,
PIK3CB,PAB_053,exists,9,
PIK3CA,PAB_069,exists,9,
PIK3CB,PAB_069,exists,9,
PIK3CA,PAB_078,exists,9,
PIK3CB,PAB_078,exists,9,
PIK3CA,PAB_088,exists,9,
PIK3CB,PAB_088,exists,9,
PIK3CA,PAB_091,exists,9,
PIK3CA,PAB_097,exists,9,
PIK3CB,PAB_091,exists,9,
PIK3CB,PAB_097,exists,9,
PIK3CB,PAB_007,exists,9,
PIK3CA,PAB_007,exists,9,
PIK3CA,PAB_022,exists,9,
PIK3CB,PAB_022,exists,9,
PIK3CB,PAB_040,exists,9,
PIK3CA,PAB_040,exists,9,
PIK3CA,PAB_052,exists,9,
PIK3CB,PAB_052,exists,9,
PIK3CA,PAB_061,exists,9,
PIK3CA,PAB_064,exists,9,
PIK3CB,PAB_061,exists,9,
PIK3CB,PAB_064,exists,9,
PIK3CB,PAB_066,exists,9,
PIK3CA,PAB_066,exists,9,
PIK3CA,PAB_067,exists,9,
PIK3CB,PAB_067,exists,9,
PIK3CA,PAB_068,exists,9,
PIK3CB,PAB_068,exists,9,
PIK3CA,PAB_073,exists,9,
PIK3CB,PAB_073,exists,9,
PIK3CA,PAB_074,exists,9,
PIK3CB,PAB_074,exists,9,
PIK3CA,PAB_075,exists,9,
PIK3CB,PAB_075,exists,9,
PIK3CA,PAB_082,exists,9,
PIK3CA,PAB_085,exists,9,
PIK3CA,PAB_002,exists,9,
PIK3CB,PAB_002,exists,9,
PIK3CA,PAB_008,exists,9,
PIK3CB,PAB_008,exists,9,
PIK3CA,PAB_009,exists,9,
PIK3CB,PAB_009,exists,9,
PIK3CA,PAB_012,exists,9,
PIK3CB,PAB_012,exists,9,
PIK3CA,PAB_019,exists,9,
PIK3CB,PAB_019,exists,9,
PIK3CA,PAB_023,exists,9,
PIK3CB,PAB_023,exists,9,
PIK3CA,PAB_025,exists,7,
PIK3CB,PAB_025,exists,9,
PIK3CA,PAB_027,exists,9,
PIK3CB,PAB_027,exists,9,
PIK3CA,PAB_029,exists,9,
PIK3CB,PAB_029,exists,9,
PIK3CB,PAB_085,success,9,
PIK3CB,PAB_037,success,9,
PIK3CB,PAB_082,success,9,
PIK3CA,PAB_037,success,9,
PIK3CB,PAB_043,success,9,
PIK3CA,PAB_043,success,9,
PIK3CB,PAB_044,success,9,
PIK3CB,PAB_041,success,9,
PIK3CA,PAB_044,success,9,
PIK3CA,PAB_041,success,9,
PIK3CA,PAB_046,success,9,
PIK3CB,PAB_046,success,9,
PIK3CB,PAB_048,success,9,
PIK3CB,PAB_059,success,9,
PIK3CA,PAB_059,success,9,
PIK3CA,PAB_048,success,9,
PIK3CB,PAB_065,success,9,
PIK3CA,PAB_065,success,9,
PIK3CB,PAB_071,success,9,
PIK3CA,PAB_071,success,9,
PIK3CA,PAB_076,success,9,
PIK3CB,PAB_076,success,9,
PIK3CB,PAB_077,success,9,
PIK3CA,PAB_077,success,9,
PIK3CB,PAB_081,success,9,
PIK3CA,PAB_081,success,9,
PIK3CA,PAB_090,success,9,
PIK3CB,PAB_090,success,9,
PIK3CB,PAB_083,success,9,
PIK3CA,PAB_083,success,9,
PIK3CA,PAB_100,success,9,
PIK3CA,PAB_005,exists,9,
PIK3CB,PAB_005,exists,9,
PIK3CA,PAB_014,exists,9,
PIK3CB,PAB_014,exists,9,
PIK3CA,PAB_016,exists,9,
PIK3CB,PAB_016,exists,9,
PIK3CA,PAB_017,exists,9,
PIK3CB,PAB_017,exists,9,
PIK3CA,PAB_018,exists,9,
PIK3CB,PAB_018,exists,9,
PIK3CA,PAB_021,exists,9,
PIK3CB,PAB_021,exists,9,
PIK3CA,PAB_026,exists,9,
PIK3CB,PAB_026,exists,9,
PIK3CA,PAB_030,exists,9,
PIK3CB,PAB_030,exists,9,
PIK3CA,PAB_033,exists,9,
PIK3CB,PAB_033,exists,9,
PIK3CA,PAB_098,success,9,
PIK3CB,PAB_098,success,9,
PIK3CB,PAB_100,success,9,
PIK3CB,PAB_042,success,9,
PIK3CA,PAB_042,success,9,
PIK3CB,PAB_045,success,9,
PIK3CA,PAB_045,success,9,
PIK3CA,PAB_093,success,9,
PIK3CB,PAB_093,success,9,
PIK3CA,PAB_094,success,9,
PIK3CA,PAB_028,exists,9,
PIK3CB,PAB_028,exists,9,
PIK3CA,PAB_031,exists,9,
PIK3CB,PAB_031,exists,9,
PIK3CB,PAB_051,success,9,
PIK3CA,PAB_051,success,9,
PIK3CB,PAB_094,success,9,
PIK3CA,PAB_036,success,9,
PIK3CB,PAB_036,success,9,
PIK3CA,PAB_035,success,9,
PIK3CB,PAB_035,success,9,
PIK3CB,PAB_049,success,9,
PIK3CA,PAB_049,success,9,
PIK3CB,PAB_058,success,9,
PIK3CA,PAB_058,success,9,
PIK3CB,PAB_087,success,9,
PIK3CB,PAB_084,success,9,
PIK3CA,PAB_087,success,9,
PIK3CA,PAB_084,success,9,
PIK3CA,PAB_089,success,9,
PIK3CB,PAB_089,success,9,
PIK3CA,PAB_092,success,9,
PIK3CB,PAB_092,success,9,
PIK3CB,PAB_099,success,9,
PIK3CA,PAB_010,exists,9,
PIK3CB,PAB_010,exists,9,
PIK3CA,PAB_011,exists,9,
PIK3CB,PAB_011,exists,9,
PIK3CA,PAB_013,exists,9,
PIK3CB,PAB_013,exists,9,
PIK3CA,PAB_015,exists,9,
PIK3CB,PAB_015,exists,9,
PIK3CA,PAB_099,success,9,
PIK3CB,PAB_095,success,9,
PIK3CA,PAB_095,success,9,
PIK3CA,PAB_047,success,9,
PIK3CB,PAB_047,success,9,
PIK3CB,PAB_054,success,9,
PIK3CA,PAB_054,success,9,
PIK3CB,PAB_055,success,9,
PIK3CA,PAB_055,success,9,
PIK3CA,PAB_062,success,9,
PIK3CB,PAB_062,success,9,
PIK3CB,PAB_070,success,9,
PIK3CA,PAB_070,success,9,
PIK3CB,PAB_072,success,9,
PIK3CA,PAB_003,exists,9,
PIK3CB,PAB_003,exists,9,
PIK3CA,PAB_004,exists,9,
PIK3CB,PAB_004,exists,9,
PIK3CA,PAB_032,exists,9,
PIK3CB,PAB_032,exists,9,
PIK3CA,PAB_072,success,9,
PIK3CA,PAB_080,success,9,
PIK3CB,PAB_080,success,9,
PIK3CA,PAB_057,success,9,
PIK3CB,PAB_057,success,9,
PIK3CB,PAB_063,success,9,
PIK3CA,PAB_063,success,9,
PIK3CB,PAB_060,success,9,
PIK3CA,PAB_024,exists,9,
PIK3CB,PAB_024,exists,9,
PIK3CA,PAB_060,success,9,
PIK3CA,PAB_079,success,9,
PIK3CB,PAB_079,success,9,
PIK3CA,PAB_056,success,9,
PIK3CB,PAB_056,success,9,
PIK3CB,PAB_034,success,9,
PIK3CA,PAB_034,fail,0,timeout_900s_torsdof=23_E=4
