panel_id,molecule_chembl_id,class,pchembl_PIK3CA,pchembl_PIK3CB,min_pchembl,label_rule,gray_excluded,smiles
PAB_001,CHEMBL2322225,dual,6.66,6.79,6.66,strict_6.5_5.5,True,O=c1cc(N2CCOCC2)oc2c(-c3ccc4[nH]ccc4c3)csc12
PAB_002,CHEMBL1950037,dual,8.3,6.7,6.7,strict_6.5_5.5,True,CNC(=O)c1ccc2c(c1)OCCc1cc(C(=O)N(C)c3ccc(C(=O)N4CCN(C)CC4)cc3Cl)sc1-2
PAB_003,CHEMBL6030119,dual,7.19,6.75,6.75,strict_6.5_5.5,True,CCNS(=O)(=O)c1cc(-c2sc(Nc3cccc(N4CCOCC4=O)n3)nc2C)cc2c1C(=O)N([C@@H](C)C(F)(F)F)C2
PAB_004,CHEMBL6018217,dual,8.3,8.15,8.15,strict_6.5_5.5,True,COc1ccc([C@@H]2OC(=O)N(c3cc(-c4cnc(N)nc4C(F)(F)F)nc(N4CCOCC4)n3)[C@H]2CO)cc1
PAB_005,CHEMBL2165031,dual,7.41,8.15,7.41,strict_6.5_5.5,True,COc1ccc(Nc2ncc(N3CCN(C)CC3)cc2-c2nc(C)nc(N)n2)cn1
PAB_006,CHEMBL5781318,dual,7.02,7.6,7.02,strict_6.5_5.5,True,c1cc(-c2nc(N3CCOCC3)c3oc4ncc(N5CCOCC5)cc4c3n2)c2cc[nH]c2c1
PAB_007,CHEMBL3799187,dual,8.0,8.05,8.0,strict_6.5_5.5,True,CN(C)C(=O)c1cc(CN2CCOc3ccc(F)cc32)c2oc(N3CCOCC3)cc(=O)c2c1
PAB_008,CHEMBL2165269,dual,6.97,7.64,6.97,strict_6.5_5.5,True,COc1ccc(Nc2ncccc2-c2nc(C)nc(N)n2)cn1
PAB_009,CHEMBL2165052,dual,7.92,8.52,7.92,strict_6.5_5.5,True,Cc1nc(N)nc(-c2cccnc2Nc2cccc(O)c2)n1
PAB_010,CHEMBL4167465,dual,7.7,7.04,7.04,strict_6.5_5.5,True,Cc1nc(NC(=O)[C@@H](N)C(C)C)sc1-c1cnc(Cl)c(NS(=O)(=O)c2ccc(Cl)cc2Cl)c1
