ligand,gnina_cnn_PIK3CA,gnina_aff_PIK3CA,gnina_cnn_PIK3CB,gnina_aff_PIK3CB
PAB_001,0.9098057151,7.3460078239,0.8297380805,6.9784731865
PAB_002,0.6637259126,8.0477552414,0.1784975231,6.4484877586
PAB_003,0.1409074217,6.237639904,0.9477313757,8.7716207504
PAB_004,0.9404218197,8.3620901108,0.8925458193,8.2792797089
PAB_005,0.9744293094,8.2248048782,0.8628791571,7.4135575294
PAB_006,0.8277947903,7.8182883263,0.1237999424,5.6010055542
PAB_007,0.8194652796,7.692489624,0.4297764301,6.3302102089
PAB_008,0.9857903719,7.6219029427,0.9545609951,7.4286580086
PAB_009,0.9814097285,7.4568428993,0.8800740838,7.1166801453
PAB_010,0.1592093706,5.8624615669,0.2042097598,5.6076493263
PAB_011,0.7692761421,8.1195907593,0.9792019129,8.8519105911
PAB_012,0.9361063838,8.2942771912,0.9385532141,8.6101903915
PAB_013,0.124489814,5.7710323334,0.2295482606,5.5626540184
PAB_014,0.7857453227,7.0854802132,0.7236070037,7.1027150154
PAB_015,0.9795753956,8.6997280121,0.3874389231,7.6389222145
PAB_016,0.683470428,6.9592375755,0.8229615688,7.261390686
PAB_017,0.2831080854,6.8882098198,0.6608456969,7.1024708748
PAB_018,0.8080528975,8.4336767197,0.3231888413,7.4425506592
PAB_019,0.7663778067,7.4914946556,0.7222248912,7.5384635925
PAB_020,0.650451839,6.3880748749,0.6372357011,6.4212822914
PAB_021,0.9214916825,7.7819538116,0.2391355187,6.0716762543
PAB_022,0.6011886597,7.1715025902,0.4655998945,6.7798352242
PAB_023,0.2226191163,5.8915171623,0.6795224547,7.7617759705
PAB_024,0.1051686779,5.5670166016,0.2831757963,7.5473761559
PAB_025,0.0697069541,6.3569502831,0.2318340242,7.8984360695
PAB_026,0.79092592,7.3874287605,0.9278039932,7.8907980919
PAB_027,0.874987483,7.4792962074,0.8934737444,7.9989991188
PAB_028,0.9681220651,7.4102535248,0.9502065778,8.048541069
PAB_029,0.1598129123,5.757209301,0.2855488956,6.4445114136
PAB_030,0.9539741278,7.9709811211,0.2378373146,6.22179842
PAB_031,0.1378768086,5.9905772209,0.3786883056,7.769651413
PAB_032,0.3731773794,6.7865567207,0.9228622913,7.8820986748
PAB_033,0.4919415414,6.2739653587,0.9045150876,7.5708999634
PAB_034,,,0.2460333854,7.4299941063
PAB_035,0.8623184562,8.1118593216,0.8854968548,7.8460898399
PAB_036,0.980066359,7.6093583107,0.9183483124,7.260538578
PAB_037,0.4281382561,5.9770064354,0.208696112,6.0255866051
PAB_038,0.3816900849,6.8586506844,0.443382144,6.8306746483
PAB_039,0.141786918,5.9823226929,0.3909518123,6.9301772118
PAB_040,0.1582213938,5.7345290184,0.2683759928,6.7468681335
PAB_041,0.8946081996,8.4179229736,0.7716774344,7.8346328735
PAB_042,0.9580866098,7.9190483093,0.3309925795,6.4772810936
PAB_043,0.1386402547,5.523815155,0.2673401833,6.0921807289
PAB_044,0.2604126334,5.721514225,0.4140170813,7.0253863335
PAB_045,0.3071791232,6.5961284637,0.2571693063,6.0913276672
PAB_046,0.2975090444,5.9554991722,0.1964053959,6.1583461761
PAB_047,0.9083388448,7.7470374107,0.6111444235,6.9700837135
PAB_048,0.6660946012,7.5063285828,0.7775679231,7.9880027771
PAB_049,0.1242399737,5.9678378105,0.4757589698,7.6185564995
PAB_050,0.8383687735,7.0941252708,0.915656209,7.4282970428
PAB_051,0.7562536597,7.8437180519,0.6873623729,7.5933818817
PAB_052,0.10414882,6.1123809814,0.1652076542,4.3981146812
PAB_053,0.9332880974,7.9361858368,0.8966004252,7.8516249657
PAB_054,0.2541024089,7.1943526268,0.3082755208,6.8612599373
PAB_055,0.7372591496,7.6027507782,0.9575071335,7.9569072723
PAB_056,0.8706483245,7.6796035767,0.6621473432,7.170527935
PAB_057,0.6521610022,7.0842041969,0.9069966674,7.9585833549
PAB_058,0.8295050859,7.3429069519,0.8485785723,7.0664172173
PAB_059,0.2525544465,5.9540405273,0.9829538465,7.9301109314
PAB_060,0.9550259709,8.5310468674,0.4234848917,7.58984375
PAB_061,0.8541883826,7.3248691559,0.6656247377,7.2809028625
PAB_062,0.9047709107,7.530356884,0.8790739775,7.5403137207
PAB_063,0.8985019326,7.8731799126,0.8193477988,7.7315788269
PAB_064,0.259544462,5.5840053558,0.955748558,7.7143630981
PAB_065,0.7838039398,6.9624142647,0.2410228103,5.1735482216
PAB_066,0.7400073409,7.0561995506,0.9682846665,8.2503128052
PAB_067,0.335082382,6.8862838745,0.940828979,7.9061865807
PAB_068,0.771048665,6.3735542297,0.9480486512,7.40802145
PAB_069,0.8915825486,6.8426094055,0.9769480228,7.6409034729
PAB_070,0.6190193892,7.3896269798,0.7551966906,7.9945449829
PAB_071,0.646209836,6.827085495,0.8147567511,7.4755330086
PAB_072,0.9446315169,8.4148130417,0.401691854,6.8496055603
PAB_073,0.800999701,6.8227558136,0.9465840459,7.5278887749
PAB_074,0.7117061019,7.2491111755,0.9469755888,8.0009946823
PAB_075,0.704349637,6.9851374626,0.9128139615,7.5185604095
PAB_076,0.7774472833,6.6219649315,0.954041481,7.3356423378
PAB_077,0.6537042856,6.3325390816,0.9563322663,7.1929516792
PAB_078,0.5348613858,6.5375552177,0.9380269051,7.6202888489
PAB_079,0.9364311695,7.9366593361,0.8566815257,7.4600968361
PAB_080,0.5034250617,6.8343276978,0.9027968049,7.9789528847
PAB_081,0.9689068198,7.6426310539,0.9510165453,7.8115181923
PAB_082,0.9127960205,7.1773495674,0.9751830101,7.5320839882
PAB_083,0.4279159307,7.2598838806,0.8726044297,7.7434735298
PAB_084,0.0642791912,5.0358252525,0.8633982539,8.382850647
PAB_085,0.8033033013,6.8719100952,0.924767375,7.3572440147
PAB_086,0.9699888229,6.526866436,0.9235829711,6.4625525475
PAB_087,0.2376565039,7.1127591133,0.8628764153,8.3018007278
PAB_088,0.8875276446,5.9908943176,0.8517689705,6.2937259674
PAB_089,0.3432493806,7.4103565216,0.128357932,4.6381297112
PAB_090,0.8915534019,7.191016674,0.6631239653,7.3273997307
PAB_091,0.9498231411,7.4637160301,0.9041016102,7.6302390099
PAB_092,0.2741175294,7.0316596031,0.8698804975,8.0442895889
PAB_093,0.6409397125,7.418238163,0.9324956536,8.2430963516
PAB_094,0.843116045,6.8999590874,0.9269193411,7.1492614746
PAB_095,0.5246755481,7.8927664757,0.6971153617,8.1520376205
PAB_096,0.4310455322,5.7005543709,0.646456182,6.2425141335
PAB_097,0.886187911,7.1630568504,0.9353565574,7.2372550964
PAB_098,0.9872099757,7.7142033577,0.9469821453,7.8094916344
PAB_099,0.2848976851,7.0160598755,0.9887786508,8.7539615631
PAB_100,0.4248092175,6.1682372093,0.3670827746,6.1829838753
