ligand,gnina_cnn_PIK3CA,gnina_aff_PIK3CA,gnina_cnn_PIK3CB,gnina_aff_PIK3CB
PAB_001,0.2814975977,5.7999739647,0.8014417887,7.0979828835
PAB_002,0.0951369703,5.6687450409,0.0677607656,6.1492366791
PAB_003,0.0537728295,5.6419911385,0.7021547556,8.4631471634
PAB_004,0.9404218197,8.3620901108,0.8925458193,8.2792797089
PAB_005,0.9744293094,8.2248048782,0.5350555182,6.6093220711
PAB_006,0.1557620764,6.1054329872,0.0773529485,4.6316256523
PAB_007,0.8194652796,7.692489624,0.3516733646,7.7307071686
PAB_008,0.9857903719,7.6219029427,0.6956811547,6.7975459099
PAB_009,0.9814097285,7.4568428993,0.8608862162,7.07654953
PAB_010,0.0948791504,5.3344249725,0.1785012782,6.4596333504
PAB_011,0.0247048102,5.1553635597,0.210344702,7.0017910004
PAB_012,0.9361063838,8.2942771912,0.7035218477,8.0891103745
PAB_013,0.065150544,5.073902607,0.201949805,6.8990235329
PAB_014,0.7857453227,7.0854802132,0.7236070037,7.1027150154
PAB_015,0.9795753956,8.6997280121,0.3874389231,7.6389222145
PAB_016,0.0796182975,4.9368839264,0.1935065836,6.1754169464
PAB_017,0.2831080854,6.8882098198,0.6608456969,7.1024708748
PAB_018,0.8080528975,8.4336767197,0.3231888413,7.4425506592
PAB_019,0.7663778067,7.4914946556,0.1458603293,5.7025828362
PAB_020,0.5930172801,6.2357234955,0.5603554249,6.4276909828
PAB_021,0.0898616388,5.351626873,0.2391355187,6.0716762543
PAB_022,0.6011886597,7.1715025902,0.3997324705,7.8506197929
PAB_023,0.2226191163,5.8915171623,0.6795224547,7.7617759705
PAB_024,0.0574862473,4.984003067,0.0534228198,5.9241600037
PAB_025,0.0451133959,5.5884742737,0.1381507516,5.8286056519
PAB_026,0.79092592,7.3874287605,0.7600092292,7.5677218437
PAB_027,0.5536785722,7.2048993111,0.851819396,8.0091581345
PAB_028,0.6390343308,6.8082556725,0.4943521917,6.3227043152
PAB_029,0.1456551999,6.1941661835,0.254558295,6.3050732613
PAB_030,0.9539741278,7.9709811211,0.1949843913,6.2619729042
PAB_031,0.0915642157,5.3390216827,0.3591113389,7.7817497253
PAB_032,0.3687889278,7.0129847527,0.9228622913,7.8820986748
PAB_033,0.2577711046,5.6814842224,0.9045150876,7.5708999634
PAB_034,,,0.1564098895,7.7050623894
PAB_035,0.8465799093,7.9310894012,0.5600401163,7.473429203
PAB_036,0.7203402519,6.74132967,0.8012275696,7.1131176949
PAB_037,0.4281382561,5.9770064354,0.1713148803,5.7170586586
PAB_038,0.2359465659,6.0182609558,0.4133392572,6.9364032745
PAB_039,0.141786918,5.9823226929,0.1651673317,5.481071949
PAB_040,0.0919553265,5.4762749672,0.1121620536,5.9120249748
PAB_041,0.7204694152,7.7291150093,0.5531708598,7.7134575844
PAB_042,0.0810296908,5.0791049004,0.1611535251,4.9699211121
PAB_043,0.1202386543,5.8119697571,0.1449217647,5.6555151939
PAB_044,0.104889594,6.172914505,0.0986274704,5.9297738075
PAB_045,0.1334186941,5.7555251122,0.2410544604,6.4888253212
PAB_046,0.2975090444,5.9554991722,0.1514996737,5.2905426025
PAB_047,0.702475071,7.3326835632,0.0322002582,4.1915764809
PAB_048,0.6618568301,7.6161017418,0.0629444048,5.1459522247
PAB_049,0.0524760149,5.6796488762,0.1323924214,6.3789429665
PAB_050,0.7974129319,7.1368460655,0.1963330805,5.6425890923
PAB_051,0.3676225245,7.2903351784,0.6227566004,7.5732116699
PAB_052,0.0906554461,5.7176890373,0.0875689238,5.459505558
PAB_053,0.9332880974,7.9361858368,0.5709159374,7.4266734123
PAB_054,0.1465021819,6.5553088188,0.2025087625,6.0325789452
PAB_055,0.7362037301,7.4852757454,0.9257783294,7.262878418
PAB_056,0.7159027457,7.2592482567,0.6621473432,7.170527935
PAB_057,0.2707891464,6.5442347527,0.118345812,5.7085609436
PAB_058,0.2392155081,5.8315124512,0.7556146979,7.1305069923
PAB_059,0.2271097153,5.2161078453,0.9582562447,8.0293283463
PAB_060,0.9550259709,8.5310468674,0.1754763722,6.878692627
PAB_061,0.1498989016,5.4199929237,0.6656247377,7.2809028625
PAB_062,0.1411674321,6.5253295898,0.3637647331,7.0353045464
PAB_063,0.8985019326,7.8731799126,0.4630309939,7.2407164574
PAB_064,0.2572860718,5.947511673,0.955748558,7.7143630981
PAB_065,0.1530524492,5.2871618271,0.1531149596,5.248570919
PAB_066,0.6993293762,7.3356957436,0.9682846665,8.2503128052
PAB_067,0.1534289718,5.6282963753,0.239020884,6.3268094063
PAB_068,0.2317592651,5.4978084564,0.9480486512,7.40802145
PAB_069,0.86939013,6.8471226692,0.9769480228,7.6409034729
PAB_070,0.5099265575,7.3213095665,0.7551966906,7.9945449829
PAB_071,0.3420448899,6.7269687653,0.8147567511,7.4755330086
PAB_072,0.069197692,5.6746940613,0.401691854,6.8496055603
PAB_073,0.4029391408,6.3955721855,0.9068592787,7.5673851967
PAB_074,0.1592486054,5.9990067482,0.4082271755,6.7705111504
PAB_075,0.5999590755,6.6589064598,0.9117940068,7.0738959312
PAB_076,0.7774472833,6.6219649315,0.954041481,7.3356423378
PAB_077,0.1915377527,5.4022631645,0.9563322663,7.1929516792
PAB_078,0.3025830686,5.6879501343,0.9380269051,7.6202888489
PAB_079,0.9021490216,7.7096595764,0.6618093848,6.9328942299
PAB_080,0.0633527637,4.7935481071,0.9027968049,7.9789528847
PAB_081,0.2133438736,5.3965759277,0.9510165453,7.8115181923
PAB_082,0.263584733,5.4841675758,0.9472875595,7.6792626381
PAB_083,0.2999756932,6.9443740845,0.2408520579,7.193046093
