target,ligand,mode,status,cnn_score,cnn_affinity,reason
PIK3CA,PAB_001,mode_01,success,0.2814975977,5.7999739647,
PIK3CA,PAB_006,mode_01,success,0.1557620764,6.1054329872,
PIK3CA,PAB_002,mode_01,success,0.0951369703,5.6687450409,
PIK3CA,PAB_004,mode_01,success,0.9404218197,8.3620901108,
PIK3CA,PAB_005,mode_01,success,0.9744293094,8.2248048782,
PIK3CA,PAB_003,mode_01,success,0.0537728295,5.6419911385,
PIK3CA,PAB_012,mode_01,success,0.9361063838,8.2942771912,
PIK3CA,PAB_008,mode_01,success,0.9857903719,7.6219029427,
PIK3CA,PAB_010,mode_01,success,0.0948791504,5.3344249725,
PIK3CA,PAB_009,mode_01,success,0.9814097285,7.4568428993,
PIK3CA,PAB_011,mode_01,success,0.0247048102,5.1553635597,
PIK3CA,PAB_007,mode_01,success,0.8194652796,7.692489624,
PIK3CA,PAB_015,mode_01,success,0.9795753956,8.6997280121,
PIK3CA,PAB_016,mode_01,success,0.0796182975,4.9368839264,
PIK3CA,PAB_013,mode_01,success,0.065150544,5.073902607,
PIK3CA,PAB_018,mode_01,success,0.8080528975,8.4336767197,
PIK3CA,PAB_017,mode_01,success,0.2831080854,6.8882098198,
PIK3CA,PAB_014,mode_01,success,0.7857453227,7.0854802132,
PIK3CA,PAB_019,mode_01,success,0.7663778067,7.4914946556,
PIK3CA,PAB_022,mode_01,success,0.6011886597,7.1715025902,
PIK3CA,PAB_021,mode_01,success,0.0898616388,5.351626873,
PIK3CA,PAB_020,mode_01,success,0.5930172801,6.2357234955,
PIK3CA,PAB_023,mode_01,success,0.2226191163,5.8915171623,
PIK3CA,PAB_024,mode_01,success,0.0574862473,4.984003067,
PIK3CA,PAB_025,mode_01,success,0.0451133959,5.5884742737,
PIK3CA,PAB_027,mode_01,success,0.5536785722,7.2048993111,
PIK3CA,PAB_028,mode_01,success,0.6390343308,6.8082556725,
PIK3CA,PAB_029,mode_01,success,0.1456551999,6.1941661835,
PIK3CA,PAB_026,mode_01,success,0.79092592,7.3874287605,
PIK3CA,PAB_030,mode_01,success,0.9539741278,7.9709811211,
PIK3CA,PAB_031,mode_01,success,0.0915642157,5.3390216827,
PIK3CA,PAB_033,mode_01,success,0.2577711046,5.6814842224,
PIK3CA,PAB_032,mode_01,success,0.3687889278,7.0129847527,
PIK3CA,PAB_035,mode_01,success,0.8465799093,7.9310894012,
PIK3CA,PAB_036,mode_01,success,0.7203402519,6.74132967,
PIK3CA,PAB_037,mode_01,success,0.4281382561,5.9770064354,
PIK3CA,PAB_038,mode_01,success,0.2359465659,6.0182609558,
PIK3CA,PAB_039,mode_01,success,0.141786918,5.9823226929,
PIK3CA,PAB_042,mode_01,success,0.0810296908,5.0791049004,
PIK3CA,PAB_041,mode_01,success,0.7204694152,7.7291150093,
