ligand,target,vina_mode,rtmscore
PAB_018,PIK3CA,1,92.04252263669376
PAB_015,PIK3CA,1,91.26026167687311
PAB_091,PIK3CA,2,90.54715665801388
PAB_005,PIK3CA,1,90.32856985783074
PAB_036,PIK3CA,3,90.06006511939165
PAB_015,PIK3CA,5,89.17446758441157
PAB_012,PIK3CA,1,80.05625706385217
PAB_053,PIK3CA,1,78.19064697975409
PAB_072,PIK3CA,4,76.88150007734077
PAB_008,PIK3CA,1,75.55261750732099
PAB_041,PIK3CA,6,74.30784856279384
PAB_072,PIK3CA,2,73.9556371657676
PAB_026,PIK3CA,1,72.99920064425152
PAB_006,PIK3CA,5,71.96357919294653
PAB_035,PIK3CA,9,71.9627456596614
PAB_060,PIK3CA,1,70.98046095300111
PAB_009,PIK3CA,1,70.36872673981314
PAB_035,PIK3CA,7,67.96518785965804
PAB_098,PIK3CA,1,67.08139102580117
PAB_074,PIK3CA,5,65.95568161018814
PAB_004,PIK3CA,1,65.49746772120791
PAB_028,PIK3CA,2,65.13170912049415
PAB_097,PIK3CA,6,65.03980391083525
PAB_056,PIK3CA,1,64.46270972091227
PAB_047,PIK3CA,2,64.30624773817837
PAB_047,PIK3CA,1,64.24087208555794
PAB_015,PIK3CA,2,64.2301607429738
PAB_093,PIK3CA,8,63.84054457124344
PAB_047,PIK3CA,4,63.566990560297576
PAB_027,PIK3CA,1,63.54795668020077
PAB_060,PIK3CA,4,59.46879608547916
PAB_060,PIK3CA,7,59.17774713517435
PAB_005,PIK3CA,2,59.02196932888213
PAB_091,PIK3CA,6,58.63756979812756
PAB_036,PIK3CA,4,58.380841130296055
PAB_066,PIK3CA,7,58.36001550563599
PAB_056,PIK3CA,2,57.82601580878862
PAB_097,PIK3CA,1,57.37038647637659
PAB_009,PIK3CA,3,56.5823531036306
PAB_076,PIK3CA,7,56.44064015933367
PAB_069,PIK3CA,2,56.3563810783193
PAB_066,PIK3CA,1,56.260513790179886
PAB_002,PIK3CA,5,56.24663176221896
PAB_075,PIK3CA,3,56.100107973631786
PAB_073,PIK3CA,2,55.47565920633642
PAB_068,PIK3CA,6,55.32051304014467
PAB_065,PIK3CA,2,54.8015995528717
PAB_008,PIK3CA,5,54.362484311973645
PAB_070,PIK3CA,2,54.22873036559735
PAB_098,PIK3CA,6,54.149869863016136
PAB_027,PIK3CA,3,54.05378782974361
PAB_082,PIK3CA,2,54.031619048738925
PAB_056,PIK3CA,6,53.93019103695189
PAB_079,PIK3CA,2,53.84108011579595
PAB_079,PIK3CA,3,53.81347025584771
PAB_028,PIK3CA,3,53.3204753529649
PAB_083,PIK3CA,1,53.19239156796169
PAB_098,PIK3CA,4,52.96949392039572
PAB_063,PIK3CA,1,52.80053344777375
PAB_076,PIK3CA,1,52.42817925342962
PAB_094,PIK3CA,2,52.29038978144633
PAB_050,PIK3CA,1,52.20176969846654
PAB_070,PIK3CA,3,52.03696711195859
PAB_001,PIK3CA,2,51.97816232672045
PAB_070,PIK3CA,1,51.711526291061205
PAB_068,PIK3CA,5,51.25669870336677
PAB_069,PIK3CA,1,50.585060982115294
PAB_088,PIK3CA,1,50.52592118806996
PAB_080,PIK3CA,3,50.51236957868028
PAB_060,PIK3CA,9,50.39520830711668
PAB_014,PIK3CA,1,50.35746800077365
PAB_019,PIK3CA,1,50.23980106300192
PAB_021,PIK3CA,2,50.22058427213678
PAB_014,PIK3CA,6,50.21572738402378
PAB_061,PIK3CA,2,50.08554672083648
PAB_079,PIK3CA,9,49.67299697996828
PAB_079,PIK3CA,1,49.50255158901342
PAB_076,PIK3CA,3,48.98879920250214
PAB_054,PIK3CA,4,48.985800422512725
PAB_015,PIK3CA,7,48.79684986564893
PAB_094,PIK3CA,4,48.715156837632776
PAB_088,PIK3CA,2,48.66919856981813
PAB_081,PIK3CA,6,48.59593960628886
PAB_014,PIK3CA,5,48.37458635430417
PAB_073,PIK3CA,1,48.09342391234252
PAB_011,PIK3CA,4,47.88331175943716
PAB_077,PIK3CA,3,47.83836895729388
PAB_061,PIK3CA,5,47.83401186649424
PAB_068,PIK3CA,2,47.8307356208206
PAB_047,PIK3CA,6,47.79979230359918
PAB_056,PIK3CA,7,47.45780615902113
PAB_056,PIK3CA,5,47.24895856193591
PAB_061,PIK3CA,6,47.04271883533206
PAB_095,PIK3CA,3,47.01361033219039
PAB_062,PIK3CA,1,46.676613675938206
PAB_087,PIK3CA,9,46.61707187508296
PAB_014,PIK3CA,3,46.38683974319407
PAB_080,PIK3CA,9,46.283727907838944
PAB_098,PIK3CA,5,46.057393194036656
PAB_036,PIK3CA,6,46.03400115905365
PAB_026,PIK3CA,9,45.64795451992167
PAB_058,PIK3CA,4,45.2914575221218
PAB_095,PIK3CA,1,45.28561330712839
PAB_042,PIK3CA,5,45.22567146221805
PAB_050,PIK3CA,6,45.11328109879298
PAB_030,PIK3CA,1,45.05802644487351
PAB_077,PIK3CA,4,44.99499854902969
PAB_018,PIK3CA,7,44.7213449723111
PAB_016,PIK3CA,7,44.58545496192375
PAB_015,PIK3CA,3,44.50161811516493
PAB_032,PIK3CA,3,44.45766361004328
PAB_002,PIK3CA,1,44.39161751615555
PAB_033,PIK3CA,4,44.36395385090562
PAB_058,PIK3CA,3,44.3157812266604
PAB_018,PIK3CA,6,44.26505727620565
PAB_095,PIK3CA,2,43.822517542559936
PAB_093,PIK3CA,1,43.7892581762946
PAB_083,PIK3CA,4,43.1540156076485
PAB_028,PIK3CA,8,42.93942040097485
PAB_001,PIK3CA,3,42.883614338437184
PAB_041,PIK3CA,2,42.84383103385173
PAB_019,PIK3CA,9,42.80211996998502
PAB_075,PIK3CA,1,42.72882893306428
PAB_007,PIK3CA,8,42.71792753180121
PAB_077,PIK3CA,7,42.70004132001487
PAB_057,PIK3CA,8,42.68331806498284
PAB_069,PIK3CA,3,42.67809124684589
PAB_079,PIK3CA,6,42.607970993671096
PAB_048,PIK3CA,4,42.45532302928
PAB_080,PIK3CA,5,42.413782442622406
PAB_098,PIK3CA,3,42.39967247944291
PAB_079,PIK3CA,8,42.24320194401714
PAB_090,PIK3CA,1,42.17832949078934
PAB_061,PIK3CA,7,42.13605509198469
PAB_051,PIK3CA,3,42.03329525247557
PAB_007,PIK3CA,1,42.0215011697193
PAB_019,PIK3CA,7,41.90192295303056
PAB_038,PIK3CA,2,41.81878602656261
PAB_022,PIK3CA,2,41.6970117061984
PAB_085,PIK3CA,8,41.66701499802412
PAB_048,PIK3CA,1,41.61662790689677
PAB_076,PIK3CA,4,41.60671731594302
PAB_026,PIK3CA,2,41.51368023548692
PAB_090,PIK3CA,4,41.45301568770677
PAB_020,PIK3CA,3,41.40355266758386
PAB_088,PIK3CA,5,41.38811021574376
PAB_062,PIK3CA,5,41.360799061068015
PAB_050,PIK3CA,2,41.15287744968048
PAB_019,PIK3CA,3,41.0683237636982
PAB_015,PIK3CA,8,41.048339044146445
PAB_060,PIK3CA,3,41.03393188147562
PAB_083,PIK3CA,3,40.9731633240906
PAB_006,PIK3CA,2,40.72793385328028
PAB_032,PIK3CA,2,40.63354865217468
PAB_092,PIK3CA,5,40.53694503841112
