ligand,target,vina_mode,vina_score
PAB_001,PIK3CA,1,-8.583
PAB_001,PIK3CA,2,-8.444
PAB_001,PIK3CA,3,-8.246
PAB_001,PIK3CA,4,-8.171
PAB_001,PIK3CA,5,-7.814
PAB_001,PIK3CA,6,-7.462
PAB_001,PIK3CA,7,-7.42
PAB_001,PIK3CA,8,-6.947
PAB_001,PIK3CA,9,-6.327
PAB_001,PIK3CB,1,-8.602
PAB_001,PIK3CB,2,-8.298
PAB_001,PIK3CB,3,-7.605
PAB_001,PIK3CB,4,-7.567
PAB_001,PIK3CB,5,-7.432
PAB_001,PIK3CB,6,-7.23
PAB_001,PIK3CB,7,-7.205
PAB_001,PIK3CB,8,-6.907
PAB_001,PIK3CB,9,-6.902
PAB_002,PIK3CA,1,-7.484
PAB_002,PIK3CA,2,-7.391
PAB_002,PIK3CA,3,-7.15
PAB_002,PIK3CA,4,-7.117
PAB_002,PIK3CA,5,-7.006
PAB_002,PIK3CA,6,-6.992
PAB_002,PIK3CA,7,-6.92
PAB_002,PIK3CA,8,-6.816
PAB_002,PIK3CA,9,-6.801
PAB_002,PIK3CB,1,-8.223
PAB_002,PIK3CB,2,-7.946
PAB_002,PIK3CB,3,-7.883
PAB_002,PIK3CB,4,-7.83
PAB_002,PIK3CB,5,-7.657
PAB_002,PIK3CB,6,-7.611
PAB_002,PIK3CB,7,-7.506
PAB_002,PIK3CB,8,-7.282
PAB_002,PIK3CB,9,-7.114
PAB_003,PIK3CA,1,-7.885
PAB_003,PIK3CA,2,-7.65
PAB_003,PIK3CA,3,-7.647
PAB_003,PIK3CA,4,-7.634
PAB_003,PIK3CA,5,-7.531
PAB_003,PIK3CA,6,-7.503
PAB_003,PIK3CA,7,-7.406
PAB_003,PIK3CA,8,-7.364
PAB_003,PIK3CA,9,-7.268
PAB_003,PIK3CB,1,-8.986
PAB_003,PIK3CB,2,-8.862
PAB_003,PIK3CB,3,-8.752
PAB_003,PIK3CB,4,-8.733
PAB_003,PIK3CB,5,-8.726
PAB_003,PIK3CB,6,-8.703
PAB_003,PIK3CB,7,-8.496
PAB_003,PIK3CB,8,-8.455
PAB_003,PIK3CB,9,-8.224
PAB_004,PIK3CA,1,-8.768
PAB_004,PIK3CA,2,-8.138
PAB_004,PIK3CA,3,-8.055
PAB_004,PIK3CA,4,-7.867
PAB_004,PIK3CA,5,-7.855
PAB_004,PIK3CA,6,-7.762
PAB_004,PIK3CA,7,-7.657
PAB_004,PIK3CA,8,-7.582
PAB_004,PIK3CA,9,-7.474
PAB_004,PIK3CB,1,-8.369
PAB_004,PIK3CB,2,-7.973
PAB_004,PIK3CB,3,-7.92
PAB_004,PIK3CB,4,-7.789
PAB_004,PIK3CB,5,-7.786
PAB_004,PIK3CB,6,-7.766
PAB_004,PIK3CB,7,-7.676
PAB_004,PIK3CB,8,-7.675
PAB_004,PIK3CB,9,-7.573
