pair,subset,arm,n_dual,n_A_only,n_B_only,auroc_dual_vs_A_only,auroc_dual_vs_B_only,auroc_dual_vs_pooled
EGFR_HER2,all_110,vina_mean,28,38,32,0.6889,0.3114,0.5163
EGFR_HER2,all_110,vina_min,28,38,32,0.6711,0.2712,0.4883
EGFR_HER2,all_110,rtm_mean,28,38,32,0.5686,0.3203,0.4551
EGFR_HER2,all_110,rtm_min_z,28,38,32,0.5874,0.317,0.4638
EGFR_HER2,all_110,MW,28,38,32,0.6476,0.4163,0.5418
EGFR_HER2,all_110,cLogP,28,38,32,0.5263,0.4821,0.5061
EGFR_HER2,all_110,heavy_atoms,28,38,32,0.6997,0.3694,0.5487
EGFR_HER2,old_40_ligprep,vina_mean,15,12,10,0.6278,0.4533,0.5485
EGFR_HER2,old_40_ligprep,vina_min,15,12,10,0.6278,0.42,0.5333
EGFR_HER2,old_40_ligprep,rtm_mean,15,12,10,0.7833,0.5667,0.6848
EGFR_HER2,old_40_ligprep,rtm_min_z,15,12,10,0.8,0.6067,0.7121
EGFR_HER2,old_40_ligprep,MW,15,12,10,0.7056,0.5333,0.6273
EGFR_HER2,old_40_ligprep,cLogP,15,12,10,0.6167,0.6,0.6091
EGFR_HER2,old_40_ligprep,heavy_atoms,15,12,10,0.7472,0.51,0.6394
EGFR_HER2,new_70_rdkit,vina_mean,13,26,22,0.7249,0.2378,0.5016
EGFR_HER2,new_70_rdkit,vina_min,13,26,22,0.6953,0.1853,0.4615
EGFR_HER2,new_70_rdkit,rtm_mean,13,26,22,0.3964,0.1154,0.2676
EGFR_HER2,new_70_rdkit,rtm_min_z,13,26,22,0.4438,0.1014,0.2869
EGFR_HER2,new_70_rdkit,MW,13,26,22,0.6006,0.2937,0.4599
EGFR_HER2,new_70_rdkit,cLogP,13,26,22,0.4408,0.3392,0.3942
EGFR_HER2,new_70_rdkit,heavy_atoms,13,26,22,0.6435,0.2378,0.4575
PIK3CA_mTOR,all_48,vina_mean,18,14,12,0.6984,0.5972,0.6517
PIK3CA_mTOR,all_48,vina_min,18,14,12,0.6825,0.588,0.6389
PIK3CA_mTOR,all_48,rtm_mean,18,14,12,0.619,0.7639,0.6859
PIK3CA_mTOR,all_48,rtm_min_z,18,14,12,0.6111,0.7917,0.6944
PIK3CA_mTOR,all_48,MW,18,14,12,0.4484,0.4722,0.4594
PIK3CA_mTOR,all_48,cLogP,18,14,12,0.5198,0.3102,0.4231
PIK3CA_mTOR,all_48,heavy_atoms,18,14,12,0.4643,0.463,0.4637
