pair,ligand_id,molecule_chembl_id,activity_source_kind,activity_source_file,activity_status,activity_eligible,analysis_set,complete_case,construction_class,primary_class_theta6,recomputed_theta6,class_match,pA,pB,historical_pA,historical_pB,n_act_A,n_act_B,in_primary
EGFR/HER2,EH120_041,CHEMBL941,chembl_assay_adjudicated,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,both_arms_present,1,main,1,dual,dual,dual,1,9.96,10.22,9.96,10.22,2,1,1
EGFR/HER2,EH120_042,CHEMBL5221067,chembl_assay_adjudicated,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,both_arms_present,1,main,1,dual,dual,dual,1,9.33,9.85,9.33,9.85,1,1,1
EGFR/HER2,EH120_043,CHEMBL5881155,chembl_assay_adjudicated,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,both_arms_present,1,main,1,dual,dual,dual,1,9.66,9.22,9.66,9.22,1,1,1
EGFR/HER2,EH120_044,CHEMBL203599,chembl_assay_adjudicated,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,both_arms_present,1,main,1,dual,dual,dual,1,9.3,9.15,9.3,9.15,2,3,1
EGFR/HER2,EH120_045,CHEMBL1873475,chembl_assay_adjudicated,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,both_arms_present,1,main,1,dual,dual,dual,1,9.3,9.12,9.3,9.12,32,10,1
EGFR/HER2,EH120_046,CHEMBL5282641,chembl_assay_adjudicated,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,both_arms_present,1,main,1,dual,dual,dual,1,10.28,9.02,10.28,9.02,5,1,1
EGFR/HER2,EH120_047,CHEMBL180022,chembl_assay_adjudicated,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,both_arms_present,1,main,1,dual,dual,dual,1,10.7,9.0,10.7,9.0,37,18,1
EGFR/HER2,EH120_048,CHEMBL203644,chembl_assay_adjudicated,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,both_arms_present,1,main,1,dual,dual,dual,1,9.52,8.96,9.52,8.96,2,2,1
EGFR/HER2,EH120_049,CHEMBL437890,chembl_assay_adjudicated,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,both_arms_present,1,main,1,dual,dual,dual,1,8.96,9.3,8.96,9.3,2,2,1
EGFR/HER2,EH120_050,CHEMBL5176920,chembl_assay_adjudicated,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,both_arms_present,1,main,1,dual,dual,dual,1,8.96,8.97,8.96,8.97,1,1,1
EGFR/HER2,EH120_051,CHEMBL54091,chembl_assay_adjudicated,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,both_arms_present,1,main,1,dual,dual,dual,1,9.14,8.96,9.14,8.96,2,1,1
EGFR/HER2,EH120_052,CHEMBL203661,chembl_assay_adjudicated,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,both_arms_present,1,main,1,dual,dual,dual,1,8.89,9.1,8.89,9.1,2,2,1
EGFR/HER2,EH120_053,CHEMBL4075917,chembl_assay_adjudicated,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,both_arms_present,1,main,1,dual,dual,dual,1,8.89,9.0,8.89,9.0,2,1,1
EGFR/HER2,EH120_054,CHEMBL29197,chembl_assay_adjudicated,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,both_arms_present,1,main,1,A_only,A_only,A_only,1,10.6,5.27,10.6,5.27,19,1,1
EGFR/HER2,EH120_055,CHEMBL93464,chembl_assay_adjudicated,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,both_arms_present,1,main,1,A_only,A_only,A_only,1,9.26,4.04,9.26,4.04,3,1,1
EGFR/HER2,EH120_056,CHEMBL4078431,chembl_assay_adjudicated,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,both_arms_present,1,main,1,A_only,A_only,A_only,1,9.52,5.22,9.52,5.22,1,1,1
EGFR/HER2,EH120_057,CHEMBL53753,chembl_assay_adjudicated,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,both_arms_present,1,main,1,A_only,A_only,A_only,1,7.89,4.28,7.89,4.28,3,1,1
EGFR/HER2,EH120_058,CHEMBL3357643,chembl_assay_adjudicated,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,both_arms_present,1,main,1,A_only,A_only,A_only,1,9.28,5.81,9.28,5.81,2,1,1
EGFR/HER2,EH120_059,CHEMBL305194,chembl_assay_adjudicated,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,unresolved_missing_arm,0,main,1,A_only,,missing_arm,1,7.54,,7.54,4.31,1,0,0
EGFR/HER2,EH120_060,CHEMBL24828,chembl_assay_adjudicated,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,both_arms_present,1,main,1,A_only,A_only,A_only,1,8.32,5.58,8.32,5.58,28,1,1
EGFR/HER2,EH120_061,CHEMBL4280835,chembl_assay_adjudicated,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,both_arms_present,1,main,1,A_only,A_only,A_only,1,7.33,4.72,7.33,4.72,1,1,1
EGFR/HER2,EH120_062,CHEMBL4286733,chembl_assay_adjudicated,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,both_arms_present,1,main,1,A_only,A_only,A_only,1,6.95,4.43,6.95,4.43,1,1,1
EGFR/HER2,EH120_063,CHEMBL3929002,chembl_assay_adjudicated,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,both_arms_present,1,main,1,A_only,A_only,A_only,1,7.3,4.98,7.3,4.98,1,1,1
EGFR/HER2,EH120_064,CHEMBL5270270,chembl_assay_adjudicated,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,both_arms_present,1,main,1,A_only,A_only,A_only,1,7.36,5.06,7.36,5.06,1,1,1
EGFR/HER2,EH120_065,CHEMBL281300,chembl_assay_adjudicated,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,both_arms_present,1,main,1,A_only,A_only,A_only,1,8.01,5.79,8.01,5.79,3,1,1
EGFR/HER2,EH120_066,CHEMBL288441,chembl_assay_adjudicated,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,both_arms_present,1,main,1,A_only,A_only,A_only,1,7.75,5.6,7.75,5.6,14,1,1
EGFR/HER2,EH120_067,CHEMBL56543,chembl_assay_adjudicated,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,both_arms_present,1,main,1,A_only,A_only,A_only,1,7.0,4.87,7.0,4.87,5,1,1
EGFR/HER2,EH120_068,CHEMBL4061382,chembl_assay_adjudicated,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,both_arms_present,1,main,1,A_only,A_only,A_only,1,7.58,5.5,7.58,5.5,1,1,1
EGFR/HER2,EH120_069,CHEMBL30973,chembl_assay_adjudicated,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,both_arms_present,1,main,1,A_only,A_only,A_only,1,7.43,5.38,7.43,5.38,3,1,1
EGFR/HER2,EH120_070,CHEMBL55979,chembl_assay_adjudicated,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,both_arms_present,1,main,1,A_only,A_only,A_only,1,6.4,4.43,6.4,4.43,4,1,1
EGFR/HER2,EH120_071,CHEMBL3647967,chembl_assay_adjudicated,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,both_arms_present,1,main,1,A_only,A_only,A_only,1,7.69,5.81,7.69,5.81,2,1,1
EGFR/HER2,EH120_072,CHEMBL4278886,chembl_assay_adjudicated,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,both_arms_present,1,main,1,A_only,A_only,A_only,1,7.67,5.82,7.67,5.82,1,1,1
EGFR/HER2,EH120_073,CHEMBL3114689,chembl_assay_adjudicated,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,both_arms_present,1,main,1,A_only,A_only,A_only,1,7.8,5.96,7.8,5.96,2,1,1
EGFR/HER2,EH120_074,CHEMBL205652,chembl_assay_adjudicated,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,both_arms_present,1,main,1,A_only,A_only,A_only,1,6.5,4.68,6.5,4.68,2,2,1
EGFR/HER2,EH120_075,CHEMBL372112,chembl_assay_adjudicated,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,both_arms_present,1,main,1,A_only,A_only,A_only,1,7.3,5.48,7.3,5.48,1,1,1
EGFR/HER2,EH120_076,CHEMBL56731,chembl_assay_adjudicated,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,both_arms_present,1,main,1,A_only,A_only,A_only,1,6.16,4.38,6.16,4.38,2,1,1
EGFR/HER2,EH120_077,CHEMBL10,chembl_assay_adjudicated,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,both_arms_present,1,main,1,A_only,A_only,A_only,1,6.47,4.72,6.47,4.72,14,1,1
EGFR/HER2,EH120_078,CHEMBL179633,chembl_assay_adjudicated,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,both_arms_present,1,main,1,A_only,A_only,A_only,1,7.14,5.41,7.14,5.41,1,1,1
EGFR/HER2,EH120_079,CHEMBL370934,chembl_assay_adjudicated,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,both_arms_present,1,main,1,A_only,A_only,A_only,1,7.22,5.52,7.22,5.52,1,1,1
EGFR/HER2,EH120_080,CHEMBL1080506,chembl_assay_adjudicated,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,both_arms_present,1,main,1,B_only,B_only,B_only,1,5.3,8.4,5.3,8.4,2,1,1
EGFR/HER2,EH120_081,CHEMBL6150652,chembl_assay_adjudicated,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,both_arms_present,1,main,1,B_only,B_only,B_only,1,4.92,8.02,4.92,8.02,1,1,1
EGFR/HER2,EH120_082,CHEMBL257478,chembl_assay_adjudicated,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,both_arms_present,1,main,1,B_only,B_only,B_only,1,5.7,8.7,5.7,8.7,1,2,1
EGFR/HER2,EH120_083,CHEMBL6006814,chembl_assay_adjudicated,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,both_arms_present,1,main,1,B_only,B_only,B_only,1,5.29,7.99,5.29,7.99,1,1,1
EGFR/HER2,EH120_084,CHEMBL6133515,chembl_assay_adjudicated,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,both_arms_present,1,main,1,B_only,B_only,B_only,1,5.66,8.24,5.66,8.24,1,1,1
EGFR/HER2,EH120_085,CHEMBL1257998,chembl_assay_adjudicated,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,both_arms_present,1,main,1,B_only,B_only,B_only,1,5.64,8.12,5.64,8.12,1,2,1
EGFR/HER2,EH120_086,CHEMBL5890920,chembl_assay_adjudicated,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,both_arms_present,1,main,1,B_only,B_only,B_only,1,5.74,8.16,5.74,8.16,1,1,1
EGFR/HER2,EH120_087,CHEMBL5797736,chembl_assay_adjudicated,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,both_arms_present,1,main,1,B_only,B_only,B_only,1,5.54,7.94,5.54,7.94,1,1,1
EGFR/HER2,EH120_088,CHEMBL1256432,chembl_assay_adjudicated,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,both_arms_present,1,main,1,B_only,B_only,B_only,1,5.54,7.8,5.54,7.8,1,2,1
EGFR/HER2,EH120_089,CHEMBL1087368,chembl_assay_adjudicated,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,both_arms_present,1,main,1,B_only,B_only,B_only,1,5.94,8.15,5.94,8.15,2,2,1
EGFR/HER2,EH120_090,CHEMBL403785,chembl_assay_adjudicated,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,both_arms_present,1,main,1,B_only,B_only,B_only,1,5.59,7.72,5.59,7.72,1,2,1
EGFR/HER2,EH120_091,CHEMBL193578,chembl_assay_adjudicated,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,both_arms_present,1,main,1,B_only,B_only,B_only,1,5.62,7.62,5.62,7.62,1,1,1
EGFR/HER2,EH120_092,CHEMBL5555280,chembl_assay_adjudicated,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,both_arms_present,1,main,1,B_only,B_only,B_only,1,5.34,7.31,5.34,7.31,1,1,1
EGFR/HER2,EH120_093,CHEMBL5977568,chembl_assay_adjudicated,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,both_arms_present,1,main,1,B_only,B_only,B_only,1,5.86,7.71,5.86,7.71,1,1,1
EGFR/HER2,EH120_094,CHEMBL118109,chembl_assay_adjudicated,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,both_arms_present,1,main,1,B_only,B_only,B_only,1,4.73,6.46,4.73,6.46,3,1,1
EGFR/HER2,EH120_095,CHEMBL256362,chembl_assay_adjudicated,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,both_arms_present,1,main,1,B_only,B_only,B_only,1,5.96,7.64,5.96,7.64,1,1,1
EGFR/HER2,EH120_096,CHEMBL5561933,chembl_assay_adjudicated,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,both_arms_present,1,main,1,B_only,B_only,B_only,1,5.67,7.28,5.67,7.28,1,1,1
EGFR/HER2,EH120_097,CHEMBL194337,chembl_assay_adjudicated,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,both_arms_present,1,main,1,B_only,B_only,B_only,1,5.68,7.16,5.68,7.16,1,1,1
EGFR/HER2,EH120_098,CHEMBL5557178,chembl_assay_adjudicated,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,both_arms_present,1,main,1,B_only,B_only,B_only,1,5.33,6.8,5.33,6.8,1,1,1
EGFR/HER2,EH120_099,CHEMBL1080272,chembl_assay_adjudicated,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,both_arms_present,1,main,1,B_only,B_only,B_only,1,4.82,6.21,4.82,6.21,1,1,1
EGFR/HER2,EH120_100,CHEMBL5561503,chembl_assay_adjudicated,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,both_arms_present,1,main,1,B_only,B_only,B_only,1,5.86,7.23,5.86,7.23,1,1,1
EGFR/HER2,EH120_101,CHEMBL5558817,chembl_assay_adjudicated,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,both_arms_present,1,main,1,B_only,B_only,B_only,1,5.38,6.67,5.38,6.67,1,1,1
EGFR/HER2,EH120_102,CHEMBL104,chembl_assay_adjudicated,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,both_arms_present,1,main,1,neither,neither,neither,1,4.16,4.18,4.16,4.18,1,1,1
