pdb,file,role,center_x,center_y,center_z,size_x,size_y,size_z,cognate,construction,n_heavy_atoms,n_ligand_atoms,n_hydrogen_atoms,min_edge_ge_20,hydrogen_inclusive_risk,exists
3POZ,data/egfr_her2_panel120_v0/boxes/3POZ_box_corrected.json,CURRENT_PRIMARY,18.816,31.837,11.725,20.931,20.0,21.342,03P,cognate_heavy_atom_AABB_plus_5A_min20,38,38,25,1,declared_heavy_atom,1
3RCD,data/egfr_her2_panel120_v0/boxes/3RCD_box_corrected.json,CURRENT_PRIMARY,12.552,2.982,28.152,21.385,22.378,20.0,03P,cognate_heavy_atom_AABB_plus_5A_min20,38,38,25,1,declared_heavy_atom,1
4L23,data/pik3ca_mtor_panel48_rdkit_v0/boxes/4L23_box.json,CURRENT_PRIMARY,32.443,45.431,42.139,20.0,20.0,20.0,,METADATA_ONLY,26,42,,1,possible_if_n_ligand_includes_H,1
4JT6,data/pik3ca_mtor_panel48_rdkit_v0/boxes/4JT6_box.json,CURRENT_PRIMARY,51.949,0.065,-47.707,20.332,20.0,20.0,,METADATA_ONLY,26,42,,1,possible_if_n_ligand_includes_H,1
4EY7,data/ache_bche_panel_v0/boxes/4EY7_box.json,CURRENT_PRIMARY,-13.988,-43.906,27.108,23.341,20.0,20.355,E20,METADATA_ONLY,28,,,1,no_evidence_of_H_inclusive_AABB,1
4BDS,data/ache_bche_panel_v0/boxes/4BDS_box.json,CURRENT_PRIMARY,133.076,116.113,41.335,20.0,20.0,20.0,THA,METADATA_ONLY,,,,1,no_evidence_of_H_inclusive_AABB,1
4UDW,data/jcim_chembl_universe_v0/local_track_b_v0/boxes/4UDW_box.json,CURRENT_PRIMARY,129.739,-14.402,164.946,20.6,20.0,20.0,N6L,METADATA_ONLY,28,,,1,no_evidence_of_H_inclusive_AABB,1
2JKH,data/jcim_chembl_universe_v0/local_track_b_v0/boxes/2JKH_box.json,CURRENT_PRIMARY,-3.643,10.77,22.771,20.0,20.0,21.118,BI7,METADATA_ONLY,31,,,1,no_evidence_of_H_inclusive_AABB,1
6N7A,data/jcim_chembl_universe_v0/local_track_b_v0/boxes/6N7A_box.json,CURRENT_PRIMARY,5.911,-24.317,21.495,20.0,20.597,20.0,KEV,METADATA_ONLY,28,,,1,no_evidence_of_H_inclusive_AABB,1
8BXH,data/jcim_chembl_universe_v0/local_track_b_v0/boxes/8BXH_box.json,CURRENT_PRIMARY,-12.589,14.594,21.263,24.069,20.0,20.0,C87,METADATA_ONLY,31,,,1,no_evidence_of_H_inclusive_AABB,1
3LXP,data/jcim_chembl_universe_v0/local_track_b_v0/boxes/3LXP_box.json,CURRENT_PRIMARY,-4.498,25.578,-31.064,20.0,20.0,20.0,IZA,METADATA_ONLY,23,,,1,no_evidence_of_H_inclusive_AABB,1
9V8H,data/jcim_chembl_universe_v0/local_track_b_v0/boxes/9V8H_box.json,CURRENT_PRIMARY,-5.454,-5.373,-23.591,20.0,20.14,20.0,BRL,METADATA_ONLY,25,,,1,no_evidence_of_H_inclusive_AABB,1
6LXA,data/jcim_chembl_universe_v0/local_track_b_v0/boxes/6LXA_box.json,CURRENT_PRIMARY,11.998,5.742,-7.443,20.0,20.2,23.432,EPA,METADATA_ONLY,22,,,1,no_evidence_of_H_inclusive_AABB,1
5U3Q,data/jcim_chembl_universe_v0/local_track_b_v0/boxes/5U3Q_box.json,CURRENT_PRIMARY,40.599,0.533,135.353,20.223,20.0,21.346,7UJ,METADATA_ONLY,34,,,1,no_evidence_of_H_inclusive_AABB,1
3POZ,data/egfr_her2_panel120_v0/boxes/archive/3POZ_box.json,SUPERSEDED_ARCHIVED,18.816,31.837,11.725,20.931,20.0,21.342,03P,cognate_heavy_atom_AABB_plus_5A_min20,38,38,25,1,declared_heavy_atom,1
3RCD,data/egfr_her2_panel120_v0/boxes/archive/3RCD_box.json,SUPERSEDED_ARCHIVED,12.552,2.982,28.152,21.385,22.378,20.0,03P,cognate_heavy_atom_AABB_plus_5A_min20,38,38,25,1,declared_heavy_atom,1
