pair,uniprot_A,uniprot_B,chembl_A,chembl_B,n_A,n_B,n_paired_measured_both,dual,A_only,B_only,dual_weak,hard_gate_nA_ge_200,hard_gate_nB_ge_200,hard_gate_has_dual,hard_gate_has_A_only,hard_gate_has_B_only,hard_gate_three_classes
EGFR/HER2,P00533,P04626,CHEMBL203,CHEMBL1824,11198,2619,1751,1182,207,46,316,True,True,True,True,True,True
MCL1/BCL2L1_BclxL,Q07820,Q07817,CHEMBL4361,CHEMBL4625,3412,1612,305,82,77,24,122,True,True,True,True,True,True
PIK3CA/MTOR,P42336,P42345,CHEMBL4005,CHEMBL2842,7732,5209,2713,2002,266,236,209,True,True,True,True,True,True
BRD4/HDAC1,O60885,Q13547,CHEMBL1163125,CHEMBL325,9338,8348,82,66,0,10,6,True,True,True,False,True,False
BRD4/HDAC6,O60885,Q9UBN7,CHEMBL1163125,CHEMBL1865,9338,6554,39,27,3,9,0,True,True,True,False,False,False
PARP1/MET,P09874,P08581,CHEMBL3105,CHEMBL3717,4576,4658,13,10,1,0,2,True,True,True,False,False,False
ACHE/BCHE,P22303,P06276,CHEMBL220,CHEMBL1914,6197,3798,2537,986,483,225,843,True,True,True,True,True,True
JAK2/HDAC1,O60674,Q13547,CHEMBL2971,CHEMBL325,12711,8348,76,52,23,1,0,True,True,True,True,False,False
CDK6/BRD4,Q00534,O60885,CHEMBL2508,CHEMBL1163125,838,9338,6,5,1,0,0,True,True,False,False,False,False
AKT1/RPS6KB1_p70S6K,P31749,P23443,CHEMBL4282,CHEMBL4501,3699,1918,601,453,11,100,37,True,True,True,True,True,True
MCL1/BCL2,Q07820,P10415,CHEMBL4361,CHEMBL4860,3412,3171,371,160,87,34,90,True,True,True,True,True,True
PIK3CA/PIK3CB,P42336,P42338,CHEMBL4005,CHEMBL3145,7732,2786,1990,988,299,213,490,True,True,True,True,True,True
