molecule_chembl_id,class,pchembl_PIK3CA,pchembl_MTOR,min_pchembl,delta_abs,theta
CHEMBL3984179,A_only,6.21,5.98,5.98,0.23,6.0
CHEMBL3218580,A_only,6.45,5.97,5.97,0.48,6.0
CHEMBL4870555,A_only,7.79,5.97,5.97,1.82,6.0
CHEMBL1242209,A_only,6.12,5.96,5.96,0.16,6.0
CHEMBL1242475,A_only,6.68,5.96,5.96,0.72,6.0
CHEMBL1242750,A_only,6.61,5.96,5.96,0.65,6.0
CHEMBL3646611,A_only,7.23,5.96,5.96,1.27,6.0
CHEMBL3813725,A_only,6.04,5.96,5.96,0.08,6.0
CHEMBL5855570,A_only,7.85,5.96,5.96,1.89,6.0
CHEMBL1242028,A_only,6.53,5.95,5.95,0.58,6.0
CHEMBL3646523,A_only,7.28,5.95,5.95,1.33,6.0
CHEMBL2170095,A_only,8.10,5.94,5.94,2.16,6.0
CHEMBL3646446,A_only,7.54,5.94,5.94,1.60,6.0
CHEMBL3290293,A_only,6.40,5.93,5.93,0.47,6.0
CHEMBL5845796,A_only,7.30,5.93,5.93,1.37,6.0
CHEMBL1242112,A_only,6.58,5.92,5.92,0.66,6.0
CHEMBL1242477,A_only,7.16,5.92,5.92,1.24,6.0
CHEMBL1808993,A_only,7.82,5.92,5.92,1.90,6.0
CHEMBL2387080,A_only,10.05,5.92,5.92,4.13,6.0
CHEMBL271413,A_only,6.90,5.92,5.92,0.98,6.0
CHEMBL3646632,A_only,8.70,5.92,5.92,2.78,6.0
CHEMBL3814414,A_only,8.70,5.92,5.92,2.78,6.0
CHEMBL3932222,A_only,6.58,5.92,5.92,0.66,6.0
CHEMBL408074,A_only,7.35,5.92,5.92,1.43,6.0
CHEMBL5964644,A_only,7.33,5.92,5.92,1.41,6.0
CHEMBL3983623,A_only,6.18,5.91,5.91,0.27,6.0
CHEMBL2087492,A_only,7.81,5.90,5.90,1.91,6.0
CHEMBL3912416,A_only,6.08,5.90,5.90,0.18,6.0
CHEMBL1668268,A_only,6.73,5.88,5.88,0.85,6.0
CHEMBL3646469,A_only,7.00,5.87,5.87,1.13,6.0
CHEMBL3775504,A_only,7.22,5.87,5.87,1.35,6.0
CHEMBL405258,A_only,7.82,5.87,5.87,1.95,6.0
CHEMBL3646477,A_only,7.32,5.86,5.86,1.46,6.0
CHEMBL4109764,A_only,6.07,5.86,5.86,0.21,6.0
CHEMBL4439259,A_only,6.73,5.86,5.86,0.87,6.0
CHEMBL2165016,A_only,7.08,5.85,5.85,1.23,6.0
CHEMBL2165031,A_only,7.41,5.85,5.85,1.56,6.0
CHEMBL3646615,A_only,7.26,5.85,5.85,1.41,6.0
CHEMBL2017654,A_only,9.22,5.84,5.84,3.38,6.0
CHEMBL5887082,A_only,7.00,5.84,5.84,1.16,6.0
CHEMBL5933789,A_only,6.68,5.84,5.84,0.84,6.0
CHEMBL2396661,A_only,8.77,5.83,5.83,2.94,6.0
CHEMBL3890490,A_only,6.01,5.83,5.83,0.18,6.0
CHEMBL409427,A_only,8.08,5.83,5.83,2.25,6.0
CHEMBL4166405,A_only,6.35,5.83,5.83,0.52,6.0
CHEMBL429577,A_only,7.62,5.83,5.83,1.79,6.0
CHEMBL1242208,A_only,6.35,5.82,5.82,0.53,6.0
