pair,subset,arm,n_dual,n_A_only,n_B_only,auroc_D_vs_A,auroc_D_vs_B,auroc_pooled,top10_A_only,top10_B_only,top10_dual,summary_min,summary_mean
EGFR_HER2,all,vina_mean,28,38,32,0.6889,0.3114,0.5163,5,4,1,0.3114,0.5001
EGFR_HER2,all,vina_min,28,38,32,0.6711,0.2712,0.4883,5,4,1,0.2712,0.4711
EGFR_HER2,all,rtm_mean,28,38,32,0.5686,0.3203,0.4551,4,4,2,0.3203,0.4445
EGFR_HER2,all,rtm_min,28,38,32,0.5912,0.3237,0.4689,4,3,3,0.3237,0.4574
EGFR_HER2,all,rtm_min_z,28,38,32,0.5874,0.317,0.4638,5,2,3,0.317,0.4522
EGFR_HER2,all,heavy_atoms,28,38,32,0.6997,0.3694,0.5487,2,5,3,0.3694,0.5346
EGFR_HER2,all,MW,28,38,32,0.6476,0.4163,0.5418,4,2,4,0.4163,0.5319
EGFR_HER2,all,cLogP,28,38,32,0.5263,0.4821,0.5061,6,1,3,0.4821,0.5042
EGFR_HER2,all,TPSA,28,38,32,0.703,0.4275,0.577,3,5,2,0.4275,0.5652
EGFR_HER2,all,morgan_dual_medsim,28,38,32,0.555,0.5848,0.5686,6,1,3,0.555,0.5699
EGFR_HER2,old40,vina_mean,15,12,10,0.6278,0.4533,0.5485,2,4,4,0.4533,0.5406
EGFR_HER2,old40,vina_min,15,12,10,0.6278,0.42,0.5333,2,4,4,0.42,0.5239
EGFR_HER2,old40,rtm_mean,15,12,10,0.7833,0.5667,0.6848,1,3,6,0.5667,0.675
EGFR_HER2,old40,rtm_min,15,12,10,0.7833,0.58,0.6909,1,2,7,0.58,0.6817
EGFR_HER2,old40,rtm_min_z,15,12,10,0.8,0.6067,0.7121,1,2,7,0.6067,0.7033
EGFR_HER2,old40,heavy_atoms,15,12,10,0.7472,0.51,0.6394,1,4,5,0.51,0.6286
EGFR_HER2,old40,MW,15,12,10,0.7056,0.5333,0.6273,2,3,5,0.5333,0.6194
EGFR_HER2,old40,cLogP,15,12,10,0.6167,0.6,0.6091,2,3,5,0.6,0.6083
EGFR_HER2,old40,TPSA,15,12,10,0.7722,0.5333,0.6636,1,3,6,0.5333,0.6528
EGFR_HER2,old40,morgan_dual_medsim,15,12,10,0.55,0.5467,0.5485,4,2,4,0.5467,0.5483
EGFR_HER2,new70,vina_mean,13,26,22,0.7249,0.2378,0.5016,3,6,1,0.2378,0.4813
EGFR_HER2,new70,vina_min,13,26,22,0.6953,0.1853,0.4615,3,7,0,0.1853,0.4403
EGFR_HER2,new70,rtm_mean,13,26,22,0.3964,0.1154,0.2676,5,4,1,0.1154,0.2559
EGFR_HER2,new70,rtm_min,13,26,22,0.429,0.1154,0.2853,4,5,1,0.1154,0.2722
EGFR_HER2,new70,rtm_min_z,13,26,22,0.4438,0.1014,0.2869,4,5,1,0.1014,0.2726
EGFR_HER2,new70,heavy_atoms,13,26,22,0.6435,0.2378,0.4575,2,8,0,0.2378,0.4406
EGFR_HER2,new70,MW,13,26,22,0.6006,0.2937,0.4599,4,5,1,0.2937,0.4471
EGFR_HER2,new70,cLogP,13,26,22,0.4408,0.3392,0.3942,6,2,2,0.3392,0.39
EGFR_HER2,new70,TPSA,13,26,22,0.6598,0.3566,0.5208,4,4,2,0.3566,0.5082
EGFR_HER2,new70,morgan_dual_medsim,13,26,22,0.5325,0.5804,0.5545,5,1,4,0.5325,0.5565
PIK3CA_mTOR,all,vina_mean,18,14,12,0.6984,0.5972,0.6517,1,3,6,0.5972,0.6478
PIK3CA_mTOR,all,vina_min,18,14,12,0.6825,0.588,0.6389,1,2,7,0.588,0.6353
PIK3CA_mTOR,all,rtm_mean,18,14,12,0.619,0.7639,0.6859,3,1,6,0.619,0.6915
PIK3CA_mTOR,all,rtm_min,18,14,12,0.623,0.7546,0.6838,4,0,6,0.623,0.6888
PIK3CA_mTOR,all,rtm_min_z,18,14,12,0.6111,0.7917,0.6944,4,0,6,0.6111,0.7014
PIK3CA_mTOR,all,heavy_atoms,18,14,12,0.4643,0.463,0.4637,4,2,4,0.463,0.4636
PIK3CA_mTOR,all,MW,18,14,12,0.4484,0.4722,0.4594,5,2,3,0.4484,0.4603
PIK3CA_mTOR,all,cLogP,18,14,12,0.5198,0.3102,0.4231,2,4,4,0.3102,0.415
PIK3CA_mTOR,all,TPSA,18,14,12,0.2599,0.4514,0.3483,7,2,1,0.2599,0.3557
PIK3CA_mTOR,all,morgan_dual_medsim,18,14,12,0.6389,0.6944,0.6645,3,1,6,0.6389,0.6667
